Method,FormationYear,HoldDate,Quintile,ew_ret,n_firms
M1,2013,2014-03-01,Q5-Q1,0.024024161119993417,135
M1,2013,2014-04-01,Q5-Q1,0.05199858932525886,135
M1,2013,2014-05-01,Q5-Q1,-0.0027603180917397455,135
M1,2013,2014-06-01,Q5-Q1,0.005094804488283736,135
M1,2014,2014-07-01,Q5-Q1,0.00477799235264046,142
M1,2014,2014-08-01,Q5-Q1,0.042284986579380936,142
M1,2014,2014-09-01,Q5-Q1,0.052104179905843276,142
M1,2014,2014-10-01,Q5-Q1,0.10077514538705128,142
M1,2014,2014-11-01,Q5-Q1,-0.006967805070871434,142
M1,2014,2014-12-01,Q5-Q1,0.07054493411278213,142
M1,2014,2015-01-01,Q5-Q1,0.003925369971018444,142
M1,2014,2015-02-01,Q5-Q1,-0.05725243352591991,142
M1,2014,2015-03-01,Q5-Q1,0.050621467779092925,142
M1,2014,2015-04-01,Q5-Q1,0.0029551766286483906,142
M1,2014,2015-05-01,Q5-Q1,-0.02174259678958006,142
M1,2014,2015-06-01,Q5-Q1,-0.03992778685168237,142
M1,2015,2015-07-01,Q5-Q1,0.037164199600188665,149
M1,2015,2015-08-01,Q5-Q1,8.359735046089417e-05,149
M1,2015,2015-09-01,Q5-Q1,0.039823514759033646,149
M1,2015,2015-10-01,Q5-Q1,0.007322532862534065,149
M1,2015,2015-11-01,Q5-Q1,0.04690260769302426,149
M1,2015,2015-12-01,Q5-Q1,0.007268709266275587,149
M1,2015,2016-01-01,Q5-Q1,0.014040220557998178,149
M1,2015,2016-02-01,Q5-Q1,0.006862219884881707,149
M1,2015,2016-03-01,Q5-Q1,-0.05517107416042458,149
M1,2015,2016-04-01,Q5-Q1,-0.03125399349354783,149
M1,2015,2016-05-01,Q5-Q1,0.036064470708368684,149
M1,2015,2016-06-01,Q5-Q1,0.015693116482157213,149
M1,2016,2016-07-01,Q5-Q1,0.03030544576554748,165
M1,2016,2016-08-01,Q5-Q1,-0.00879228007472941,165
M1,2016,2016-09-01,Q5-Q1,0.028771099335145926,165
M1,2016,2016-10-01,Q5-Q1,-0.04896406634905502,165
M1,2016,2016-11-01,Q5-Q1,-0.010314504088239296,165
M1,2016,2016-12-01,Q5-Q1,-0.10690991635274691,165
M1,2016,2017-01-01,Q5-Q1,-0.014155310948684517,165
M1,2016,2017-02-01,Q5-Q1,-0.004308301187755027,165
M1,2016,2017-03-01,Q5-Q1,-0.018375811653988813,165
M1,2016,2017-04-01,Q5-Q1,0.013078397803148512,165
M1,2016,2017-05-01,Q5-Q1,0.05418908148308044,165
M1,2016,2017-06-01,Q5-Q1,-0.019043120885732557,165
M1,2017,2017-07-01,Q5-Q1,-0.01884455892581485,169
M1,2017,2017-08-01,Q5-Q1,0.0031777585839018367,169
M1,2017,2017-09-01,Q5-Q1,-0.027555281740964326,169
M1,2017,2017-10-01,Q5-Q1,0.006592495634608589,169
M1,2017,2017-11-01,Q5-Q1,-0.008516741222590149,169
M1,2017,2017-12-01,Q5-Q1,0.020823720166120024,169
M1,2017,2018-01-01,Q5-Q1,-0.034847547345155536,169
M1,2017,2018-02-01,Q5-Q1,-7.6907091398252e-05,169
M1,2017,2018-03-01,Q5-Q1,0.0062746713209169,169
M1,2017,2018-04-01,Q5-Q1,0.013123644548537185,169
M1,2017,2018-05-01,Q5-Q1,0.021687713833652526,169
M1,2017,2018-06-01,Q5-Q1,0.019317635249512004,169
M1,2018,2018-07-01,Q5-Q1,0.006015477030983051,180
M1,2018,2018-08-01,Q5-Q1,0.018535940317151146,180
M1,2018,2018-09-01,Q5-Q1,-0.046710925059594656,180
M1,2018,2018-10-01,Q5-Q1,0.0123225271725593,180
M1,2018,2018-11-01,Q5-Q1,0.06081640849452098,180
M1,2018,2018-12-01,Q5-Q1,0.044214527751355745,180
M1,2018,2019-01-01,Q5-Q1,-0.004640695573999695,180
M1,2018,2019-02-01,Q5-Q1,0.05041520661932814,180
M1,2018,2019-03-01,Q5-Q1,0.03757993330115587,180
M1,2018,2019-04-01,Q5-Q1,0.005317454064647564,180
M1,2018,2019-05-01,Q5-Q1,0.027647569327312937,180
M1,2018,2019-06-01,Q5-Q1,0.02233980471321418,180
M1,2019,2019-07-01,Q5-Q1,-0.03125337112205927,186
M1,2019,2019-08-01,Q5-Q1,0.013764620956762202,186
M1,2019,2019-09-01,Q5-Q1,-0.04599320585412988,186
M1,2019,2019-10-01,Q5-Q1,0.010832894772232204,186
M1,2019,2019-11-01,Q5-Q1,-0.009644452385407572,186
M1,2019,2019-12-01,Q5-Q1,0.029429877389994717,186
M1,2019,2020-01-01,Q5-Q1,-0.011560831508494941,186
M1,2019,2020-02-01,Q5-Q1,0.048653908696431505,186
M1,2019,2020-03-01,Q5-Q1,0.02880435883060456,186
M1,2019,2020-04-01,Q5-Q1,-0.08647572347083848,186
M1,2019,2020-05-01,Q5-Q1,0.04462270478822487,186
M1,2019,2020-06-01,Q5-Q1,-0.025426042132589075,186
M1,2020,2020-07-01,Q5-Q1,-0.03535429624390004,195
M1,2020,2020-08-01,Q5-Q1,-0.005993039459902934,195
M1,2020,2020-09-01,Q5-Q1,-0.01932255552402537,195
M1,2020,2020-10-01,Q5-Q1,0.01802591485555482,195
M1,2020,2020-11-01,Q5-Q1,0.010653436838478497,195
M1,2020,2020-12-01,Q5-Q1,-0.07639678810018817,195
M1,2020,2021-01-01,Q5-Q1,-0.002458501405075357,195
M1,2020,2021-02-01,Q5-Q1,-0.03994768415472858,195
M1,2020,2021-03-01,Q5-Q1,0.02671757145672958,195
M1,2020,2021-04-01,Q5-Q1,0.0269804197548099,195
M1,2020,2021-05-01,Q5-Q1,0.052193269169840864,195
M1,2020,2021-06-01,Q5-Q1,-0.001281539377107255,195
M1,2021,2021-07-01,Q5-Q1,0.05688282978189939,209
M1,2021,2021-08-01,Q5-Q1,0.02690791607134119,209
M1,2021,2021-09-01,Q5-Q1,-0.025877219559155014,209
M1,2021,2021-10-01,Q5-Q1,0.05505329175019639,209
M1,2021,2021-11-01,Q5-Q1,0.010199652189706337,209
M1,2021,2021-12-01,Q5-Q1,0.02591756291842887,209
M1,2021,2022-01-01,Q5-Q1,-0.05251345761620726,209
M1,2021,2022-02-01,Q5-Q1,-0.015895155078198858,209
M1,2021,2022-03-01,Q5-Q1,-0.03471484495887893,209
M1,2021,2022-04-01,Q5-Q1,0.013096576037229836,209
M1,2021,2022-05-01,Q5-Q1,-0.0588179203843747,209
M1,2021,2022-06-01,Q5-Q1,-0.01906629031965748,209
M1,2022,2022-07-01,Q5-Q1,0.009524572691123612,221
M1,2022,2022-08-01,Q5-Q1,-0.03765716944292001,221
M1,2022,2022-09-01,Q5-Q1,-0.010391893600974714,221
M1,2022,2022-10-01,Q5-Q1,0.017392250810836736,221
M1,2022,2022-11-01,Q5-Q1,0.03293051066260297,221
M1,2022,2022-12-01,Q5-Q1,-0.006022120336766024,221
M1,2022,2023-01-01,Q5-Q1,-0.08312282524797057,221
M1,2022,2023-02-01,Q5-Q1,0.026232356941090718,221
M1,2022,2023-03-01,Q5-Q1,0.05294508326098156,221
M1,2022,2023-04-01,Q5-Q1,0.010271167012753437,221
M1,2022,2023-05-01,Q5-Q1,-0.00020764722547828712,221
M1,2022,2023-06-01,Q5-Q1,0.010484666101342459,221
M1,2023,2023-07-01,Q5-Q1,-0.05934009178728633,231
M1,2023,2023-08-01,Q5-Q1,0.033931466780185784,231
M1,2023,2023-09-01,Q5-Q1,-0.000129567946043279,231
M1,2023,2023-10-01,Q5-Q1,0.03692366856091713,231
M1,2023,2023-11-01,Q5-Q1,0.005774662364424608,231
M1,2023,2023-12-01,Q5-Q1,-0.012772209127915213,231
M1,2023,2024-01-01,Q5-Q1,-0.003821704307641781,231
M1,2023,2024-02-01,Q5-Q1,0.04413797240889965,231
M1,2023,2024-03-01,Q5-Q1,0.01383929451803869,231
M1,2023,2024-04-01,Q5-Q1,0.007912312766116102,231
M1,2023,2024-05-01,Q5-Q1,-0.021996794877602505,231
M1,2023,2024-06-01,Q5-Q1,-0.017439054033690234,231
M1,2024,2024-07-01,Q5-Q1,-0.029936955370197353,239
M1,2024,2024-08-01,Q5-Q1,0.0413870972360762,239
M1,2024,2024-09-01,Q5-Q1,0.02365791846505087,239
M1,2024,2024-10-01,Q5-Q1,0.02841034351232593,239
M1,2024,2024-11-01,Q5-Q1,0.02314844010065102,239
M1,2024,2024-12-01,Q5-Q1,5.258475078763394e-06,239
M2,2010,2010-07-01,Q5-Q1,-0.0026134653927088122,114
M2,2010,2010-08-01,Q5-Q1,0.052663783854717205,114
M2,2010,2010-09-01,Q5-Q1,-0.00767230847716012,114
M2,2010,2010-10-01,Q5-Q1,0.029341232573287593,114
M2,2010,2010-11-01,Q5-Q1,0.044397191390495507,114
M2,2010,2010-12-01,Q5-Q1,-0.020687888651514774,114
M2,2010,2011-01-01,Q5-Q1,-0.07096781321685888,114
M2,2010,2011-02-01,Q5-Q1,0.04080056955218974,114
M2,2010,2011-03-01,Q5-Q1,0.031524678132219555,114
M2,2010,2011-04-01,Q5-Q1,-0.011402417592617505,114
M2,2010,2011-05-01,Q5-Q1,0.07288914254767542,114
M2,2010,2011-06-01,Q5-Q1,0.08089298280482113,114
M2,2011,2011-07-01,Q5-Q1,-0.013257522949496343,123
M2,2011,2011-08-01,Q5-Q1,0.04564893706551293,123
M2,2011,2011-09-01,Q5-Q1,0.030756500715454903,123
M2,2011,2011-10-01,Q5-Q1,0.04488872818638173,123
M2,2011,2011-11-01,Q5-Q1,0.048557572385362666,123
M2,2011,2011-12-01,Q5-Q1,-0.001961921449622015,123
M2,2011,2012-01-01,Q5-Q1,-0.060269671070673284,123
M2,2011,2012-02-01,Q5-Q1,0.00356632700359346,123
M2,2011,2012-03-01,Q5-Q1,-0.007173939140882854,123
M2,2011,2012-04-01,Q5-Q1,0.03097134439553401,123
M2,2011,2012-05-01,Q5-Q1,0.025877983745538638,123
M2,2011,2012-06-01,Q5-Q1,0.014726950163172629,123
M2,2012,2012-07-01,Q5-Q1,-0.005490872748345733,126
M2,2012,2012-08-01,Q5-Q1,-0.005642870029251168,126
M2,2012,2012-09-01,Q5-Q1,0.0021773135963524294,126
M2,2012,2012-10-01,Q5-Q1,0.037159765126200756,126
M2,2012,2012-11-01,Q5-Q1,0.04100206011824298,126
M2,2012,2012-12-01,Q5-Q1,0.007190407656419966,126
M2,2012,2013-01-01,Q5-Q1,-0.05172741214948544,126
M2,2012,2013-02-01,Q5-Q1,0.03627992914255567,126
M2,2012,2013-03-01,Q5-Q1,0.01401343247049357,126
M2,2012,2013-04-01,Q5-Q1,0.019673702414096404,126
M2,2012,2013-05-01,Q5-Q1,-0.0686521711965909,126
M2,2012,2013-06-01,Q5-Q1,-0.01380287949334207,126
M2,2013,2013-07-01,Q5-Q1,0.02448041469333294,137
M2,2013,2013-08-01,Q5-Q1,0.034006012683190236,137
M2,2013,2013-09-01,Q5-Q1,0.021784618132420032,137
M2,2013,2013-10-01,Q5-Q1,0.04531147274221029,137
M2,2013,2013-11-01,Q5-Q1,-0.0003272888206269503,137
M2,2013,2013-12-01,Q5-Q1,0.027871296000876674,137
M2,2013,2014-01-01,Q5-Q1,-0.05481732889875349,137
M2,2013,2014-02-01,Q5-Q1,-0.029803372711509277,137
M2,2013,2014-03-01,Q5-Q1,0.017478447950133,137
M2,2013,2014-04-01,Q5-Q1,0.0495573024534427,137
M2,2013,2014-05-01,Q5-Q1,-0.002202228114131951,137
M2,2013,2014-06-01,Q5-Q1,0.019533552685191698,137
M2,2014,2014-07-01,Q5-Q1,0.006208034971058273,140
M2,2014,2014-08-01,Q5-Q1,0.034677863411688006,140
M2,2014,2014-09-01,Q5-Q1,0.05404893625588426,140
M2,2014,2014-10-01,Q5-Q1,0.10202313383815541,140
M2,2014,2014-11-01,Q5-Q1,0.005739683362984923,140
M2,2014,2014-12-01,Q5-Q1,0.09249020681264783,140
M2,2014,2015-01-01,Q5-Q1,0.010226682342850332,140
M2,2014,2015-02-01,Q5-Q1,-0.05550653741558824,140
M2,2014,2015-03-01,Q5-Q1,0.04861951566915841,140
M2,2014,2015-04-01,Q5-Q1,-0.007272317642608335,140
M2,2014,2015-05-01,Q5-Q1,-0.003846920975321381,140
M2,2014,2015-06-01,Q5-Q1,-0.043151242032400255,140
M2,2015,2015-07-01,Q5-Q1,0.045933492715739925,148
M2,2015,2015-08-01,Q5-Q1,-0.016236834593907207,148
M2,2015,2015-09-01,Q5-Q1,0.03986822761809866,148
M2,2015,2015-10-01,Q5-Q1,0.023078178659469394,148
M2,2015,2015-11-01,Q5-Q1,0.044884068692302256,148
M2,2015,2015-12-01,Q5-Q1,0.014338383043175923,148
M2,2015,2016-01-01,Q5-Q1,-0.0017568569759395317,148
M2,2015,2016-02-01,Q5-Q1,0.005811368682539016,148
M2,2015,2016-03-01,Q5-Q1,-0.05631365131421788,148
M2,2015,2016-04-01,Q5-Q1,-0.029131005638701538,148
M2,2015,2016-05-01,Q5-Q1,0.03654221707696376,148
M2,2015,2016-06-01,Q5-Q1,0.005335194187110866,148
M2,2016,2016-07-01,Q5-Q1,0.016465351310720626,164
M2,2016,2016-08-01,Q5-Q1,-0.011665941146828528,164
M2,2016,2016-09-01,Q5-Q1,0.014544553356925435,164
M2,2016,2016-10-01,Q5-Q1,-0.004601917784251673,164
M2,2016,2016-11-01,Q5-Q1,-0.026816914619793363,164
M2,2016,2016-12-01,Q5-Q1,-0.09685588646838718,164
M2,2016,2017-01-01,Q5-Q1,-0.024017531769824817,164
M2,2016,2017-02-01,Q5-Q1,-0.011877935930153669,164
M2,2016,2017-03-01,Q5-Q1,-0.020132584603316257,164
M2,2016,2017-04-01,Q5-Q1,0.012877682152481272,164
M2,2016,2017-05-01,Q5-Q1,0.04069104900734449,164
M2,2016,2017-06-01,Q5-Q1,-0.03689192486875014,164
M2,2017,2017-07-01,Q5-Q1,-0.016744262329767765,169
M2,2017,2017-08-01,Q5-Q1,-0.023664727909328772,169
M2,2017,2017-09-01,Q5-Q1,0.0056855385435007205,169
M2,2017,2017-10-01,Q5-Q1,0.006760093686830922,169
M2,2017,2017-11-01,Q5-Q1,-0.006725781218198813,169
M2,2017,2017-12-01,Q5-Q1,-0.004106008200593163,169
M2,2017,2018-01-01,Q5-Q1,-0.02835242360836003,169
M2,2017,2018-02-01,Q5-Q1,-0.008121794080562033,169
M2,2017,2018-03-01,Q5-Q1,0.0021373948297682653,169
M2,2017,2018-04-01,Q5-Q1,0.0057914800335484296,169
M2,2017,2018-05-01,Q5-Q1,0.028583337885767654,169
M2,2017,2018-06-01,Q5-Q1,0.029193602629953366,169
M2,2018,2018-07-01,Q5-Q1,0.011774788784083574,180
M2,2018,2018-08-01,Q5-Q1,0.017968425810198346,180
M2,2018,2018-09-01,Q5-Q1,-0.03710433129044402,180
M2,2018,2018-10-01,Q5-Q1,-0.008538883385891191,180
M2,2018,2018-11-01,Q5-Q1,0.04909653389732768,180
M2,2018,2018-12-01,Q5-Q1,0.04559565277685266,180
M2,2018,2019-01-01,Q5-Q1,-0.01286854291011745,180
M2,2018,2019-02-01,Q5-Q1,0.044128586366404945,180
M2,2018,2019-03-01,Q5-Q1,0.02291529321263828,180
M2,2018,2019-04-01,Q5-Q1,0.013756424826552028,180
M2,2018,2019-05-01,Q5-Q1,0.039717246191410996,180
M2,2018,2019-06-01,Q5-Q1,0.020926217946065723,180
M2,2019,2019-07-01,Q5-Q1,-0.024170068648253856,188
M2,2019,2019-08-01,Q5-Q1,0.0070221885077612865,188
M2,2019,2019-09-01,Q5-Q1,-0.04910322543053062,188
M2,2019,2019-10-01,Q5-Q1,0.0361708711694544,188
M2,2019,2019-11-01,Q5-Q1,-0.006832212067028942,188
M2,2019,2019-12-01,Q5-Q1,0.023252928380712697,188
M2,2019,2020-01-01,Q5-Q1,-0.020650925927963193,188
M2,2019,2020-02-01,Q5-Q1,0.03802418452995647,188
M2,2019,2020-03-01,Q5-Q1,0.022526924026235795,188
M2,2019,2020-04-01,Q5-Q1,-0.08592912994914904,188
M2,2019,2020-05-01,Q5-Q1,0.054766495477869055,188
M2,2019,2020-06-01,Q5-Q1,-0.03291483766111683,188
M2,2020,2020-07-01,Q5-Q1,-0.018304019730050018,197
M2,2020,2020-08-01,Q5-Q1,0.005935170406111183,197
M2,2020,2020-09-01,Q5-Q1,-0.015641808990207885,197
M2,2020,2020-10-01,Q5-Q1,-0.004825228399366971,197
M2,2020,2020-11-01,Q5-Q1,-0.0070191330814330655,197
M2,2020,2020-12-01,Q5-Q1,-0.08044265715552198,197
M2,2020,2021-01-01,Q5-Q1,-0.005131006126669363,197
M2,2020,2021-02-01,Q5-Q1,-0.02393206939402099,197
M2,2020,2021-03-01,Q5-Q1,0.016751188232548224,197
M2,2020,2021-04-01,Q5-Q1,0.020902628998080763,197
M2,2020,2021-05-01,Q5-Q1,0.04947692165020726,197
M2,2020,2021-06-01,Q5-Q1,-0.003851435178822261,197
M2,2021,2021-07-01,Q5-Q1,0.047036158223633405,209
M2,2021,2021-08-01,Q5-Q1,0.013720756168101218,209
M2,2021,2021-09-01,Q5-Q1,-0.040432726234988545,209
M2,2021,2021-10-01,Q5-Q1,0.0506153129479944,209
M2,2021,2021-11-01,Q5-Q1,-0.0020863655882833506,209
M2,2021,2021-12-01,Q5-Q1,0.021919199351434857,209
M2,2021,2022-01-01,Q5-Q1,-0.08116816778815156,209
M2,2021,2022-02-01,Q5-Q1,-0.025709933171679532,209
M2,2021,2022-03-01,Q5-Q1,-0.04139534017402292,209
M2,2021,2022-04-01,Q5-Q1,0.016282840635252538,209
M2,2021,2022-05-01,Q5-Q1,-0.04191149129804405,209
M2,2021,2022-06-01,Q5-Q1,-0.015815953186970225,209
M2,2022,2022-07-01,Q5-Q1,0.02279991327466871,222
M2,2022,2022-08-01,Q5-Q1,-0.03089481381572596,222
M2,2022,2022-09-01,Q5-Q1,0.02735768406267783,222
M2,2022,2022-10-01,Q5-Q1,-0.0007724619908916347,222
M2,2022,2022-11-01,Q5-Q1,0.0523790281614665,222
M2,2022,2022-12-01,Q5-Q1,-0.01234282501711362,222
M2,2022,2023-01-01,Q5-Q1,-0.06738402216929897,222
M2,2022,2023-02-01,Q5-Q1,0.023793841217193957,222
M2,2022,2023-03-01,Q5-Q1,0.04545084600773614,222
M2,2022,2023-04-01,Q5-Q1,0.02081940639940333,222
M2,2022,2023-05-01,Q5-Q1,0.001544270640962471,222
M2,2022,2023-06-01,Q5-Q1,-0.011424735864554319,222
M2,2023,2023-07-01,Q5-Q1,-0.05148885326509541,231
M2,2023,2023-08-01,Q5-Q1,0.01254617535174931,231
M2,2023,2023-09-01,Q5-Q1,0.0014382729795745508,231
M2,2023,2023-10-01,Q5-Q1,0.02581833221603622,231
M2,2023,2023-11-01,Q5-Q1,-0.00442784604413992,231
M2,2023,2023-12-01,Q5-Q1,-0.011771635208712355,231
M2,2023,2024-01-01,Q5-Q1,0.0020624804313738973,231
M2,2023,2024-02-01,Q5-Q1,0.022945181469111627,231
M2,2023,2024-03-01,Q5-Q1,0.010681945093241815,231
M2,2023,2024-04-01,Q5-Q1,0.01475105276458324,231
M2,2023,2024-05-01,Q5-Q1,-0.02628471115822803,231
M2,2023,2024-06-01,Q5-Q1,-0.01715293181762287,231
M2,2024,2024-07-01,Q5-Q1,-0.0219311200101778,240
M2,2024,2024-08-01,Q5-Q1,0.03272008231899589,240
M2,2024,2024-09-01,Q5-Q1,0.0014315203777714707,240
M2,2024,2024-10-01,Q5-Q1,0.02541151942631535,240
M2,2024,2024-11-01,Q5-Q1,0.03002073234684763,240
M2,2024,2024-12-01,Q5-Q1,0.007903228941821855,240
M3,2010,2010-07-01,Q5-Q1,-0.010933657889604403,114
M3,2010,2010-08-01,Q5-Q1,0.06468515759933917,114
M3,2010,2010-09-01,Q5-Q1,-0.022519764832615856,114
M3,2010,2010-10-01,Q5-Q1,0.03709053010941152,114
M3,2010,2010-11-01,Q5-Q1,0.016565302460747534,114
M3,2010,2010-12-01,Q5-Q1,-0.006016015302839253,114
M3,2010,2011-01-01,Q5-Q1,-0.03143459119771046,114
M3,2010,2011-02-01,Q5-Q1,0.04378463371099678,114
M3,2010,2011-03-01,Q5-Q1,0.018641044197752702,114
M3,2010,2011-04-01,Q5-Q1,0.0070367050200414605,114
M3,2010,2011-05-01,Q5-Q1,0.03669726270480808,114
M3,2010,2011-06-01,Q5-Q1,0.0561479845766804,114
M3,2011,2011-07-01,Q5-Q1,-0.003112432017183246,126
M3,2011,2011-08-01,Q5-Q1,0.030817551031577642,126
M3,2011,2011-09-01,Q5-Q1,0.024764790414505133,126
M3,2011,2011-10-01,Q5-Q1,0.012870783672854796,126
M3,2011,2011-11-01,Q5-Q1,0.01344222258170148,126
M3,2011,2011-12-01,Q5-Q1,0.002261595488877121,126
M3,2011,2012-01-01,Q5-Q1,-0.023674075758609733,126
M3,2011,2012-02-01,Q5-Q1,-0.017158746222830014,126
M3,2011,2012-03-01,Q5-Q1,0.012405951724238567,126
M3,2011,2012-04-01,Q5-Q1,0.025695867562518182,126
M3,2011,2012-05-01,Q5-Q1,0.004967596215282949,126
M3,2011,2012-06-01,Q5-Q1,0.0020590999669190656,126
M3,2012,2012-07-01,Q5-Q1,-0.003512375389745876,130
M3,2012,2012-08-01,Q5-Q1,0.006415244384440853,130
M3,2012,2012-09-01,Q5-Q1,-0.0019312762601051345,130
M3,2012,2012-10-01,Q5-Q1,0.03151008931385314,130
M3,2012,2012-11-01,Q5-Q1,0.015317276191587358,130
M3,2012,2012-12-01,Q5-Q1,0.010931684051371834,130
M3,2012,2013-01-01,Q5-Q1,-0.005557923384278199,130
M3,2012,2013-02-01,Q5-Q1,0.04102163978684856,130
M3,2012,2013-03-01,Q5-Q1,0.03111589856581413,130
M3,2012,2013-04-01,Q5-Q1,0.037805478499410385,130
M3,2012,2013-05-01,Q5-Q1,-0.03182337326579687,130
M3,2012,2013-06-01,Q5-Q1,0.0052685622097749275,130
M3,2013,2013-07-01,Q5-Q1,0.012530162720442752,133
M3,2013,2013-08-01,Q5-Q1,0.016140140829982587,133
M3,2013,2013-09-01,Q5-Q1,0.041185524216439465,133
M3,2013,2013-10-01,Q5-Q1,0.03978995942929104,133
M3,2013,2013-11-01,Q5-Q1,0.0052055682868365726,133
M3,2013,2013-12-01,Q5-Q1,0.027909714402122084,133
M3,2013,2014-01-01,Q5-Q1,-0.047743964088350986,133
M3,2013,2014-02-01,Q5-Q1,-0.04874951496115461,133
M3,2013,2014-03-01,Q5-Q1,0.03732756037484591,133
M3,2013,2014-04-01,Q5-Q1,0.028021314892362266,133
M3,2013,2014-05-01,Q5-Q1,-0.0019771926316955284,133
M3,2013,2014-06-01,Q5-Q1,0.02566895117445378,133
M3,2014,2014-07-01,Q5-Q1,0.009542264257652429,138
M3,2014,2014-08-01,Q5-Q1,0.022035299359209455,138
M3,2014,2014-09-01,Q5-Q1,0.03759365592858904,138
M3,2014,2014-10-01,Q5-Q1,0.06910294245514355,138
M3,2014,2014-11-01,Q5-Q1,0.00448632726787864,138
M3,2014,2014-12-01,Q5-Q1,0.09071265618984738,138
M3,2014,2015-01-01,Q5-Q1,0.024301323821867546,138
M3,2014,2015-02-01,Q5-Q1,-0.014796933568405626,138
M3,2014,2015-03-01,Q5-Q1,0.04038067215986745,138
M3,2014,2015-04-01,Q5-Q1,0.002555727125016262,138
M3,2014,2015-05-01,Q5-Q1,0.006942453904719248,138
M3,2014,2015-06-01,Q5-Q1,-0.00879222475192376,138
M3,2015,2015-07-01,Q5-Q1,0.02210865297456871,146
M3,2015,2015-08-01,Q5-Q1,-0.01805108974417423,146
M3,2015,2015-09-01,Q5-Q1,0.022230817081179594,146
M3,2015,2015-10-01,Q5-Q1,0.022002994686818947,146
M3,2015,2015-11-01,Q5-Q1,0.03981406771583646,146
M3,2015,2015-12-01,Q5-Q1,0.00906716312535499,146
M3,2015,2016-01-01,Q5-Q1,0.009495603328936352,146
M3,2015,2016-02-01,Q5-Q1,-0.01311833747027946,146
M3,2015,2016-03-01,Q5-Q1,-0.03720449555118392,146
M3,2015,2016-04-01,Q5-Q1,-0.029381944825692095,146
M3,2015,2016-05-01,Q5-Q1,0.027665141335544638,146
M3,2015,2016-06-01,Q5-Q1,0.0023972104712653777,146
M3,2016,2016-07-01,Q5-Q1,0.01667492057967826,164
M3,2016,2016-08-01,Q5-Q1,-0.015089826490412805,164
M3,2016,2016-09-01,Q5-Q1,0.017655559609558807,164
M3,2016,2016-10-01,Q5-Q1,-0.016573196261673244,164
M3,2016,2016-11-01,Q5-Q1,-0.017565468275711805,164
M3,2016,2016-12-01,Q5-Q1,-0.02660503429905313,164
M3,2016,2017-01-01,Q5-Q1,-0.006729989861631806,164
M3,2016,2017-02-01,Q5-Q1,-0.009794063435066086,164
M3,2016,2017-03-01,Q5-Q1,-0.0008192153456818025,164
