company_name,sector,period_end,revenue,gross_profit,ebit,ebitda,net_income_before_minority,net_income,shares_diluted,total_equity,cash,current_assets,current_liabilities,short_term_debt,long_term_debt,shares_outstanding,ocf,dividends_paid,da_cf_reconcile,wc_change_cf,capex
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2024-03-31,1024.0,597.0,115.0,160.0,9.0,30.0,54.86,3033.0,2063.0,5083.0,3080.0,502.0,2589.0,54.86,259.0,81.0,94.0,271.0,133.0
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2024-06-30,1675.0,709.0,-53.0,44.0,-806.0,-467.0,54.86,2499.0,1766.0,4448.0,2651.0,459.0,2601.0,54.86,-118.0,56.0,704.0,15.0,119.0
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2024-09-30,911.0,503.0,55.0,108.0,-1.0,1.0,54.86,2462.0,967.0,4951.0,2802.0,308.0,1790.0,54.94,111.0,57.0,106.0,27.0,171.0
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2024-12-31,1139.19,624.9,168.0,222.72,3044.14,2674.58,55.02,5144.01,1834.09,3719.66,1828.75,336.96,1505.32,54.94,399.86,56.3,66.18,166.24,54.68
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2025-03-31,965.0,556.0,75.0,131.0,-3.0,8.0,54.94,5081.0,1714.0,3439.0,1665.0,330.0,1462.0,54.94,59.0,83.0,56.0,60.0,59.0
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2025-06-30,891.0,472.0,32.0,87.0,42.0,47.0,60.53,5032.0,1614.0,3331.0,1678.0,393.0,1470.0,54.94,-14.0,54.0,56.0,-37.0,99.0
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2025-09-30,853.0,458.0,33.0,101.0,733.0,734.0,55.06,5736.0,1602.0,3271.0,1647.0,387.0,1436.0,54.96,66.0,,55.0,4.0,74.0
Arendals Fossekompani ASA (AFK.OL),Electric Utilities & IPPs,2025-12-31,995.0,532.0,47.0,99.0,-267.0,-252.0,51.96,4887.0,1543.0,3162.0,1839.0,460.0,1247.0,54.96,,,,,
Atea ASA (ATEA.OL),Software & IT Services,2000-03-31,1596.0,510.0,-87.4,-72.3,-77.5,-76.7,12.94,4890.2,1581.5,4638.8,2039.5,338.0,30.3,14.5,-79.4,,,,
Atea ASA (ATEA.OL),Software & IT Services,2000-06-30,2067.3,558.9,-57.9,-32.7,-302.3,-302.8,16.07,7766.6,994.9,4690.1,3675.1,1050.9,33.9,18.17,,,,,
Atea ASA (ATEA.OL),Software & IT Services,2000-09-30,2290.7,730.0,17.5,38.0,-58.6,-59.4,18.16,7766.9,612.8,4124.7,3062.0,739.4,33.6,18.28,305.1,,,,
Atea ASA (ATEA.OL),Software & IT Services,2000-12-31,2223.9,417.4,-4374.3,-4354.0,-5513.6,-5514.5,143.82,2461.4,897.2,4088.1,3251.4,672.1,35.8,18.46,-136.9,,,,
Atea ASA (ATEA.OL),Software & IT Services,2001-03-31,2105.0,697.1,-55.3,-30.1,-95.0,-92.5,18.61,2535.2,756.0,3481.2,2523.6,702.4,30.5,18.78,-212.4,,,0.0,
Atea ASA (ATEA.OL),Software & IT Services,2001-06-30,1117.1,149.5,4.0,5.4,24.0,20.8,19.74,2456.7,821.6,3258.2,2383.6,823.2,27.9,18.78,174.0,,,0.0,
Atea ASA (ATEA.OL),Software & IT Services,2001-09-30,1521.2,525.7,-57.1,-29.3,-85.6,-83.0,18.76,2375.8,669.0,2919.2,2111.5,815.7,34.9,18.78,-69.2,,,0.0,
Atea ASA (ATEA.OL),Software & IT Services,2001-12-31,2391.7,1068.6,-91.1,-32.0,-802.8,-756.8,17.99,1694.9,675.4,2724.0,2706.9,813.8,30.3,18.83,30.8,,,-276.4,
Atea ASA (ATEA.OL),Software & IT Services,2002-03-31,1594.5,551.4,-49.3,-29.2,7.1,7.1,18.66,1725.4,334.3,2094.6,1830.3,361.7,29.8,19.09,-127.1,,,-63.0,
Atea ASA (ATEA.OL),Software & IT Services,2002-06-30,1455.1,514.5,-45.5,-23.8,-127.1,-127.1,19.13,1583.8,346.5,1952.7,1806.5,349.2,30.7,19.19,98.9,,,28.0,
Atea ASA (ATEA.OL),Software & IT Services,2002-09-30,1097.7,408.4,-1.4,17.9,2.8,2.8,19.19,1568.0,316.3,1587.4,1398.8,352.8,30.1,19.19,-19.2,,,-14.0,
Atea ASA (ATEA.OL),Software & IT Services,2002-12-31,1398.5,474.8,7.3,29.9,-708.5,-707.5,20.07,947.0,494.1,1851.2,1664.8,370.5,14.9,21.09,-65.6,,,-287.1,
Atea ASA (ATEA.OL),Software & IT Services,2003-03-31,1187.7,472.7,-16.5,3.0,-22.7,-22.7,21.09,940.0,429.4,1510.2,1330.8,322.9,16.0,21.09,-49.2,,,-58.5,
Atea ASA (ATEA.OL),Software & IT Services,2003-06-30,1108.0,435.8,-24.9,-5.0,-187.8,-187.8,21.09,759.1,287.7,1424.9,1400.9,261.1,16.5,21.09,-74.6,,,-64.2,
Atea ASA (ATEA.OL),Software & IT Services,2003-09-30,933.5,372.5,-9.8,9.6,-17.4,-17.4,21.36,846.2,357.1,1396.7,1258.0,268.0,16.3,23.19,-45.1,,,-49.6,
Atea ASA (ATEA.OL),Software & IT Services,2003-12-31,1433.9,484.6,2.8,18.3,-42.2,-42.2,23.22,808.5,359.5,1776.1,1692.1,340.9,10.9,23.19,,,,,
Atea ASA (ATEA.OL),Software & IT Services,2004-03-31,1284.0,472.7,7.3,28.7,-2.3,-2.3,23.19,205.3,305.1,1462.9,1475.7,331.0,26.9,23.19,20.5,,,10.3,
Atea ASA (ATEA.OL),Software & IT Services,2004-06-30,892.1,351.9,-12.0,0.1,-35.2,-35.2,83.19,167.4,224.7,1279.6,1351.2,312.2,25.3,38.13,-23.3,,,-19.8,
Atea ASA (ATEA.OL),Software & IT Services,2004-09-30,686.6,225.4,-2.2,14.5,-75.6,-75.6,,90.3,128.6,1087.4,1240.5,293.6,34.7,23.19,-45.4,,,-56.9,
Atea ASA (ATEA.OL),Software & IT Services,2004-12-31,1178.7,399.1,-14.6,5.0,-61.9,-61.9,25.64,238.3,557.8,1803.2,1829.7,365.1,29.1,38.13,180.3,,,134.6,
Atea ASA (ATEA.OL),Software & IT Services,2005-03-31,732.8,241.4,-41.8,-26.9,-86.1,-86.1,38.19,151.8,261.8,1239.1,1355.9,301.3,26.3,38.13,-213.4,,,-159.5,
Atea ASA (ATEA.OL),Software & IT Services,2005-06-30,752.2,260.3,-18.8,-5.0,-63.9,-63.9,38.19,88.5,254.6,1295.8,1489.0,366.3,23.6,38.13,-44.3,,,-0.2,
Atea ASA (ATEA.OL),Software & IT Services,2005-09-30,623.4,207.0,-29.9,-16.8,-28.2,-28.2,38.19,61.1,210.5,1005.9,1200.6,322.2,26.5,38.13,-39.4,,,16.4,
Atea ASA (ATEA.OL),Software & IT Services,2005-12-31,668.2,78.0,105.5,106.5,25.1,25.1,38.19,86.5,404.2,1464.7,1897.9,372.1,7.0,38.13,28.6,,,60.6,
Atea ASA (ATEA.OL),Software & IT Services,2006-03-31,1011.7,304.6,3.6,19.3,-19.7,-19.7,48.07,1313.3,424.0,1689.5,1803.7,565.3,9.9,76.23,-71.0,,,-68.6,
Atea ASA (ATEA.OL),Software & IT Services,2006-06-30,1547.9,384.1,24.7,42.8,53.7,54.7,76.71,1375.2,153.8,1599.6,1643.8,443.2,9.2,76.23,-165.6,,,-207.4,
Atea ASA (ATEA.OL),Software & IT Services,2006-09-30,1981.0,442.9,11.4,34.9,-219.6,-219.1,76.23,1607.0,220.5,2704.5,3065.5,914.5,10.5,94.49,107.2,,,85.2,
Atea ASA (ATEA.OL),Software & IT Services,2006-12-31,4206.4,765.5,378.2,421.8,137.6,140.6,112.04,1754.0,646.0,4351.7,5204.3,15.6,,94.49,-82.4,,,0.8,
Atea ASA (ATEA.OL),Software & IT Services,2007-03-31,2971.5,658.9,56.1,78.3,44.1,44.1,95.45,1781.6,209.7,2747.1,2944.6,769.0,10.3,94.49,250.6,,,175.3,
Atea ASA (ATEA.OL),Software & IT Services,2007-06-30,3310.2,709.2,91.7,114.4,84.8,84.8,96.14,1845.5,189.3,3244.9,3507.2,1032.7,29.2,95.23,-140.8,,,-249.9,
Atea ASA (ATEA.OL),Software & IT Services,2007-09-30,2590.4,604.7,50.5,77.9,39.9,39.9,96.24,1795.8,215.9,2849.5,3098.1,1014.4,27.6,95.23,76.7,,,6.1,
Atea ASA (ATEA.OL),Software & IT Services,2007-12-31,4338.2,880.3,189.9,220.7,254.5,254.5,96.16,2100.4,384.7,4325.2,4511.0,982.5,5.7,94.53,284.0,,,110.5,
Atea ASA (ATEA.OL),Software & IT Services,2008-03-31,3223.7,790.7,69.4,100.2,56.3,55.9,95.85,2183.8,383.7,3359.0,3659.9,1180.9,7.5,94.53,10.9,,,-75.1,
Atea ASA (ATEA.OL),Software & IT Services,2008-06-30,3756.5,861.5,120.2,153.2,104.7,103.6,96.01,2273.8,275.7,3506.0,3704.6,942.6,11.0,94.56,167.9,,,26.3,
Atea ASA (ATEA.OL),Software & IT Services,2008-09-30,3078.6,726.3,64.5,96.7,50.5,50.3,95.73,2358.9,281.5,3306.5,3644.8,1147.8,15.5,93.59,11.3,,,-70.5,
Atea ASA (ATEA.OL),Software & IT Services,2008-12-31,4709.0,1007.6,147.3,234.0,221.1,221.8,95.21,2854.8,569.8,5053.3,6098.7,1249.1,15.4,91.74,311.2,,,141.1,
Atea ASA (ATEA.OL),Software & IT Services,2009-03-31,3504.0,865.6,47.2,87.7,37.5,37.5,95.53,2614.7,297.0,3582.6,3799.0,888.9,12.2,91.74,113.2,,,35.3,15.7
Atea ASA (ATEA.OL),Software & IT Services,2009-06-30,3785.3,864.2,71.3,113.6,58.3,55.5,95.59,2625.5,132.3,3550.3,3789.6,798.0,11.6,91.74,75.3,,,-31.1,35.6
Atea ASA (ATEA.OL),Software & IT Services,2009-09-30,2890.2,727.7,64.3,104.0,54.1,54.2,92.3,2602.9,140.1,2973.8,3176.9,839.3,10.5,91.74,4.4,,,-88.9,17.5
Atea ASA (ATEA.OL),Software & IT Services,2009-12-31,4409.1,967.3,183.7,228.5,232.5,235.0,85.45,2809.2,225.6,4140.2,4236.2,403.9,12.4,91.74,533.6,,,353.9,66.7
Atea ASA (ATEA.OL),Software & IT Services,2010-03-31,3570.9,880.7,78.6,119.1,73.8,73.8,96.86,2895.7,226.6,3406.2,3500.4,563.5,10.0,93.91,27.1,,,-88.8,16.6
Atea ASA (ATEA.OL),Software & IT Services,2010-06-30,4042.4,915.9,91.6,134.5,66.9,66.6,95.01,2861.1,77.3,3956.7,4134.8,576.9,15.1,92.59,71.2,,,-46.2,26.1
Atea ASA (ATEA.OL),Software & IT Services,2010-09-30,3558.4,825.0,71.8,116.3,48.4,48.2,94.93,2936.2,185.5,3798.8,4004.7,914.8,9.2,94.04,-66.9,,,-180.0,35.8
Atea ASA (ATEA.OL),Software & IT Services,2010-12-31,5959.6,1206.7,247.3,293.3,309.0,308.3,95.64,3338.2,431.2,5850.6,6027.7,721.3,20.5,96.29,554.9,,,176.9,46.7
Atea ASA (ATEA.OL),Software & IT Services,2011-03-31,4647.9,1133.3,110.4,157.2,88.4,88.4,100.41,3465.0,184.3,4237.7,4303.2,657.5,14.0,97.1,-70.1,,,-207.7,31.5
Atea ASA (ATEA.OL),Software & IT Services,2011-06-30,4947.8,1179.9,128.2,180.0,111.0,111.0,100.59,3452.9,63.7,4289.2,4330.2,411.8,1.9,99.56,237.9,,,50.3,39.6
Atea ASA (ATEA.OL),Software & IT Services,2011-09-30,4112.8,973.1,98.4,146.5,74.7,74.7,100.39,3561.3,106.0,4196.2,4170.5,724.1,2.1,99.56,-164.4,,,-305.0,53.2
Atea ASA (ATEA.OL),Software & IT Services,2011-12-31,6519.3,1361.3,314.3,374.0,326.7,318.9,101.45,3825.2,498.3,6304.4,6077.5,218.2,14.5,99.78,1043.1,,,658.6,53.8
Atea ASA (ATEA.OL),Software & IT Services,2012-03-31,4819.2,1187.9,102.1,156.9,79.5,79.5,101.14,3878.9,144.9,4570.6,4343.1,449.5,22.1,100.1,-421.4,,,-603.8,50.7
Atea ASA (ATEA.OL),Software & IT Services,2012-06-30,5339.7,1205.1,93.2,153.6,66.8,66.8,101.21,3456.0,23.6,5068.6,5301.4,860.7,28.2,100.46,64.1,,,-83.5,56.9
Atea ASA (ATEA.OL),Software & IT Services,2012-09-30,4450.5,1070.0,95.4,154.6,78.5,78.5,100.64,3521.5,162.4,4516.6,4662.0,1019.2,26.9,100.46,39.5,,,-45.3,48.6
Atea ASA (ATEA.OL),Software & IT Services,2012-12-31,6320.9,1383.5,270.3,347.5,285.0,282.8,101.15,3815.8,180.8,5735.5,5678.6,66.5,64.6,101.18,1130.2,,,,92.5
Atea ASA (ATEA.OL),Software & IT Services,2013-03-31,5084.8,1187.6,67.1,138.7,53.1,53.1,102.31,3976.1,166.7,4720.1,4612.0,357.4,73.0,102.06,-224.1,,,-372.8,77.1
Atea ASA (ATEA.OL),Software & IT Services,2013-06-30,5501.8,1246.9,57.4,135.6,38.6,38.6,101.58,3524.3,283.9,5244.1,4829.9,144.3,911.3,102.06,158.2,,,37.0,57.0
Atea ASA (ATEA.OL),Software & IT Services,2013-09-30,4663.6,1107.2,70.2,153.0,50.2,49.7,102.45,3644.4,1.1,4538.0,4002.5,0.8,956.8,102.06,-96.9,,,-244.2,44.6
Atea ASA (ATEA.OL),Software & IT Services,2013-12-31,6845.6,1432.3,242.6,355.6,198.0,197.3,102.93,3532.8,747.4,6651.4,6405.4,146.2,1018.7,103.11,1036.6,,,,109.3
Atea ASA (ATEA.OL),Software & IT Services,2014-03-31,5884.3,1292.7,88.8,173.2,70.5,70.5,103.68,3573.5,514.3,5105.6,4784.6,138.8,1002.0,103.35,-149.4,0.0,84.4,-307.8,56.5
Atea ASA (ATEA.OL),Software & IT Services,2014-06-30,5981.0,1298.0,89.0,170.0,55.0,55.0,105.77,3058.0,464.0,5569.0,5747.0,0.0,1016.0,103.89,424.0,310.0,81.0,286.0,49.0
Atea ASA (ATEA.OL),Software & IT Services,2014-09-30,5173.5,1191.4,117.4,198.8,87.7,87.7,104.4,3072.0,290.0,4861.0,4973.0,30.0,1015.0,103.89,-104.0,0.0,81.0,-282.0,49.0
Atea ASA (ATEA.OL),Software & IT Services,2014-12-31,7549.3,1589.4,289.2,388.4,215.9,215.9,105.15,3549.2,593.5,7498.4,7703.5,291.2,1120.8,104.09,745.5,,,,62.8
Atea ASA (ATEA.OL),Software & IT Services,2015-03-31,6498.2,1445.1,100.2,192.9,68.4,68.4,105.23,3531.8,464.2,5585.9,5697.7,228.2,1097.0,104.42,24.8,0.2,92.7,-128.6,36.9
Atea ASA (ATEA.OL),Software & IT Services,2015-06-30,6842.0,1439.0,58.0,158.0,24.0,24.0,104.35,2908.0,298.0,6372.0,7243.0,678.0,1122.0,104.53,-63.0,339.0,100.0,-181.0,99.0
Atea ASA (ATEA.OL),Software & IT Services,2015-09-30,5957.0,1362.0,106.0,206.0,68.0,68.0,106.15,3184.0,172.0,5606.0,6341.0,695.0,1177.0,104.49,-134.0,0.0,100.0,-314.0,46.0
Atea ASA (ATEA.OL),Software & IT Services,2015-12-31,8606.0,1754.0,258.0,374.0,231.0,231.0,108.03,3480.0,635.0,8252.0,8790.0,197.0,1182.0,104.59,1459.0,340.0,116.0,1099.0,111.0
Atea ASA (ATEA.OL),Software & IT Services,2016-03-31,7246.0,1593.0,92.0,197.0,59.0,59.0,105.36,3487.0,139.0,5797.0,6272.0,282.0,1149.0,104.7,-441.0,,105.0,-562.0,61.0
Atea ASA (ATEA.OL),Software & IT Services,2016-06-30,8442.0,1666.0,102.0,205.0,70.0,70.0,105.16,3185.0,116.0,7019.0,7746.0,775.0,1125.0,105.16,-71.0,340.0,103.0,-240.0,81.0
Atea ASA (ATEA.OL),Software & IT Services,2016-09-30,6403.0,1401.0,131.0,234.0,93.0,93.0,106.9,2832.0,155.0,5566.0,6575.0,787.0,1094.0,105.16,152.0,,103.0,-65.0,90.0
Atea ASA (ATEA.OL),Software & IT Services,2016-12-31,9096.0,1840.0,354.0,482.0,291.0,291.0,109.25,3200.0,883.0,8251.0,8908.0,152.0,1079.0,105.76,1765.0,343.0,96.0,1349.0,48.0
Atea ASA (ATEA.OL),Software & IT Services,2017-03-31,7360.0,1600.0,105.0,198.0,69.0,69.0,106.17,3320.0,467.0,6111.0,6648.0,96.0,1070.0,106.17,-321.0,,93.0,-433.0,56.0
Atea ASA (ATEA.OL),Software & IT Services,2017-06-30,8409.0,1690.0,125.0,220.0,84.0,84.0,107.69,3196.0,18.0,7083.0,8778.0,1367.0,144.0,106.49,-395.0,348.0,95.0,-593.0,55.0
Atea ASA (ATEA.OL),Software & IT Services,2017-09-30,6654.0,1518.0,176.0,270.0,125.0,125.0,107.83,2928.0,52.0,6156.0,8035.0,1263.0,136.0,106.61,189.0,0.0,94.0,-58.0,56.0
Atea ASA (ATEA.OL),Software & IT Services,2017-12-31,10015.0,2009.0,393.0,512.0,265.0,265.0,111.49,3373.0,1126.0,9663.0,11133.0,903.0,120.0,107.57,1765.0,347.0,94.0,1336.0,62.0
Atea ASA (ATEA.OL),Software & IT Services,2018-03-31,8340.0,1744.0,123.0,217.0,87.0,87.0,107.71,3361.0,294.0,6973.0,8343.0,1051.0,111.0,107.7,-841.0,0.0,94.0,-991.0,80.0
Atea ASA (ATEA.OL),Software & IT Services,2018-06-30,9099.0,1795.0,127.0,220.0,84.0,84.0,109.09,3057.0,59.0,7905.0,9034.0,1073.0,581.0,107.78,-302.0,350.0,93.0,-514.0,68.0
Atea ASA (ATEA.OL),Software & IT Services,2018-09-30,7098.0,1590.0,132.0,223.0,92.0,92.0,109.52,2814.0,24.0,6701.0,8115.0,1374.0,576.0,107.78,-196.0,0.0,91.0,-410.0,78.0
Atea ASA (ATEA.OL),Software & IT Services,2018-12-31,10172.0,2093.0,308.0,400.0,204.0,204.0,111.25,3237.0,765.0,9581.0,10741.0,224.0,557.0,108.68,2286.0,350.0,92.0,1879.0,79.0
Atea ASA (ATEA.OL),Software & IT Services,2019-03-31,9139.0,1798.0,116.0,257.0,80.0,80.0,109.72,3201.0,552.0,7104.0,8358.0,902.0,1213.0,109.11,-481.0,0.0,141.0,-624.0,88.0
Atea ASA (ATEA.OL),Software & IT Services,2019-06-30,9487.0,1761.0,145.0,289.0,97.0,97.0,110.23,2966.0,739.0,7435.0,8951.0,783.0,1327.0,109.41,872.0,355.0,144.0,606.0,78.0
Atea ASA (ATEA.OL),Software & IT Services,2019-09-30,7829.0,1607.0,181.0,330.0,135.0,135.0,109.76,2813.0,708.0,6262.0,7959.0,1405.0,1310.0,109.41,-433.0,0.0,149.0,-765.0,66.0
Atea ASA (ATEA.OL),Software & IT Services,2019-12-31,10200.0,2002.0,305.0,459.0,218.0,218.0,113.05,3075.0,1770.0,8849.0,10348.0,997.0,1342.0,109.7,1940.0,355.0,154.0,1546.0,21.0
Atea ASA (ATEA.OL),Software & IT Services,2020-03-31,9043.0,1841.0,103.0,259.0,6.0,6.0,110.61,3596.0,820.0,7525.0,9085.0,1265.0,1587.0,109.97,-1198.0,0.0,156.0,-1252.0,114.0
Atea ASA (ATEA.OL),Software & IT Services,2020-06-30,10598.0,1902.0,204.0,366.0,151.0,151.0,111.03,3638.0,1025.0,8315.0,9661.0,487.0,1552.0,109.97,1010.0,0.0,162.0,683.0,52.0
Atea ASA (ATEA.OL),Software & IT Services,2020-09-30,8185.0,1686.0,215.0,376.0,149.0,149.0,110.37,3856.0,1138.0,7031.0,8233.0,782.0,1628.0,109.97,-7.0,0.0,161.0,-343.0,66.0
Atea ASA (ATEA.OL),Software & IT Services,2020-12-31,11676.0,2164.0,374.0,538.0,284.0,284.0,112.25,3384.0,1610.0,9957.0,11430.0,443.0,1597.0,109.38,1583.0,550.0,164.0,1096.0,98.0
Atea ASA (ATEA.OL),Software & IT Services,2021-03-31,9999.0,1929.0,176.0,331.0,128.0,128.0,112.57,3492.0,807.0,7257.0,8319.0,397.0,1514.0,111.04,-641.0,0.0,155.0,-934.0,76.0
Atea ASA (ATEA.OL),Software & IT Services,2021-06-30,6692.0,1937.0,206.0,358.0,142.0,142.0,114.52,3382.0,941.0,7828.0,9058.0,399.0,1517.0,112.0,582.0,278.0,152.0,275.0,69.0
Atea ASA (ATEA.OL),Software & IT Services,2021-09-30,8525.0,1767.0,261.0,411.0,186.0,186.0,114.11,3574.0,524.0,6549.0,7576.0,632.0,1461.0,111.89,-503.0,0.0,150.0,-879.0,74.0
Atea ASA (ATEA.OL),Software & IT Services,2021-12-31,11864.0,2199.0,403.0,560.0,307.0,307.0,114.85,3507.0,1360.0,9727.0,10674.0,363.0,1514.0,111.52,1657.0,277.0,157.0,1233.0,108.0
Atea ASA (ATEA.OL),Software & IT Services,2022-03-31,6906.0,1945.0,183.0,330.0,130.0,130.0,111.65,3489.0,634.0,7281.0,8196.0,601.0,1525.0,111.36,-696.0,0.0,147.0,-921.0,68.0
Atea ASA (ATEA.OL),Software & IT Services,2022-06-30,7590.0,2060.0,281.0,433.0,222.0,222.0,112.12,3596.0,932.0,10201.0,11805.0,2398.0,1057.0,112.02,-580.0,309.0,152.0,-899.0,109.0
Atea ASA (ATEA.OL),Software & IT Services,2022-09-30,8082.0,1926.0,284.0,440.0,196.0,196.0,112.0,3875.0,859.0,8940.0,10362.0,1828.0,1074.0,112.02,655.0,0.0,156.0,275.0,89.0
Atea ASA (ATEA.OL),Software & IT Services,2022-12-31,9820.0,2457.0,377.0,545.0,300.0,300.0,110.6,3728.0,926.0,11138.0,12813.0,949.0,1054.0,110.6,1578.0,303.0,161.0,1140.0,130.0
Atea ASA (ATEA.OL),Software & IT Services,2023-03-31,8692.0,2340.0,250.0,418.0,175.0,175.0,111.52,4214.0,1053.0,9740.0,11208.0,895.0,1110.0,110.73,205.0,0.0,168.0,-116.0,73.0
Atea ASA (ATEA.OL),Software & IT Services,2023-06-30,8870.0,2481.0,291.0,466.0,194.0,194.0,112.14,4142.0,1161.0,11116.0,12137.0,1033.0,1688.0,110.94,340.0,346.0,175.0,-65.0,108.0
Atea ASA (ATEA.OL),Software & IT Services,2023-09-30,7743.0,2112.0,298.0,468.0,182.0,182.0,112.35,4213.0,1019.0,8372.0,9188.0,993.0,1737.0,111.05,-301.0,0.0,170.0,-689.0,41.0
Atea ASA (ATEA.OL),Software & IT Services,2023-12-31,9399.0,2628.0,404.0,579.0,250.0,250.0,111.84,4199.0,1587.0,11509.0,12437.0,423.0,1681.0,111.15,1634.0,347.0,175.0,1249.0,100.0
Atea ASA (ATEA.OL),Software & IT Services,2024-03-31,7606.0,2376.0,256.0,436.0,191.0,191.0,112.26,4511.0,830.0,8793.0,9544.0,797.0,1732.0,111.48,-903.0,0.0,180.0,-1242.0,82.0
Atea ASA (ATEA.OL),Software & IT Services,2024-06-30,8380.0,2463.0,243.0,422.0,139.0,139.0,113.01,4183.0,1190.0,10735.0,11771.0,1113.0,1771.0,111.66,665.0,391.0,179.0,343.0,112.0
Atea ASA (ATEA.OL),Software & IT Services,2024-09-30,7983.0,2172.0,307.0,492.0,192.0,192.0,112.28,4154.0,1034.0,8732.0,9892.0,967.0,1774.0,111.79,112.0,0.0,185.0,-280.0,89.0
Atea ASA (ATEA.OL),Software & IT Services,2024-12-31,10615.0,2653.0,404.0,595.0,253.0,253.0,114.58,4423.0,2004.0,13648.0,14581.0,460.0,1739.0,111.83,2154.0,391.0,191.0,1659.0,143.0
Atea ASA (ATEA.OL),Software & IT Services,2025-03-31,8553.0,2494.0,281.0,469.0,162.0,162.0,112.45,4456.0,879.0,9644.0,10512.0,483.0,1755.0,111.39,-881.0,0.0,188.0,-1280.0,103.0
Atea ASA (ATEA.OL),Software & IT Services,2025-06-30,9139.0,2582.0,268.0,462.0,157.0,157.0,112.95,4003.0,1066.0,13025.0,14514.0,1382.0,1821.0,111.5,-111.0,390.0,194.0,-492.0,108.0
Atea ASA (ATEA.OL),Software & IT Services,2025-09-30,8433.0,2317.0,348.0,545.0,226.0,226.0,113.0,4152.0,907.0,9427.0,10727.0,1205.0,1763.0,111.36,220.0,0.0,197.0,-248.0,93.0
Atea ASA (ATEA.OL),Software & IT Services,2025-12-31,11252.0,2887.0,488.0,688.0,333.0,333.0,113.27,4541.0,1594.0,13804.0,14728.0,474.0,1714.0,111.43,1977.0,390.0,200.0,1403.0,127.0
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2005-03-31,349.76,349.76,12.9,40.05,6.08,5.18,178.22,,,,,,,,,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2005-06-30,434.95,434.95,128.6,162.15,88.4,94.37,178.22,739.15,103.13,739.25,868.72,587.52,720.67,178.22,,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2005-09-30,391.08,391.08,16.8,32.55,25.12,23.65,178.22,782.82,141.67,856.78,714.35,419.36,1002.38,178.22,84.86,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2005-12-31,511.21,511.21,73.55,110.66,117.82,109.44,178.22,905.01,126.49,895.01,709.09,444.34,1007.09,178.22,-17.26,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2006-03-31,332.85,332.85,19.66,31.06,71.26,62.8,178.22,962.54,136.35,941.44,754.13,435.49,881.29,178.22,25.29,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2006-06-30,423.77,423.77,39.63,52.47,128.78,127.52,134.23,2848.78,889.21,2984.5,1977.21,1419.19,1265.27,178.22,,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2006-09-30,1077.76,1077.76,177.8,231.24,-19.17,-20.43,178.22,2813.34,716.04,2136.62,1289.5,823.37,1202.51,178.22,551.28,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2006-12-31,887.38,887.38,127.72,167.41,85.64,79.57,80.2,3553.8,1411.49,2699.0,1186.63,614.45,1354.38,178.22,349.81,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2007-03-31,847.98,847.98,86.3,136.53,365.92,364.32,180.36,4167.33,1421.61,3151.92,1692.83,1060.12,2368.59,184.32,-403.92,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2007-06-30,886.36,886.36,217.21,265.01,89.61,85.38,174.25,4231.48,1446.1,3414.55,1850.47,1177.13,2363.0,184.32,89.45,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2007-09-30,1014.64,164.71,8.52,59.24,-0.99,-2.16,216.5,4081.6,1416.55,2690.85,1350.7,799.17,2426.29,184.32,558.22,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2007-12-31,719.98,719.98,-30.55,22.63,54.21,52.66,149.32,4141.39,1040.91,2161.17,1650.52,1506.22,2300.22,184.32,29.34,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2008-03-31,741.98,236.13,15.81,69.76,-11.99,-12.44,184.32,4103.69,864.83,2268.0,1583.82,1020.44,2599.33,184.32,-62.65,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2008-06-30,860.42,393.25,176.63,231.27,25.18,24.16,184.32,4038.64,566.98,2051.75,1310.8,865.33,2582.48,184.32,-62.52,,,,
Austevoll Seafood ASA (AUSS.OL),Food & Tobacco,2008-09-30,933.85,307.16,136.7,191.97,47.1,41.2,187.25,4305.67,542.76,1971.85,1085.37,592.16,2781.93,184.32,336.22,,,,
