Exchange,Date,Method,PortfolioStrategy,Return
Copenhagen,2018-11-30,Method1_Raw,Q5,-0.005884531868112844
Copenhagen,2018-12-31,Method1_Raw,Q5,0.017866853317609923
Copenhagen,2019-01-31,Method1_Raw,Q5,0.019576742206060666
Copenhagen,2019-02-28,Method1_Raw,Q5,0.06130672827676154
Copenhagen,2019-03-31,Method1_Raw,Q5,0.030424722370406637
Copenhagen,2019-04-30,Method1_Raw,Q5,0.027060601674226352
Copenhagen,2019-05-31,Method1_Raw,Q5,-0.04920149669183185
Copenhagen,2019-06-30,Method1_Raw,Q5,0.005894675914541032
Copenhagen,2019-07-31,Method1_Raw,Q5,0.021535790592794653
Copenhagen,2019-08-31,Method1_Raw,Q5,0.05905933448785896
Copenhagen,2019-09-30,Method1_Raw,Q5,-0.03345640802468861
Copenhagen,2019-10-31,Method1_Raw,Q5,0.040515083565393475
Copenhagen,2019-11-30,Method1_Raw,Q5,0.06714835939145526
Copenhagen,2019-12-31,Method1_Raw,Q5,-0.029927581446839217
Copenhagen,2020-01-31,Method1_Raw,Q5,0.07310142479745424
Copenhagen,2020-02-29,Method1_Raw,Q5,-0.030322795211670864
Copenhagen,2020-03-31,Method1_Raw,Q5,-0.017745338412655676
Copenhagen,2020-04-30,Method1_Raw,Q5,0.05165484380547509
Copenhagen,2020-05-31,Method1_Raw,Q5,0.06180837368658336
Copenhagen,2020-06-30,Method1_Raw,Q5,-0.01054094111037838
Copenhagen,2020-07-31,Method1_Raw,Q5,0.02762564782362315
Copenhagen,2020-08-31,Method1_Raw,Q5,0.02072272082814887
Copenhagen,2020-09-30,Method1_Raw,Q5,0.06594059373478608
Copenhagen,2020-10-31,Method1_Raw,Q5,-0.011420217486736165
Copenhagen,2020-11-30,Method1_Raw,Q5,0.04431983684522102
Copenhagen,2020-12-31,Method1_Raw,Q5,0.02282679451166816
Copenhagen,2021-01-31,Method1_Raw,Q5,-0.04871131200166606
Copenhagen,2021-02-28,Method1_Raw,Q5,0.06263210511168135
Copenhagen,2021-03-31,Method1_Raw,Q5,-0.0006491509563589271
Copenhagen,2021-04-30,Method1_Raw,Q5,0.08254099881024883
Copenhagen,2021-05-31,Method1_Raw,Q5,0.07136921393128354
Copenhagen,2021-06-30,Method1_Raw,Q5,0.06241650010303556
Copenhagen,2021-07-31,Method1_Raw,Q5,0.10925429008120542
Copenhagen,2021-08-31,Method1_Raw,Q5,-0.012355611973164175
Copenhagen,2021-09-30,Method1_Raw,Q5,-0.07928506172408707
Copenhagen,2021-10-31,Method1_Raw,Q5,-0.02033070356578648
Copenhagen,2021-11-30,Method1_Raw,Q5,0.019934638931191358
Copenhagen,2021-12-31,Method1_Raw,Q5,0.015202773804302466
Copenhagen,2022-01-31,Method1_Raw,Q5,-0.09968037208553761
Copenhagen,2022-02-28,Method1_Raw,Q5,-0.03339249425185335
Copenhagen,2022-03-31,Method1_Raw,Q5,0.0025368866148532372
Copenhagen,2022-04-30,Method1_Raw,Q5,0.0064056626489072096
Copenhagen,2022-05-31,Method1_Raw,Q5,-0.04754100094100883
Copenhagen,2022-06-30,Method1_Raw,Q5,-0.03294011848886008
Copenhagen,2022-07-31,Method1_Raw,Q5,0.06565495848170472
Copenhagen,2022-08-31,Method1_Raw,Q5,-0.07771455490489741
Copenhagen,2022-09-30,Method1_Raw,Q5,-0.11596008702407254
Copenhagen,2022-10-31,Method1_Raw,Q5,0.08273276873021691
Copenhagen,2022-11-30,Method1_Raw,Q5,0.034487987254780327
Copenhagen,2022-12-31,Method1_Raw,Q5,0.0019596028699295784
Copenhagen,2023-01-31,Method1_Raw,Q5,0.008877618340429355
Copenhagen,2023-02-28,Method1_Raw,Q5,0.06735969249265418
Copenhagen,2023-03-31,Method1_Raw,Q5,0.026470234840691085
Copenhagen,2023-04-30,Method1_Raw,Q5,0.05674424057694919
Copenhagen,2023-05-31,Method1_Raw,Q5,-0.014211143892715805
Copenhagen,2023-06-30,Method1_Raw,Q5,-0.011627493769100406
Copenhagen,2023-07-31,Method1_Raw,Q5,-0.03566930264766447
Copenhagen,2023-08-31,Method1_Raw,Q5,0.005542403220633662
Copenhagen,2023-09-30,Method1_Raw,Q5,-0.022724220952711566
Copenhagen,2023-10-31,Method1_Raw,Q5,-0.031946647251562675
Copenhagen,2023-11-30,Method1_Raw,Q5,0.043461890644259954
Copenhagen,2023-12-31,Method1_Raw,Q5,0.007425524394844849
Copenhagen,2024-01-31,Method1_Raw,Q5,0.03472799712112125
