Exchange,PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
Helsinki,LongShort,CAPM,0.11835267104869822,0.1162550716176565,0.12413171996975358,0.0004332982413681741,0.0021562849668281814,0.0003680199264861628,3.58188488201653,3.1103773407266897,3.627219965151595,-0.002097599431041837,0.005779048921055302,0.9664975575056209,0.9029010825686652,-0.04202912122037674,0.12207887788624674
Helsinki,LongShort,FF3,0.11126584658461595,0.10842790464201002,0.11733306979465769,0.00032922939339807833,0.0013963903136220424,0.001081588792680055,3.6586210982602445,3.2436863263412437,3.319895920334838,-0.002837941942602012,0.006067223210044526,0.9498308585953319,0.8957419503282988,-0.06296119820002422,0.13113082410389632
Helsinki,LongShort,FF3+MOM,0.10685360851881627,0.09675428654380046,0.11913168372987643,0.00024436735608812654,0.0038059766127640504,9.51039721219793e-05,3.7402205026450415,2.930500692927013,3.989103539649835,-0.010099321975029172,0.012278075211052196,0.8159260280884308,0.7635026062063424,-0.23295211096685264,0.301103887337
Helsinki,LongShort,FF5,0.11111404976102164,0.10851730646227943,0.11474466601551539,0.00029100772169909916,0.0016692200156180892,0.0017640236108058538,3.693162021913998,3.190130706239297,3.1732491033557344,-0.0025967432987392346,0.0036306162544942006,0.9543024004105598,0.9380272319988843,-0.05734344633295929,0.07780219304191215
Helsinki,LongShort,FF5+MOM,0.11500127715475955,0.10330004104799984,0.12099483174419355,4.301601191492033e-05,0.0016485446775960089,4.580189854386241e-05,4.190795580586591,3.1941863428548167,4.175179094219619,-0.011701236106761829,0.005993554589441525,0.7805877257543203,0.8785643140785708,-0.27875611449533283,0.1528951398891835
Helsinki,Q5,CAPM,0.06526164197227695,0.05551500240162078,0.07113474875437346,0.0707758497528932,0.08051286816326586,0.03312986166988052,1.8171097548285733,1.7570917852179635,2.1461440287174036,-0.009746639570656229,0.005873106782096467,0.8381533410853581,0.9041168072500747,-0.20439618136134624,0.12054290024988927
Helsinki,Q5,FF3,0.06471873341092482,0.054931136642004774,0.070874672942715,0.04402067974894375,0.05333589701218444,0.02158789981584519,2.0275230107296323,1.9444289990028072,2.3168789188350556,-0.009787596768936358,0.006155939531773964,0.8177430548945797,0.888903028658462,-0.23061021316381547,0.13978713059787298
Helsinki,Q5,FF3+MOM,0.053348645971578526,0.03989573592418131,0.05463814998522906,0.06038911500462074,0.1548769900972058,0.05233704019101504,1.889374957204583,1.4282881328417685,1.9527895074873847,-0.013452910047383311,0.0012895040136645178,0.7344525832537934,0.9740802305548488,-0.3394615675470107,0.03251307835949738
Helsinki,Q5,FF5,0.06263398364114577,0.0530968022078671,0.06824262080561971,0.048651420709766136,0.06084703492065735,0.028833036711854998,1.9846694883854732,1.886047934689467,2.2028635264710985,-0.009537181433300294,0.005608637164452576,0.8208344959319005,0.8987166177576174,-0.22663186232254035,0.12736970012550605
Helsinki,Q5,FF5+MOM,0.054283516891451944,0.04031314722553632,0.054827046269666266,0.04680172054204568,0.13386522652944133,0.04453830348385579,2.0014833686153337,1.5056394972443528,2.0227526401905105,-0.0139703696659162,0.0005435293782134754,0.7135217093712121,0.9886710026671404,-0.36741209983343676,0.014208868914736904
Oslo,LongShort,CAPM,0.1597771652616235,0.14559812857413823,0.08779620385956545,0.014857909738976494,0.021618522738060975,0.07522164866574599,2.458239129824241,2.3161245553559016,1.788914509810755,-0.01417903668748538,-0.07198096140205802,0.8774000816929703,0.3851906201717723,-0.1543698455603815,-0.8693753969620006
Oslo,LongShort,FF3,0.15195152933632589,0.13795203207308362,0.08141492368035008,0.015184626194238104,0.015786171820671324,0.057074630574384555,2.4504020250357286,2.4359247721928936,1.9145008397733778,-0.013999497263233907,-0.07053660565597063,0.8700426498323224,0.3582295640397244,-0.16371604451364097,-0.9198717106115283
Oslo,LongShort,FF3+MOM,0.1008027689830273,0.09085131562025377,0.02354165025628558,0.09209082692992321,0.09263533267982527,0.5972869729900614,1.693156674597944,1.690307628613162,0.5292106494660006,-0.009951453362797628,-0.07726111872675952,0.9030625492722282,0.3080801228784209,-0.12187616562433817,-1.0206498312229493
Oslo,LongShort,FF5,0.14867259653598303,0.1322962343890211,0.08211018508094256,0.021434236832644116,0.020590445086122067,0.045845489735292455,2.31985602231282,2.3353707346338703,2.0102867535045057,-0.016376362146953365,-0.06656241145504087,0.850311603095077,0.38930664824931327,-0.18885225417005028,-0.8618838928366487
Oslo,LongShort,FF5+MOM,0.12125899914157431,0.10863507451549265,0.04080166058302185,0.07095897295087039,0.06634841256979707,0.340087625120423,1.816196628389791,1.846971847572463,0.9564609019787935,-0.01262392462608225,-0.08045733855853945,0.8886848390956197,0.31812899497660174,-0.14006501148203213,-0.9996587416953227
Oslo,Q5,CAPM,0.016960623951367267,0.002624266880744846,0.019006511004182394,0.5522137126259354,0.9213410881468111,0.4887200457646883,0.5955063519304313,0.09887584305436674,0.6936960514610724,-0.014336357070622405,0.0020458870528151096,0.7119474001860988,0.9585621554394155,-0.3695181189603868,0.05199229142780504
Oslo,Q5,FF3,0.02162932431785932,0.008140342353299839,0.024965874441814896,0.35040476550228616,0.7134999490348086,0.2553595246727085,0.9361347490236352,0.36771426011456887,1.1409078594605164,-0.013488981964581918,0.0033365501239326426,0.6733634554312671,0.9164170638981541,-0.4218666410236971,0.10501858093470667
Oslo,Q5,FF3+MOM,0.02907885438453878,0.020685986179399554,0.03647834205450896,0.28009226113152863,0.40076393871639127,0.1656646698593538,1.0832499145620644,0.8421783123145405,1.3917058489164387,-0.00839286820511025,0.007399487670000572,0.8175771922235582,0.8438158534683138,-0.23082471937562524,0.19715179035013786
Oslo,Q5,FF5,0.02521313758406234,0.009858195679097024,0.02888427213606748,0.29418986887995224,0.6680008335211074,0.21181887248744768,1.0519442076083587,0.4295766570212605,1.2528891496968149,-0.01535494190499288,0.0036711345519759297,0.6438160606435104,0.9121271244655287,-0.4627473219543341,0.110430995693741
Oslo,Q5,FF5+MOM,0.03337104763207714,0.02324775094528483,0.041091662762345396,0.2133920582950517,0.3354976444100157,0.12000378651724586,1.2485920864877922,0.9656145875919787,1.5619711322003087,-0.01012329668679077,0.007720615130271627,0.7783401015726119,0.8372267644387661,-0.28168817453030703,0.20558678515001644
Stockholm,LongShort,CAPM,0.11279657199945184,0.1071803436537172,0.05242659885257016,0.005469473728229035,0.009412532913657845,0.05008097122024413,2.810206106648092,2.6234057202910352,1.9718244237632332,-0.0056162283457345755,-0.06036997314688156,0.9216244806438703,0.21354312724992663,-0.09845302803776199,-1.2459697271496208
Stockholm,LongShort,FF3,0.11100678388997948,0.10357377339014326,0.04782504843082868,0.0018294000567116164,0.0026211834926996858,0.05805452873813466,3.1616006343764127,3.0497178620076615,1.9069297024521006,-0.007433010499834263,-0.0631817354591489,0.8784990078416515,0.14750413122581452,-0.15297632247401363,-1.4513934961297614
Stockholm,LongShort,FF3+MOM,0.06499036645429658,0.07705256457217702,0.01917875946936311,0.09852469173784018,0.03455617371142394,0.4905759110943615,1.6603263438545575,2.1290788745919165,0.6907552039873419,0.012062198117869679,-0.045811606984944964,0.8205344823541527,0.3436444300046073,0.22701709931472205,-0.9481911112961802
Stockholm,LongShort,FF5,0.0945898405999907,0.08972718509323802,0.04060101689060712,0.0019383470628262511,0.0031539547848331573,0.10975499447686299,3.1442914343233515,2.9913445377973797,1.606980070276141,-0.004862655506750852,-0.053988823709381975,0.9079190745218071,0.17323191938450933,-0.11574250103857742,-1.3645100949349773
Stockholm,LongShort,FF5+MOM,0.06468536168027303,0.07964500154936038,0.01956037318199217,0.07017709218101498,0.02048205740363418,0.4873889769519173,1.8212967060152434,2.337513000350834,0.6958612476311588,0.014959639869086223,-0.04512498849827548,0.7597784334612923,0.3223008130051186,0.30599778200830174,-0.9910664343415109
Stockholm,Q5,CAPM,0.07363176589234849,0.06405403424814096,0.06787713923247199,0.01318004619680746,0.01380783292547716,0.014007582021841936,2.502379772848199,2.4853081863492186,2.480021186686164,-0.009577731644207547,-0.005754626659876416,0.8061235757258471,0.8859301195807199,-0.24560116897856255,-0.1435522784208346
Stockholm,Q5,FF3,0.06807234020620467,0.059055360556460865,0.06319552869190469,0.010461441784596959,0.01507353954720525,0.013281292634553132,2.5861566760456607,2.453131040802264,2.4998298521624527,-0.009016979649763703,-0.004876811514319887,0.7996312580700851,0.893365104020222,-0.2540040683680732,-0.13413814701740895
Stockholm,Q5,FF3+MOM,0.0641167608003452,0.05704697318333517,0.05839844935101891,0.026419796434425047,0.03539424969629268,0.03075411145675,2.237714736294747,2.1191883780036327,2.176725875950969,-0.007069787616995754,-0.005718311449312043,0.8570695061292057,0.8840357459234351,-0.18023014806857113,-0.1459547469994985
Stockholm,Q5,FF5,0.0659179892076472,0.05760798402845334,0.061342778519438354,0.012707817387143772,0.015509918417936142,0.014498798000646573,2.5162232309830537,2.4427529060029474,2.4677905805449414,-0.008310005179220557,-0.004575210688235749,0.8128479668685693,0.8988493242207389,-0.23692167483426615,-0.12720190806487375
Stockholm,Q5,FF5+MOM,0.062054097283615633,0.055768440396446704,0.05717545893531835,0.025854411449101056,0.030379540293041796,0.026573087851530452,2.2464968336859807,2.181872021704451,2.2356068057447827,-0.00628565688716818,-0.004878638348296625,0.8670592928426435,0.8967150417071004,-0.16751127496562773,-0.12990138157914244
