Method,Portfolio,Date,n_firms,raw_weight_sum,capped_weight_sum,max_raw_weight,max_capped_weight,n_names_capped
Method3_ProbQ5,Q3,2010-07-31,62,1.0,0.9999999999999998,0.14821853001523613,0.04999999999999999,7
Method3_ProbQ5,Q4,2010-07-31,61,0.9999999999999998,1.0,0.29650210720410136,0.05,4
Method3_ProbQ5,Q5,2010-07-31,60,1.0000000000000002,0.9999999999999999,0.18088582442578047,0.05,6
Method1_Raw,Q1,2010-08-31,60,1.0000000000000002,0.9999999999999998,0.5263912814883223,0.04999999999999999,4
Method1_Raw,Q2,2010-08-31,61,0.9999999999999999,1.0,0.26432704923116096,0.05000000000000001,5
Method1_Raw,Q3,2010-08-31,60,1.0,1.0,0.19813065399648794,0.05,5
Method1_Raw,Q4,2010-08-31,60,1.0000000000000002,1.0,0.2778373104923202,0.05,6
Method1_Raw,Q5,2010-08-31,61,1.0,1.0,0.19762983007793153,0.05000000000000001,6
Method2_PostMean,Q1,2010-08-31,59,0.9999999999999999,1.0,0.3608068219811358,0.05,5
Method2_PostMean,Q2,2010-08-31,62,1.0000000000000002,0.9999999999999999,0.1900174301738741,0.05,5
Method2_PostMean,Q3,2010-08-31,60,1.0,1.0,0.22238303274399687,0.05000000000000001,5
Method2_PostMean,Q4,2010-08-31,61,1.0000000000000002,1.0,0.21870456875195027,0.05,6
Method2_PostMean,Q5,2010-08-31,60,1.0,1.0,0.17965870761337083,0.05,6
Method3_ProbQ5,Q1,2010-08-31,60,1.0000000000000002,0.9999999999999998,0.1951622167989783,0.04999999999999999,6
Method3_ProbQ5,Q2,2010-08-31,59,1.0,0.9999999999999999,0.41916317703171385,0.04999999999999999,3
Method3_ProbQ5,Q3,2010-08-31,62,0.9999999999999999,1.0,0.15363480743759592,0.05,6
Method3_ProbQ5,Q4,2010-08-31,61,0.9999999999999998,1.0,0.28710277095537046,0.05,4
Method3_ProbQ5,Q5,2010-08-31,60,0.9999999999999999,1.0,0.17919159283769584,0.05000000000000001,6
Method1_Raw,Q1,2010-09-30,60,0.9999999999999999,1.0,0.5208210372136064,0.05,3
Method1_Raw,Q2,2010-09-30,60,1.0000000000000002,1.0,0.2639713733641768,0.05,5
Method1_Raw,Q3,2010-09-30,60,1.0,0.9999999999999998,0.18773979647342043,0.04999999999999999,4
Method1_Raw,Q4,2010-09-30,60,0.9999999999999999,1.0000000000000002,0.2645930294465212,0.05000000000000001,5
Method1_Raw,Q5,2010-09-30,61,1.0000000000000002,1.0000000000000002,0.1975005641635081,0.05000000000000001,6
Method2_PostMean,Q1,2010-09-30,59,1.0000000000000002,0.9999999999999999,0.3624134167444061,0.05,5
Method2_PostMean,Q2,2010-09-30,61,1.0,0.9999999999999997,0.18655165856117847,0.04999999999999999,5
Method2_PostMean,Q3,2010-09-30,60,1.0,1.0,0.21064378745156465,0.05,4
Method2_PostMean,Q4,2010-09-30,61,0.9999999999999999,1.0000000000000002,0.2211926872134755,0.05000000000000001,6
Method2_PostMean,Q5,2010-09-30,60,0.9999999999999999,1.0,0.18105196311453384,0.05,6
Method3_ProbQ5,Q1,2010-09-30,59,1.0000000000000002,0.9999999999999998,0.19453795891088807,0.04999999999999999,6
Method3_ProbQ5,Q2,2010-09-30,59,0.9999999999999999,1.0000000000000002,0.4029888006112908,0.05000000000000002,3
Method3_ProbQ5,Q3,2010-09-30,62,0.9999999999999999,0.9999999999999998,0.1397356232511044,0.04999999999999999,7
Method3_ProbQ5,Q4,2010-09-30,61,1.0,1.0,0.3018612891107924,0.05,3
