Exchange,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Helsinki,LongShort,FF3,Method3_ConservativeQuality,0.061290773812104404,0.005107564484342034,2.0680076622885224,0.04003069841839313,0.15242470593029422,189
Helsinki,LongShort,FF3+MOM,Method3_ConservativeQuality,0.06366981293904651,0.005305817744920543,1.958167795847961,0.05172214129174235,0.15251937323438558,189
Helsinki,LongShort,FF5,Method3_ConservativeQuality,0.06486642254393732,0.005405535211994776,2.3181597538128758,0.021546281008485657,0.18767554885729032,189
Helsinki,LongShort,FF5+MOM,Method3_ConservativeQuality,0.07582010226252967,0.006318341855210805,2.3917468962742863,0.017787259938251365,0.18960056286965987,189
Helsinki,LongShort,CAPM,Method4_ProbabilisticQuality,0.06078270926766746,0.005065225772305622,1.6660998143851324,0.0973677304859204,0.005754097568665961,189
Helsinki,LongShort,FF3,Method4_ProbabilisticQuality,0.05591976579865873,0.004659980483221561,1.7419094193671727,0.08318632398333503,0.1538812695428846,189
Helsinki,LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.05663049603404918,0.004719208002837432,1.6134018255226714,0.10837094332072628,0.15388947363412642,189
Helsinki,LongShort,FF5,Method4_ProbabilisticQuality,0.059019134214086305,0.004918261184507192,1.9658746048774611,0.05082581116720575,0.19979984587758803,189
Helsinki,LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.06977077898364929,0.005814231581970774,2.0646833065549828,0.04037107289177988,0.20160073797298828,189
Oslo,LongShort,CAPM,Method1_ObservedQuality,0.17139572423509292,0.014282977019591076,3.4813599061632954,0.0006403538854831137,0.020947338624195178,165
Oslo,LongShort,FF3,Method1_ObservedQuality,0.17344006482350108,0.014453338735291756,3.5672844249024322,0.0004753684838427752,0.12158007810696181,165
Oslo,LongShort,FF3+MOM,Method1_ObservedQuality,0.15527619232695417,0.012939682693912848,2.795242954391309,0.005821021892142397,0.12517982963350072,165
Oslo,LongShort,FF5,Method1_ObservedQuality,0.17064027503489826,0.014220022919574856,3.5626880054761454,0.000484739572255366,0.22404269097984564,165
Oslo,LongShort,FF5+MOM,Method1_ObservedQuality,0.17395316809879735,0.014496097341566445,3.206063679334962,0.0016286961593794391,0.22415730582482374,165
Oslo,LongShort,CAPM,Method2_LatentQuality,0.19291279713777887,0.01607606642814824,3.7450262735887074,0.00024457694301349697,0.031972743938647574,177
Oslo,LongShort,FF3,Method2_LatentQuality,0.19344788033346805,0.01612065669445567,3.7303000737913687,0.0002590513828255592,0.12683760671764943,177
Oslo,LongShort,FF3+MOM,Method2_LatentQuality,0.1645449723274031,0.013712081027283591,2.9691119476362116,0.0034131713817009413,0.13445649297106588,177
Oslo,LongShort,FF5,Method2_LatentQuality,0.19885934077168482,0.016571611730973736,3.5971540754257387,0.00042088176023735713,0.22457049135797424,177
Oslo,LongShort,FF5+MOM,Method2_LatentQuality,0.1892831072020138,0.015773592266834485,3.394184125458823,0.0008566206049087643,0.22535686953806933,177
Oslo,LongShort,CAPM,Method3_ConservativeQuality,0.17500193216192736,0.01458349434682728,3.799253379970109,0.0002045796252896359,0.034575085113447646,165
Oslo,LongShort,FF3,Method3_ConservativeQuality,0.17725185392173765,0.01477098782681147,3.9381271662516637,0.00012202913258918535,0.14939815593746186,165
Oslo,LongShort,FF3+MOM,Method3_ConservativeQuality,0.15115185807407905,0.012595988172839922,3.0464985160599336,0.002708783609183252,0.1563756896246572,165
Oslo,LongShort,FF5,Method3_ConservativeQuality,0.17342893561367007,0.014452411301139171,3.94178924824291,0.0001209104674961825,0.25013677841356396,165
Oslo,LongShort,FF5+MOM,Method3_ConservativeQuality,0.16867883352655322,0.014056569460546103,3.6006486437163963,0.0004245168063943261,0.25035798464302084,165
Oslo,LongShort,CAPM,Method4_ProbabilisticQuality,0.16756862779244586,0.013964052316037156,3.4566095666774492,0.0006976780932221871,0.021343648857545916,165
Oslo,LongShort,FF3,Method4_ProbabilisticQuality,0.16956798681254148,0.014130665567711791,3.537547115762659,0.0005278632237977199,0.11614500636406311,165
Oslo,LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.14858188183119814,0.01238182348593318,2.7511071652294987,0.006624546353171112,0.1208733962599926,165
Oslo,LongShort,FF5,Method4_ProbabilisticQuality,0.16672508914140166,0.013893757428450138,3.5481562029708202,0.0005101901333424141,0.22289607562256097,165
Oslo,LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.16773523653551964,0.013977936377959969,3.205659251714521,0.001630845232842848,0.22290656113102092,165
Stockholm,LongShort,CAPM,Method1_ObservedQuality,0.1057466685755711,0.008812222381297592,2.40843146555859,0.016992168669624386,0.0003561466332274721,189
Stockholm,LongShort,FF3,Method1_ObservedQuality,0.10694051064464455,0.008911709220387046,2.5575221720989596,0.011343823358082483,0.2335585155064578,189
Stockholm,LongShort,FF3+MOM,Method1_ObservedQuality,0.060509949930657045,0.005042495827554754,1.3944146486269833,0.16487377148715998,0.2631481998872027,189
Stockholm,LongShort,FF5,Method1_ObservedQuality,0.09382216263938062,0.007818513553281718,2.756970083089633,0.006425160883904546,0.3891165899387795,189
Stockholm,LongShort,FF5+MOM,Method1_ObservedQuality,0.06186825401310986,0.005155687834425822,1.5212457927073666,0.12993363473746222,0.40255962813358337,189
Stockholm,LongShort,CAPM,Method2_LatentQuality,0.049637662859219576,0.004136471904934965,1.07330367502711,0.2845179557560704,0.0019506895546644865,189
Stockholm,LongShort,FF3,Method2_LatentQuality,0.04978809553048681,0.004149007960873901,1.1946202471800744,0.2337647676334491,0.2682096024070897,189
Stockholm,LongShort,FF3+MOM,Method2_LatentQuality,-0.0023125118646810617,-0.00019270932205675513,-0.0527471022798677,0.9579906313886726,0.3049631388881726,189
Stockholm,LongShort,FF5,Method2_LatentQuality,0.03944581496612107,0.0032871512471767555,1.1228720441591014,0.26296283186395364,0.40944248392358784,189
Stockholm,LongShort,FF5+MOM,Method2_LatentQuality,0.0021089577292172897,0.00017574647743477412,0.05343811981168223,0.9574414441073824,0.42754779779895846,189
Stockholm,LongShort,CAPM,Method3_ConservativeQuality,0.11418589436437221,0.009515491197031017,2.3729809765916783,0.01865955337643399,0.001018696759617188,189
Stockholm,LongShort,FF3,Method3_ConservativeQuality,0.11422583243656961,0.009518819369714134,2.6327816413043914,0.0091848303587716,0.2396754127231293,189
Stockholm,LongShort,FF3+MOM,Method3_ConservativeQuality,0.07078963551854398,0.005899136293211998,1.5729303891438806,0.11745285985559795,0.26606032429586657,189
Stockholm,LongShort,FF5,Method3_ConservativeQuality,0.10095787272058454,0.008413156060048712,2.761916744882267,0.006332518402645038,0.4068779635419276,189
Stockholm,LongShort,FF5+MOM,Method3_ConservativeQuality,0.07267395359253166,0.006056162799377638,1.7205601085201205,0.08703025877700687,0.417609161555601,189
Stockholm,LongShort,CAPM,Method4_ProbabilisticQuality,0.10740396374626876,0.008950330312189064,2.451685630996701,0.015137225131659493,0.00021541247727507873,189
Stockholm,LongShort,FF3,Method4_ProbabilisticQuality,0.10856329271012041,0.009046941059176701,2.6011577534288097,0.010042462479782133,0.2289720343421342,189
Stockholm,LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.0630855972527348,0.0052571331043945665,1.4479065662344857,0.1493449513574303,0.25741782184383855,189
Stockholm,LongShort,FF5,Method4_ProbabilisticQuality,0.09555239988496242,0.007962699990413534,2.793380454926614,0.005771090751574892,0.3829068413759126,189
Stockholm,LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.06450135454204378,0.005375112878503649,1.5716516764010287,0.11776819850761688,0.3956269404149424,189
