Exchange,Method,Portfolio,Date,n_firms,reason
Copenhagen,Method2_LatentQuality,Q1,2026-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2026-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2026-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2019-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2025-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2025-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2025-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2025-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2025-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2025-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2026-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2026-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method4_ProbabilisticQuality,Q1,2026-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2010-07-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2010-08-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2010-09-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2010-10-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2010-11-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2010-12-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-01-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-02-28,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-03-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-04-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-05-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-06-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2011-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2012-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2012-02-29,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2012-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2012-04-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2012-05-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_ObservedQuality,Q5,2012-06-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2010-07-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2010-08-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2010-09-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2010-10-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2010-11-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2010-12-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-01-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-02-28,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-03-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-04-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-05-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-07-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-08-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-09-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-10-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-11-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2011-12-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2012-01-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2012-02-29,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2012-03-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2012-04-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2012-05-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_LatentQuality,Q5,2012-06-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2010-07-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2010-08-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2010-09-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2010-10-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2010-11-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2010-12-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-01-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-02-28,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-03-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-04-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-05-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-07-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-08-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-09-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-10-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-11-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2011-12-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2012-01-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2012-02-29,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2012-03-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2012-04-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2012-05-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ConservativeQuality,Q5,2012-06-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2010-07-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2010-08-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2010-09-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2010-10-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2010-11-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2010-12-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-01-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-02-28,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-03-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-04-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-05-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-06-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2011-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2012-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2012-02-29,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2012-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2012-04-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2012-05-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method4_ProbabilisticQuality,Q5,2012-06-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
