Ticker,FiscalYear,PeriodEndDate,AnnouncementDate,ForecastDate,cfo_forecast,forecast_window_start,forecast_window_end,has_valid_cfo_forecast
ADDTb.ST,2021,2021-03-31,2021-05-18,2021-05-20,1264.59392771084,2021-05-18,2021-06-30,1
ADDTb.ST,2022,2022-03-31,2022-05-17,2022-06-22,1799.3339871612,2022-05-17,2022-06-30,1
ADDTb.ST,2023,2023-03-31,2023-05-17,2023-06-30,2336.90036162665,2023-05-17,2023-06-30,1
ADDTb.ST,2024,2024-03-31,2024-05-16,2024-06-20,2721.44234305477,2024-05-16,2024-06-30,1
AFRY.ST,2013,2013-12-31,2014-02-11,2014-05-20,620.644970543577,2014-02-11,2014-06-30,1
AFRY.ST,2014,2014-12-31,2015-02-10,2015-06-26,651.947501656726,2015-02-10,2015-06-30,1
AFRY.ST,2015,2015-12-31,2016-02-08,2016-06-30,720.806641599565,2016-02-08,2016-06-30,1
AFRY.ST,2016,2016-12-31,2017-02-03,2017-06-29,809.066603626392,2017-02-03,2017-06-30,1
AFRY.ST,2017,2017-12-31,2018-02-08,2018-06-25,915.088072118917,2018-02-08,2018-06-30,1
AFRY.ST,2018,2018-12-31,2019-02-07,2019-06-28,1148.27630501535,2019-02-07,2019-06-30,1
AFRY.ST,2019,2019-12-31,2020-02-07,2020-06-30,1631.25241447397,2020-02-07,2020-06-30,1
AFRY.ST,2020,2020-12-31,2021-02-05,2021-06-23,1820.73691474679,2021-02-05,2021-06-30,1
AFRY.ST,2021,2021-12-31,2022-02-04,2022-06-23,1726.53284761244,2022-02-04,2022-06-30,1
AFRY.ST,2022,2022-12-31,2023-02-10,2023-06-29,1909.38793976325,2023-02-10,2023-06-30,1
AFRY.ST,2023,2023-12-31,2024-02-02,2024-06-13,2035.58268190593,2024-02-02,2024-06-30,1
AFRY.ST,2024,2024-12-31,2025-02-07,2025-06-17,2005.04562268184,2025-02-07,2025-06-30,1
AKBM.OL,2020,2020-12-31,2021-02-16,2021-04-30,452.735415,2021-02-16,2021-06-30,1
AKBM.OL,2021,2021-12-31,2022-02-17,2022-05-23,433.440033,2022-02-17,2022-06-30,1
AKBM.OL,2022,2022-12-31,2023-02-15,2023-06-28,437.54034,2023-02-15,2023-06-30,1
AKBM.OL,2023,2023-12-31,2024-02-14,2024-06-20,238.90767,2024-02-14,2024-06-30,1
AKBM.OL,2024,2024-12-31,2025-02-12,2025-06-26,-58.906575,2025-02-12,2025-06-30,1
AKRBP.OL,2013,2013-12-31,2014-02-19,2014-06-13,576.384520122,2014-02-19,2014-06-30,1
AKRBP.OL,2014,2014-12-31,2015-02-25,2015-06-29,5636.393,2015-02-25,2015-06-30,1
AKRBP.OL,2015,2015-12-31,2016-02-17,2016-06-29,6233.655884742,2016-02-17,2016-06-30,1
AKRBP.OL,2016,2016-12-31,2017-02-06,2017-06-26,14584.324417225,2017-02-06,2017-06-30,1
AKRBP.OL,2017,2017-12-31,2018-02-01,2018-06-29,25774.06467066,2018-02-01,2018-06-30,1
AKRBP.OL,2018,2018-12-31,2019-02-06,2019-06-25,16127.613,2019-02-06,2019-06-30,1
AKRBP.OL,2019,2019-12-31,2020-02-11,2020-06-30,16186.59606795,2020-02-11,2020-06-30,1
AKRBP.OL,2020,2020-12-31,2021-02-04,2021-06-10,26651.68531671,2021-02-04,2021-06-30,1
AKRBP.OL,2021,2021-12-31,2022-02-11,2022-06-23,52283.368275,2022-02-11,2022-06-30,1
AKRBP.OL,2022,2022-12-31,2023-02-10,2023-06-19,53436.557525485,2023-02-10,2023-06-30,1
AKRBP.OL,2023,2023-12-31,2024-02-08,2024-06-26,63557.301447603,2024-02-08,2024-06-30,1
AKRBP.OL,2024,2024-12-31,2025-02-12,2025-06-30,62296.587841488,2025-02-12,2025-06-30,1
AKSOA.OL,2014,2014-12-31,2015-02-13,2015-06-16,1173.69231,2015-02-13,2015-06-30,1
AKSOA.OL,2015,2015-12-31,2016-02-12,2016-06-29,-392.49231,2016-02-12,2016-06-30,1
AKSOA.OL,2016,2016-12-31,2017-02-09,2017-06-26,8.575,2017-02-09,2017-06-30,1
AKSOA.OL,2017,2017-12-31,2018-02-07,2018-06-29,365.5375,2018-02-07,2018-06-30,1
AKSOA.OL,2018,2018-12-31,2019-02-08,2019-05-09,431.5625,2019-02-08,2019-06-30,1
AKSOA.OL,2019,2019-12-31,2020-02-07,2020-06-04,277.625,2020-02-07,2020-06-30,1
AKSOA.OL,2020,2020-12-31,2021-02-15,2021-06-23,1216.04286,2021-02-15,2021-06-30,1
AKSOA.OL,2021,2021-12-31,2022-02-08,2022-05-05,1820.2,2022-02-08,2022-06-30,1
AKSOA.OL,2022,2022-12-31,2023-02-08,2023-06-02,3543.8,2023-02-08,2023-06-30,1
AKSOA.OL,2023,2023-12-31,2024-02-08,2024-04-26,-910.25,2024-02-08,2024-06-30,1
AKSOA.OL,2024,2024-12-31,2025-02-11,2025-06-19,2694.22222,2025-02-11,2025-06-30,1
ALFA.ST,2013,2013-12-31,2014-02-05,2014-06-30,3721.49699200862,2014-02-05,2014-06-30,1
ALFA.ST,2014,2014-12-31,2015-02-03,2015-06-29,4691.85585957918,2015-02-03,2015-06-30,1
ALFA.ST,2015,2015-12-31,2016-02-02,2016-06-28,4739.66134436985,2016-02-02,2016-06-30,1
ALFA.ST,2016,2016-12-31,2017-01-31,2017-06-30,4988.89690507369,2017-01-31,2017-06-30,1
ALFA.ST,2017,2017-12-31,2018-01-30,2018-06-28,4821.25047460634,2018-01-30,2018-06-30,1
ALFA.ST,2018,2018-12-31,2019-02-05,2019-06-26,5993.89209239042,2019-02-05,2019-06-30,1
ALFA.ST,2019,2019-12-31,2020-02-04,2020-06-26,6550.10142341126,2020-02-04,2020-06-30,1
ALFA.ST,2020,2020-12-31,2021-02-03,2021-06-21,6075.41944551925,2021-02-03,2021-06-30,1
ALFA.ST,2021,2021-12-31,2022-02-02,2022-06-29,5717.2680403893,2022-02-02,2022-06-30,1
ALFA.ST,2022,2022-12-31,2023-02-02,2023-06-29,8916.06223535964,2023-02-02,2023-06-30,1
ALFA.ST,2023,2023-12-31,2024-02-06,2024-06-24,9809.46508535072,2024-02-06,2024-06-30,1
ALFA.ST,2024,2024-12-31,2025-02-05,2025-06-30,10764.1710182076,2025-02-05,2025-06-30,1
ALIFb.ST,2021,2021-12-31,2022-02-04,2022-06-14,1327.55057006613,2022-02-04,2022-06-30,1
ALIFb.ST,2022,2022-12-31,2023-02-02,2023-06-28,1229.20919949435,2023-02-02,2023-06-30,1
ALIFb.ST,2023,2023-12-31,2024-02-02,2024-06-28,1208.98794257412,2024-02-02,2024-06-30,1
ALIFb.ST,2024,2024-12-31,2025-02-05,2025-06-27,1277.22021119532,2025-02-05,2025-06-30,1
ALIG.ST,2015,2015-12-31,2016-02-25,2016-04-29,271.800877848338,2016-02-25,2016-06-30,1
ALIG.ST,2016,2016-12-31,2017-02-23,2017-04-27,365.909293215685,2017-02-23,2017-06-30,1
ALIG.ST,2017,2017-12-31,2018-02-23,2018-06-10,335.316455332736,2018-02-23,2018-06-30,1
ALIG.ST,2018,2018-12-31,2019-02-22,2019-04-29,517.011334975236,2019-02-22,2019-06-30,1
ALIG.ST,2019,2019-12-31,2020-02-21,2020-05-21,636.05900540293,2020-02-21,2020-06-30,1
ALIG.ST,2020,2020-12-31,2021-02-11,2021-04-15,449.354367610685,2021-02-11,2021-06-30,1
ALIG.ST,2021,2021-12-31,2022-02-10,2022-06-22,376.161911554922,2022-02-10,2022-06-30,1
ALIG.ST,2022,2022-12-31,2023-02-17,2023-06-15,1058.42896842622,2023-02-17,2023-06-30,1
ALIG.ST,2023,2023-12-31,2024-02-12,2024-06-11,1070.66069342697,2024-02-12,2024-06-30,1
ALIG.ST,2024,2024-12-31,2025-02-13,2025-05-07,1255.33688494036,2025-02-13,2025-06-30,1
ALIVsdb.ST,2013,2013-12-31,2014-01-31,2014-06-12,5084.681413366,2014-01-31,2014-06-30,1
ALIVsdb.ST,2014,2014-12-31,2015-01-29,2015-06-30,6312.7295,2015-01-29,2015-06-30,1
ALIVsdb.ST,2015,2015-12-31,2016-01-29,2016-06-21,7697.278577703,2016-01-29,2016-06-30,1
ALIVsdb.ST,2016,2016-12-31,2017-02-02,2017-06-21,8146.532,2017-02-02,2017-06-30,1
ALIVsdb.ST,2017,2017-12-31,2018-01-30,2018-06-12,5912.4312,2018-01-30,2018-06-30,1
ALIVsdb.ST,2018,2018-12-31,2019-01-29,2019-05-02,7064.8008,2019-01-29,2019-06-30,1
ALIVsdb.ST,2019,2019-12-31,2020-01-28,2020-06-18,5752.85075,2020-01-28,2020-06-30,1
ALIVsdb.ST,2020,2020-12-31,2021-01-26,2021-06-30,7521.227584,2021-01-26,2021-06-30,1
ALIVsdb.ST,2021,2021-12-31,2022-01-28,2022-06-30,7076.15195,2022-01-28,2022-06-30,1
ALIVsdb.ST,2022,2022-12-31,2023-01-27,2023-06-30,9771.642176,2023-01-27,2023-06-30,1
ALIVsdb.ST,2023,2023-12-31,2024-01-26,2024-06-25,12208.679317421,2024-01-26,2024-06-30,1
ALIVsdb.ST,2024,2024-12-31,2025-01-31,2025-06-23,11102.35643448,2025-01-31,2025-06-30,1
ALKb.CO,2013,2013-12-31,2014-02-05,2014-05-26,413.76302792606,2014-02-05,2014-06-30,1
ALKb.CO,2014,2014-12-31,2015-02-09,2015-06-04,295.259331281109,2015-02-09,2015-06-30,1
ALKb.CO,2015,2015-12-31,2016-02-09,2016-05-09,462.592173074864,2016-02-09,2016-06-30,1
ALKb.CO,2016,2016-12-31,2017-02-07,2017-06-23,248.740821579637,2017-02-07,2017-06-30,1
ALKb.CO,2017,2017-12-31,2018-02-06,2018-05-07,-303.971372787504,2018-02-06,2018-06-30,1
ALKb.CO,2018,2018-12-31,2019-02-07,2019-05-10,-77.5335340767159,2019-02-07,2019-06-30,1
ALKb.CO,2019,2019-12-31,2020-02-05,2020-05-28,137.735644447086,2020-02-05,2020-06-30,1
ALKb.CO,2020,2020-12-31,2021-02-10,2021-05-06,219.749207899904,2021-02-10,2021-06-30,1
ALKb.CO,2021,2021-12-31,2022-02-08,2022-06-30,441.251956181534,2022-02-08,2022-06-30,1
ALKb.CO,2022,2022-12-31,2023-02-03,2023-06-20,1022.48427637462,2023-02-03,2023-06-30,1
ALKb.CO,2023,2023-12-31,2024-02-08,2024-06-24,1338.62266350097,2024-02-08,2024-06-30,1
ALKb.CO,2024,2024-12-31,2025-02-19,2025-06-17,1873.76367358877,2025-02-19,2025-06-30,1
ALLEI.ST,2022,2022-12-31,2023-01-24,2023-04-27,1659.40247139232,2023-01-24,2023-06-30,1
ALLEI.ST,2023,2023-12-31,2024-01-23,2024-05-20,2617.51997492609,2024-01-23,2024-06-30,1
ALLEI.ST,2024,2024-12-31,2025-01-24,2025-06-27,2514.79278137019,2025-01-24,2025-06-30,1
