Exchange,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Helsinki,Q5,FF3+MOM,Method3_ConservativeQuality,0.034500503158676005,0.002875041929889667,1.4556617563069734,0.14719020798274607,0.6390994297399948,189
Helsinki,Q5,FF5,Method3_ConservativeQuality,0.016073253832312635,0.0013394378193593863,0.6156137752627938,0.5389143277934181,0.6569024007033184,189
Helsinki,Q5,FF5+MOM,Method3_ConservativeQuality,0.02150391252010027,0.0017919927100083556,0.9341507204669354,0.35146386290173925,0.6572119638421986,189
Helsinki,Q5,CAPM,Method4_ProbabilisticQuality,0.039039919612812335,0.003253326634401028,1.242453890472219,0.21562493471052946,0.6171046814690713,189
Helsinki,Q5,FF3,Method4_ProbabilisticQuality,0.03757592020327371,0.0031313266836061424,1.4169493286709967,0.15817954001730983,0.6405154898408698,189
Helsinki,Q5,FF3+MOM,Method4_ProbabilisticQuality,0.034202033771817825,0.002850169480984819,1.285589405785339,0.20020204116661433,0.6406273405974492,189
Helsinki,Q5,FF5,Method4_ProbabilisticQuality,0.024639988819542498,0.0020533324016285413,0.9242680458598154,0.3565639026392944,0.6574067309989549,189
Helsinki,Q5,FF5+MOM,Method4_ProbabilisticQuality,0.021626351192534993,0.0018021959327112495,0.8550548249655929,0.39364498271308745,0.6574999703057297,189
Oslo,Q5,CAPM,Method1_ObservedQuality,0.06704040672172422,0.005586700560143685,1.5391508075713158,0.12545787787464957,0.25819706538701126,189
Oslo,Q5,FF3,Method1_ObservedQuality,0.05181065637612796,0.0043175546980106635,1.5263006366237117,0.12864282131950477,0.4395086750891939,189
Oslo,Q5,FF3+MOM,Method1_ObservedQuality,0.05361915267378539,0.00446826272281545,1.2901804866383302,0.19860704582694888,0.43953292509152586,189
Oslo,Q5,FF5,Method1_ObservedQuality,0.06131738212916689,0.005109781844097241,1.806429009346469,0.07249429560153753,0.45422477323423927,189
Oslo,Q5,FF5+MOM,Method1_ObservedQuality,0.06456982128382305,0.005380818440318587,1.6959219161460992,0.09161052553075644,0.45430672038687303,189
Oslo,Q5,CAPM,Method2_LatentQuality,0.08251139504131833,0.006875949586776527,1.8777268963156668,0.06197535057406678,0.26653733800940904,189
Oslo,Q5,FF3,Method2_LatentQuality,0.06776148512213556,0.0056467904268446304,1.9641758450126687,0.05100764707613292,0.43945013393885635,189
Oslo,Q5,FF3+MOM,Method2_LatentQuality,0.06391615851059296,0.005326346542549413,1.553991042264578,0.12190487530687899,0.43956505171782967,189
Oslo,Q5,FF5,Method2_LatentQuality,0.07480294792417241,0.006233578993681035,2.157469706208591,0.03227276362733278,0.453063863914997,189
Oslo,Q5,FF5+MOM,Method2_LatentQuality,0.07300308467351393,0.006083590389459495,1.927367823364589,0.055490910223241485,0.45309016894164467,189
Oslo,Q5,CAPM,Method3_ConservativeQuality,0.07674934929582916,0.0063957791079857634,1.7176365487213332,0.08751833935037356,0.2571257489457208,189
Oslo,Q5,FF3,Method3_ConservativeQuality,0.06141041815818565,0.005117534846515471,1.7196277288914175,0.08717256665202444,0.43666640050384586,189
Oslo,Q5,FF3+MOM,Method3_ConservativeQuality,0.062230232022574966,0.0051858526685479136,1.4986707752825794,0.13567274069657032,0.43667146459299655,189
Oslo,Q5,FF5,Method3_ConservativeQuality,0.06888174806691101,0.005740145672242584,1.908690501233767,0.05786706962205734,0.4501185697766321,189
Oslo,Q5,FF5+MOM,Method3_ConservativeQuality,0.07158558622525182,0.005965465518770985,1.8735141684429686,0.06260044103271589,0.4501761232025918,189
Oslo,Q5,CAPM,Method4_ProbabilisticQuality,0.07055231181945656,0.005879359318288048,1.6141644544784788,0.10817787101437903,0.23236906747838149,189
Oslo,Q5,FF3,Method4_ProbabilisticQuality,0.05475434598594192,0.00456286216549516,1.5941563202422668,0.11260803615406711,0.4175428359598031,189
Oslo,Q5,FF3+MOM,Method4_ProbabilisticQuality,0.06255256203096651,0.005212713502580542,1.4772526782949524,0.1413174638856518,0.41798036626579826,189
Oslo,Q5,FF5,Method4_ProbabilisticQuality,0.06496656071469298,0.005413880059557749,1.865120498842071,0.0637653799504212,0.43386136100374095,189
Oslo,Q5,FF5+MOM,Method4_ProbabilisticQuality,0.0742030883465885,0.006183590695549041,1.8911294218780594,0.060195685722168824,0.4345026799229815,189
Stockholm,Q5,CAPM,Method1_ObservedQuality,0.02028892088331896,0.0016907434069432467,0.7488041305529535,0.45491609138739975,0.7773436194190093,189
Stockholm,Q5,FF3,Method1_ObservedQuality,0.020521544554075937,0.0017101287128396614,0.8274779654168238,0.40903230781829825,0.7903374839673347,189
Stockholm,Q5,FF3+MOM,Method1_ObservedQuality,0.03872316490760762,0.0032269304089673017,1.2331815213873671,0.21908115569601128,0.7930974940132323,189
Stockholm,Q5,FF5,Method1_ObservedQuality,0.026896585011296117,0.0022413820842746763,1.0682921276344233,0.28679593672379533,0.7942322504659622,189
Stockholm,Q5,FF5+MOM,Method1_ObservedQuality,0.04239966489103733,0.0035333054075864442,1.3844781573918723,0.16790716346440582,0.7963242688606891,189
Stockholm,Q5,CAPM,Method2_LatentQuality,0.022071408434043503,0.001839284036170292,0.8262915419478366,0.4096917381724945,0.7821150585908869,189
Stockholm,Q5,FF3,Method2_LatentQuality,0.022062973266029243,0.001838581105502437,0.8964045725579027,0.3712016814543475,0.789412021332833,189
Stockholm,Q5,FF3+MOM,Method2_LatentQuality,0.041248541590549845,0.0034373784658791534,1.3149309555718274,0.19016955754964338,0.7924828957198699,189
Stockholm,Q5,FF5,Method2_LatentQuality,0.029255139317025718,0.00243792827641881,1.162205643501047,0.24666540080010413,0.7931714540412385,189
Stockholm,Q5,FF5+MOM,Method2_LatentQuality,0.045913114022584,0.0038260928352153336,1.498128054757212,0.13583238331031033,0.7955902324401403,189
Stockholm,Q5,CAPM,Method3_ConservativeQuality,0.02161338075096221,0.0018011150625801844,0.8168693248427252,0.4150425586216353,0.785576706085411,189
Stockholm,Q5,FF3,Method3_ConservativeQuality,0.02150632779024975,0.0017921939825208124,0.8857110182888335,0.3769230823559133,0.7942124771681103,189
Stockholm,Q5,FF3+MOM,Method3_ConservativeQuality,0.04188871927992882,0.003490726606660735,1.350472634472627,0.17852305752504383,0.7976501448418588,189
Stockholm,Q5,FF5,Method3_ConservativeQuality,0.02753488940585399,0.002294574117154499,1.1165791808442922,0.26563820864386845,0.7974339286522408,189
Stockholm,Q5,FF5+MOM,Method3_ConservativeQuality,0.04541885315639192,0.003784904429699327,1.4960539414154226,0.13637164872005814,0.8001990878772263,189
Stockholm,Q5,CAPM,Method4_ProbabilisticQuality,0.02335065573168004,0.0019458879776400033,0.8890803859088979,0.37510213903661804,0.7764006687009044,189
Stockholm,Q5,FF3,Method4_ProbabilisticQuality,0.023593178653324734,0.0019660982211103946,0.9785309631607676,0.32908965641185484,0.7887905786893944,189
Stockholm,Q5,FF3+MOM,Method4_ProbabilisticQuality,0.043506382172227166,0.003625531847685597,1.4299905797710053,0.15441554487589348,0.7921361448333448,189
Stockholm,Q5,FF5,Method4_ProbabilisticQuality,0.030319411189457725,0.002526617599121477,1.2478250805799427,0.21368944246003174,0.7933005343694852,189
Stockholm,Q5,FF5+MOM,Method4_ProbabilisticQuality,0.04733290538104225,0.00394440878175352,1.601772822422566,0.11094007502004088,0.7958521388733453,189
