FormationYear,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2012,Method1_Raw,5,Q5,68,2684795.22,0.5866131410508617,0.49220270355402,0.7102310114927294,0.07542898359881144
2012,Method2_PostMean,1,Q1,68,554625.06,-0.5849583566802041,-0.7767628854395198,0.01806272366501413,0.08899241092935962
2012,Method2_PostMean,2,Q2,67,672009.9600000001,0.052955947581047665,0.04562864294512548,0.07165611202616735,0.0679914991981747
2012,Method2_PostMean,3,Q3,67,251907.37,0.165540410634167,0.150465134742822,0.16220434016335442,0.07547542637443601
2012,Method2_PostMean,4,Q4,67,623063.35,0.2885545276696592,0.24623219344657327,0.288126303342835,0.07230882627024939
2012,Method2_PostMean,5,Q5,68,2716329.87,0.5733601637598487,0.49787172409537717,0.7109028055712482,0.061945861518051926
2012,Method3_ProbQ5,1,Q1,68,1002688.53,-0.5376234461056125,-0.7113063774068116,0.0005852459711440199,0.060613835522777985
2012,Method3_ProbQ5,2,Q2,67,173245.47,0.0457230250401127,0.026470186980387642,0.04855095066762537,0.061535098150623295
2012,Method3_ProbQ5,3,Q3,67,521617.46,0.13847490764185058,0.12580348194511087,0.1709773848137663,0.08229578267484737
2012,Method3_ProbQ5,4,Q4,67,406379.77,0.2630012393788651,0.22576645578590496,0.31925304605972654,0.09263043572056583
2012,Method3_ProbQ5,5,Q5,68,2714004.38,0.5849967947471842,0.4957556823913287,0.7118326370506033,0.06994307170238623
2013,Method1_Raw,1,Q1,71,352310.49,-0.6098100105073614,-0.8044062423350895,0.019522194729965203,0.08358437788092114
2013,Method1_Raw,2,Q2,70,622446.8200000001,0.02938019936175508,0.020621733911444746,0.08286885328858119,0.06271658043082762
2013,Method1_Raw,3,Q3,70,413042.69,0.1236315916905404,0.11516391061551874,0.14569502773950843,0.060734667961239906
2013,Method1_Raw,4,Q4,70,607721.02,0.23682295295883143,0.21096240380321762,0.30546129802866356,0.06111093517573659
2013,Method1_Raw,5,Q5,70,3099639.09,0.5837856338416234,0.473944747546856,0.7116140127949547,0.06466367435647852
2013,Method2_PostMean,1,Q1,71,340964.3,-0.6094428546205655,-0.8051364149961483,0.024415141323816277,0.08728105695551046
2013,Method2_PostMean,2,Q2,70,629850.55,0.029072448743290038,0.021292770915930438,0.08615249622001012,0.06423515487116853
2013,Method2_PostMean,3,Q3,70,390576.36,0.1260708645218479,0.11368049218660725,0.1551521874073966,0.06343460891488746
2013,Method2_PostMean,4,Q4,70,573956.5499999999,0.24141058431992768,0.20854951974866284,0.28641618365965066,0.06058559917239374
2013,Method2_PostMean,5,Q5,70,3159812.35,0.5766940792967917,0.4779106167249106,0.7129554787337444,0.057221006190178045
2013,Method3_ProbQ5,1,Q1,71,738570.18,-0.5481067462070114,-0.7211628629384852,0.0013478598128807847,0.05720847675468966
2013,Method3_ProbQ5,2,Q2,70,437717.44,0.006738012592150941,-0.015744100085086952,0.05365597802658658,0.05796956064796738
2013,Method3_ProbQ5,3,Q3,70,263215.75,0.09927685729273589,0.08544781047764968,0.17507326452194485,0.07375072924631115
2013,Method3_ProbQ5,4,Q4,70,496356.98,0.2239100943268743,0.1890495927627082,0.3220117133287396,0.08475544619527552
2013,Method3_ProbQ5,5,Q5,70,3159299.76,0.5811106741363484,0.47750692219092467,0.7133322042474796,0.05950282154847769
2014,Method1_Raw,1,Q1,73,508802.48,-0.6037054897863345,-0.7477338115214337,0.059267817735018706,0.08128992599510397
2014,Method1_Raw,2,Q2,73,800534.79,0.030599499551798096,0.024486958387379947,0.17816280610862734,0.06801764701964513
2014,Method1_Raw,3,Q3,72,723633.01,0.10987678213967485,0.1006091506705321,0.21894321261223382,0.05934519728774401
2014,Method1_Raw,4,Q4,73,992062.14,0.2015388158758419,0.18020672204902854,0.3645604794303387,0.0581707761751851
2014,Method1_Raw,5,Q5,73,3658580.38,0.5194507036676831,0.4394581582221673,0.6329207087881248,0.06883684308642743
2014,Method2_PostMean,1,Q1,73,495111.31999999995,-0.6035354144211481,-0.7479971318874795,0.06160668468210534,0.08262556747078237
