Exchange,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Oslo,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.0018333643454965223,-0.0001527803621247102,-0.028828567505853574,0.9770190656154416
Oslo,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.013324636727081488,-0.0011103863939234573,-0.17172832231997842,0.8637589913737467
Oslo,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.041158910028953555,-0.003429909169079463,-0.5284452232018458,0.5975543779190495
Stockholm,LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.04806598310484629,-0.004005498592070524,-0.7648123709266363,0.4448579741593286
Stockholm,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.06966675553083997,-0.00580556296090333,-1.3682462498919634,0.17204345962162448
Stockholm,LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.047477132231682054,-0.003956427685973505,-0.8598408755991012,0.39042465044429164
Stockholm,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.07533394901078697,-0.0062778290842322474,-1.6073304673333904,0.1088212696999129
Stockholm,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.05289821503506008,-0.004408184586255006,-0.8686466407991216,0.38559750225578315
Stockholm,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0657624318200294,-0.005480202651669117,-1.2994301796005,0.19459674898376744
Stockholm,LongShort,FF5,Method2_PostMean minus Method1_Raw,-0.046252294637984304,-0.003854357886498692,-1.0102872477719131,0.31301435966655844
Stockholm,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.06610111601500618,-0.005508426334583849,-1.5851423628960677,0.11378366840396814
Stockholm,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.05041046548605066,-0.004200872123837555,-0.9783669685802997,0.3285321118414266
Stockholm,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.06727403957297011,-0.0056061699644141755,-1.4829824555941533,0.1389303243504476
