Exchange,Method,Portfolio,Date,n_firms,reason
Oslo,Method1_Raw,Q5,2010-07-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-08-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-09-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-10-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-11-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-12-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-04-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-05-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-06-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2011-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2010-01-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2010-02-28,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2010-03-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2010-04-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2010-05-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-04-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-05-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-06-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method2_PostMean,Q5,2011-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-01-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-02-28,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-03-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-04-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-05-31,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-07-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-08-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-09-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-10-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-11-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2010-12-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-01-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-02-28,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-03-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-04-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-05-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-06-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-07-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-08-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-09-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-10-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-11-30,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method3_ProbQ5,Q5,2011-12-31,6,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
