SizeGroup,PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
SmallCap,LongShort,CAPM,0.20269428680528112,0.20663037699148337,0.16675617371560825,7.024738553074172e-07,5.969759353519066e-08,0.0001434849666095417,5.132839714627747,5.643982496786364,3.880826622096697,0.003936090186202267,-0.035938113089672825,0.9423117489212347,0.5411175419655883,0.07241248256509261,-0.6116765630223752
SmallCap,LongShort,FF3,0.19785188357484604,0.20277188978533778,0.15820015190232292,1.8889838560021133e-07,9.052798288777808e-09,2.411862886164684e-05,5.41140745113856,6.018153983530352,4.331026603926988,0.004920006210494033,-0.03965173167252323,0.9219966833789748,0.44626673287512175,0.09798466353666908,-0.7624546552751263
SmallCap,LongShort,FF3+MOM,0.15832172658308968,0.16609783046534599,0.10161583057172427,0.00019414760145597398,3.47866006964459e-05,0.0039387947922668864,3.802016531042408,4.242190051551995,2.9193300742007358,0.007776103882244371,-0.05670589601137972,0.8925609127943857,0.29875748144462744,0.13515641952621943,-1.040548187512012
SmallCap,LongShort,FF5,0.18155329966939182,0.18903235299605248,0.15060146594735196,7.935541113113231e-11,2.034772350612002e-10,1.5711377009619554e-05,6.899514088926443,6.730307447171691,4.435222517319729,0.0074790533266624465,-0.0309518337220466,0.8468739813350457,0.4726272442630912,0.19324318759781892,-0.718943244888181
SmallCap,LongShort,FF5+MOM,0.16326257763292162,0.17206548955790943,0.10749567252101044,3.857410735275124e-07,6.875843427955886e-08,0.0004238446595969947,5.265352941800703,5.621726730166717,3.5897726043515283,0.008802911924989405,-0.05576690511191115,0.840689802149075,0.1975649591716213,0.2011525802757477,-1.29084050651078
SmallCap,Q5,CAPM,0.03293825053653649,0.028604589895574135,0.03306735711865048,0.4743956951924053,0.45045203083852514,0.4640970256323369,0.716770788733732,0.7562231169517788,0.7335996098160764,-0.004333660640962349,0.00012910658211395115,0.94187736371471,0.9983980900380691,-0.07295870675904224,0.0020090190429597372
SmallCap,Q5,FF3,0.03177509918299521,0.027361028739740167,0.03168728054319908,0.32173407838364065,0.2737327149463973,0.31585551967454917,0.9935190678356965,1.0977154238898374,1.0056938485546765,-0.004414070443276373,-8.781863981785487e-05,0.9132953003275259,0.9984401645492191,-0.10895626702138178,-0.001956265347088144
SmallCap,Q5,FF3+MOM,0.00868483264976246,0.007171412883904389,0.007927686657300703,0.7471395957775981,0.771686777277431,0.7686561327924399,0.32288960985643267,0.29059019365503413,0.2945608181731896,-0.0015134197658400947,-0.0007571459924435725,0.9670068786641948,0.9841792776317639,-0.04139024197785621,-0.01984289921967864
SmallCap,Q5,FF5,0.026908374815368293,0.024056106947901258,0.027688153294899612,0.3597422017183689,0.3103659026278729,0.33317160838693183,0.9181254688325494,1.0172288625239194,0.970270695099017,-0.0028522678674957544,0.0007797784795013363,0.9396436450593897,0.9848118197938724,-0.0757689562249988,0.01904951313314249
SmallCap,Q5,FF5+MOM,0.010032350449177784,0.00949114834490786,0.010150059229064038,0.6745620467616029,0.6697906999283636,0.6678650476794268,0.42056338740573346,0.42711712011166825,0.4297673315197753,-0.000541202104269875,0.00011770877988604572,0.9868196201076291,0.9972209578471047,-0.016531076734086946,0.0034853740735163135
