Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,FiscalYear,ForecastDate,ForecastCutoffDate,ForecastWindowStart,cfo_forecast,forecast_timing_valid,has_analyst_cfo_forecast,CFO_lead1_analyst_scaled,firm_idx_y,sigma_mean,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_acc
2017,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181661.95,16110.34,135161.08,5958.28,2568.79,31219.43,356659.81,31401.58,208263.81,286821.49,47759.490000000005,8373.2,1934.19,121619.53,4349.71,460397.97,-0.9516462907928952,-164.1699999999837,1392.8899999999994,4319.169999999984,-2704.63,2568.79,-6012.069999999967,338587.67,347623.74,-0.01729476243480945,31401.58,32266.61,-75762.96000000002,0.09282050184489701,0.09033209296925464,-0.2179452991329074,0.08980810689166396,23803.03,0.06847354556394795,True,5,4,2017.0,2018-06-25,2018-06-30,2018-02-08,31473.297047004,True,True,0.09053839949769829,4,0.022185355674615964,0.02023002685101044,0.009797501231104773,0.01035640128851742,0.04091804495512627,8000,0.022185355674615964
2018,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,188885.18,17130.54,159358.1,17545.2,2246.06,35703.75,383912.47,23803.03,225184.52,311262.94,52441.57,9337.24,2132.83,120527.14,5027.72,344347.01,-1.0458820948866496,7223.229999999981,1020.2000000000007,24197.02000000002,11586.920000000002,-322.73,-6729.800000000036,356659.81,370286.14,-0.018174593302358103,23803.03,31401.58,16920.709999999992,0.08480355219344694,0.06428280032301506,0.04569630934606408,0.09642205349625022,20455.53,0.055242494358552004,True,5,4,2018.0,2019-06-14,2019-06-30,2019-02-28,23464.92906261,True,True,0.06336972013754012,4,0.02181200652277424,0.02022540263561013,0.008525742144449115,0.011126675173595385,0.037847576155521416,8000,0.02181200652277424
2019,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,232258.91,18531.2,177903.05,20076.2,3116.33,34867.8,404754.47,20455.53,246152.57,335593.82,58463.22,10540.1,1891.59,118736.64,3985.39,443564.68,-1.134726666434706,43373.73000000001,1400.6599999999999,18544.949999999983,2531.0,870.27,26829.390000000025,383912.47,394333.47,0.0680373136979725,20455.53,23803.03,20968.050000000017,0.06036269252011502,0.05187368447319473,0.0531733966178423,0.08842211643865788,15932.56,0.04040377297925028,True,5,4,2019.0,2020-06-11,2020-06-30,2020-02-05,19551.9628434,True,True,0.0495823061719818,4,0.030404417411397638,0.02844458616683282,0.011118890365565815,0.015988579229993215,0.05159148838229282,8000,0.030404417411397638
2020,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164918.71,15139.99,132236.91,11091.22,3388.27,35804.15,352448.76,15932.56,245943.02,343608.77,56672.11,10606.02,2258.6,134544.36,2693.46,501106.31,-1.0637770258956318,-67340.20000000001,-3391.210000000001,-45666.139999999985,-8984.980000000001,271.94000000000005,-26995.89000000003,404754.47,378601.615,-0.07130421247674823,15932.56,20455.53,-209.55000000001746,0.05402916730822714,0.042082651971783056,-0.000553484168312429,0.0945694592454393,28620.29,0.07559473828446295,True,5,4,2020.0,2021-06-29,2021-06-30,2021-02-04,27368.757325844,True,True,0.07228906650555096,4,0.037972324500779954,0.035989904582669305,0.013570241191793425,0.01966381957579601,0.06374422080131661,8000,0.037972324500779954
2021,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164641.26,21329.83,137102.71,12188.47,3328.93,35623.1,354557.74,28620.29,248773.02,334814.36,54842.66,10476.92,1272.01,137199.58,3328.93,667649.28,-0.9370275825168858,-277.44999999998254,6189.840000000002,4865.799999999988,1097.25,-59.340000000000146,-10295.179999999973,352448.76,353503.25,-0.029123296603355057,28620.29,15932.56,2830.0,0.045070476721218264,0.08096188648902096,0.008005584107076809,0.10077163364127487,12364.76,0.034977783089688706,True,5,4,2021.0,2022-06-30,2022-06-30,2022-02-03,32232.80372676,True,True,0.09118106757649329,4,0.039049021099785156,0.03694177835040678,0.014004687013688066,0.02020922509439181,0.06547240261420982,8000,0.039049021099785156
2022,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,191717.51,16624.66,161926.35,24834.13,3056.51,38314.11,383513.38,12364.76,282900.34,379224.42,60507.58,11202.26,1248.97,125169.88,4016.57,584258.29,-1.1369487279819208,27076.25,-4705.170000000002,24823.640000000014,12645.660000000002,-272.4199999999996,19331.01999999999,354557.74,369035.56,0.05238254004573432,12364.76,28620.29,34127.320000000036,0.07755428772229972,0.0335056058012404,0.09247705017912104,0.10382227121960821,45265.33,0.12265845058400335,True,5,4,2022.0,2023-06-27,2023-06-30,2023-02-02,43279.433602728,True,True,0.11727713611861144,4,0.03576998276658304,0.033769575665778595,0.013167299725483528,0.018241039457094276,0.06004791979144528,8000,0.03576998276658304
2023,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,215644.52,14503.33,182472.34,26422.21,6770.25,41979.58,414930.99,45265.33,340123.05,443600.22,72382.32,13896.14,2901.62,135911.69,6557.41,845479.27,-1.1571980871641638,23927.00999999998,-2121.33,20545.98999999999,1588.079999999998,3713.74,10804.16999999999,383513.38,399222.185,0.027063050115814554,45265.33,12364.76,57222.70999999996,0.030972126461358856,0.11338380405888517,0.14333549624753436,0.10515342477773373,50227.21,0.12581267245957287,True,5,4,2023.0,2024-06-27,2024-06-30,2024-02-01,49411.88478,True,True,0.12377038811107154,4,0.041351360280308974,0.039431513925854575,0.013397736564191805,0.023083106864485576,0.066403672932893,8000,0.041351360280308974
2024,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,235940.57,15093.65,166552.97,3318.78,5512.36,45303.68,457901.32,50227.21,328577.28,399282.15,77870.97,13623.12,795.04,163882.03,6501.18,1143841.1,-0.7967202871691408,20296.050000000017,590.3199999999997,-15919.369999999995,-23103.43,-1257.8900000000003,11263.780000000013,414930.99,436416.155,0.025809722832098213,50227.21,45265.33,-11545.76999999996,0.103720564606505,0.11509017121513294,-0.026455872147995895,0.10380843944697693,,,True,5,4,2024.0,2025-06-09,2025-06-30,2025-01-30,49263.9334,True,True,0.11288292799335074,4,0.043959087457060175,0.04208440725427394,0.013807500215191887,0.02534211014348342,0.06925883316242656,8000,0.043959087457060175
2024,ACAST.ST,Acast AB (publ),Software & IT Services,Information Technology,1366.09,733.76,621.69,0.0,3.84,11.29,2066.55,34.97,1976.74,1199.55,839.9200000000001,191.26,6.22,1303.35,0.0,2922.64,0.0938427897341466,93.49000000000001,-30.840000000000032,67.72000000000003,-10.29,1.1599999999999997,47.48000000000002,1735.93,1901.2400000000002,0.024973175401317042,34.97,-28.0,348.0999999999999,-0.01472723064947087,0.018393259136142724,0.1830910353243146,0.005938229786875932,,,True,6,7,2024.0,2025-05-06,2025-06-30,2025-02-12,61.2237246980512,True,True,0.0322019969588538,7,0.03500689844514069,0.031307137230795014,0.017627747120434915,0.014206507380757077,0.06868164424577641,8000,0.03500689844514069
2017,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,80.19,3.78,39.19,5.0,0.0,25.32,172.33,7.8,223.22,100.51,109.65,0.0,0.49,119.09,0.0,155.55,0.1055504240490385,16.65,1.44,3.6899999999999977,-1.29,0.0,10.23,142.96,157.645,0.0648926385232643,7.8,0.85,22.379999999999995,0.005391861460877287,0.04947825811157981,0.14196454058168667,0.16061403786989756,19.58,0.12420311459291444,True,6,9,2017.0,2018-04-05,2018-06-30,2018-02-15,25.8673038561796,True,True,0.16408578677522026,9,0.03376134673008105,0.030833649724969305,0.014947629839100663,0.01548224822530084,0.06119803551197003,8000,0.03376134673008105
2018,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,134.85,25.41,61.76,11.59,0.0,48.95,255.94,19.58,279.75,127.71,126.22,0.0,1.14,147.51,0.0,244.38,0.1673106908006238,54.66,21.63,22.57,6.59,0.0,17.05,172.33,214.135,0.07962266794312,19.58,7.8,56.53,0.03642561935227777,0.09143764447661522,0.2639923412800336,0.22859411119153808,42.21,0.19711864011021085,True,6,9,2018.0,2019-05-02,2019-06-30,2019-02-28,49.8982308302692,True,True,0.23302230289429193,9,0.036600385239174,0.034108026034839437,0.014190773248366208,0.018919213804205845,0.06285940354651608,8000,0.036600385239174
2019,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,144.06,23.44,66.18,10.19,0.0,55.18,290.56,42.21,307.05,143.77,136.91,0.0,1.22,178.08,0.0,347.04,0.1412286612758311,9.210000000000008,-1.9699999999999989,4.420000000000009,-1.4000000000000004,0.0,5.359999999999998,255.94,273.25,0.019615736505032014,42.21,19.58,27.30000000000001,0.07165599268069532,0.15447392497712717,0.09990850869167434,0.20193961573650504,39.4,0.14419030192131746,True,6,9,2019.0,2020-06-04,2020-06-30,2020-03-10,63.6320353681347,True,True,0.23287112669033744,9,0.03649317024503592,0.03387223981507431,0.014016751394138285,0.01929598041691341,0.06195888522244057,8000,0.03649317024503592
2020,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,121.76,29.34,54.49,10.39,0.0,61.98,282.36,39.4,274.89,126.11,148.82999999999998,0.0,3.95,179.65,0.0,280.95,-0.0222655162816588,-22.299999999999997,5.899999999999999,-11.690000000000005,0.20000000000000107,0.0,-16.309999999999988,290.56,286.46000000000004,-0.05693639600642319,39.4,42.21,-32.160000000000025,0.14735041541576485,0.1375410179431683,-0.11226698317391615,0.21636528660196883,22.95,0.0801158975075054,True,6,9,2020.0,2021-04-28,2021-06-30,2021-03-10,33.7234264377849,True,True,0.11772473098437791,9,0.03287015861780272,0.03059961825550165,0.01257945690031158,0.017103359615706453,0.056764119684505815,8000,0.03287015861780272
2021,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,170.28,26.34,89.32,9.93,0.0,55.1,315.44,22.95,336.9,176.44,151.48,0.0,0.4,191.77,0.0,,0.0447410961047087,48.519999999999996,-3.0,34.82999999999999,-0.46000000000000085,0.0,16.230000000000004,282.36,298.9,0.054299096687855486,22.95,39.4,62.00999999999999,0.13181666109066578,0.07678153228504517,0.20746068919371025,0.18434258949481433,36.52,0.12218133154901306,True,6,9,2021.0,2022-04-27,2022-06-30,2022-03-10,58.083321019189,True,True,0.19432358989357312,9,0.03454202015544402,0.03227037394866282,0.012682087285030483,0.018142190696546566,0.058680754753731995,8000,0.03454202015544402
2022,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,181.05,14.78,77.33,10.4,0.0,62.56,329.55,36.52,394.81,182.59,169.24,0.0,1.05,228.59,0.0,526.48,0.1834288464062294,10.77000000000001,-11.56,-11.989999999999995,0.47000000000000064,0.0,34.790000000000006,315.44,322.495,0.10787764151382194,36.52,22.95,57.910000000000025,0.07116389401386068,0.11324206576846153,0.1795686754833409,0.19398750368222764,58.5,0.18139816121180172,True,6,9,2022.0,2023-04-21,2023-06-30,2023-03-16,86.9829262665216,True,True,0.26971868173621794,9,0.03847640765086798,0.035694673082202436,0.015349370451515078,0.019064179380487076,0.06734600760996319,8000,0.03847640765086798
2023,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,129.09,14.79,70.31,11.1,0.0,69.12,292.97,58.5,368.47,183.29,201.46,0.0,3.13,209.91,0.0,293.08,-0.0924682006574243,-51.96000000000001,0.009999999999999787,-7.019999999999996,0.6999999999999993,0.0,-44.250000000000014,329.55,311.26,-0.1421641071772795,58.5,36.52,-26.339999999999975,0.11732956370879652,0.18794576881064062,-0.08462378718756017,0.2220651545331877,-54.77,-0.1759622180813468,True,6,9,2023.0,2024-04-19,2024-06-30,2024-03-14,11.7269153322466,True,True,0.0376756259469466,9,0.042382279533855115,0.039654719570496044,0.01546469432929479,0.0227203628001314,0.07125660461839162,8000,0.042382279533855115
2024,ACG1V.HE,Aspocomp Group Oyj,Semiconductors & Semiconductor Equipment,Information Technology,169.35,16.2,82.46,14.39,0.0,58.45,334.3,-54.77,320.48,181.81,192.93,0.0,4.39,180.58,0.0,256.0,-0.3247867980950271,40.25999999999999,1.4100000000000001,12.149999999999991,3.290000000000001,0.0,29.990000000000002,292.97,313.635,0.09562070559727072,-54.77,58.5,-47.99000000000001,0.18652255009804392,-0.17462974476700624,-0.15301225947359196,0.18636312911505415,,,True,6,9,2024.0,2025-04-30,2025-06-30,2025-02-26,44.7141870079855,True,True,0.14256759292803897,9,0.05167367129663045,0.04849293763295781,0.01819250775793709,0.028020169902347757,0.08633687385400787,8000,0.05167367129663045
2017,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,2305.9,170.59,2107.51,0.0,43.13,182.1,4327.16,530.74,6914.01,4757.35,1611.4699999999998,0.0,9.63,1630.23,38.34,9360.56,0.3209694528848056,156.55999999999995,28.110000000000014,266.5300000000002,0.0,19.720000000000002,-118.36000000000027,3872.27,4099.715,-0.028870299520820413,530.74,463.84,890.9899999999998,0.11313957189707088,0.12945777938222536,0.21732974121371845,0.04441772171968051,524.71,0.12798694543401187,True,5,12,2017.0,2017-05-22,2017-06-30,2017-05-11,588.433685034115,True,True,0.14353038809627375,12,0.033112122564375256,0.03077796134609744,0.013094156103835231,0.016373939034087317,0.057209466817895106,8000,0.033112122564375256
2018,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,2650.5,180.65,2272.26,0.0,57.39,194.76,5192.79,524.71,7809.37,5375.64,1770.79,0.0,15.58,1961.76,43.28,10397.27,0.3228663767306385,344.5999999999999,10.060000000000002,164.75,0.0,14.259999999999998,184.0499999999999,4327.16,4759.975,0.03866616946517574,524.71,530.74,895.3599999999997,0.11150058561231939,0.11023377223619872,0.18810182826590469,0.040916181282464714,486.72,0.10225263788150148,True,5,12,2018.0,2018-05-25,2018-06-30,2018-05-15,587.845278088413,True,True,0.1234975557830478,12,0.031631192855678336,0.029796592164630053,0.011277330644526058,0.017033318643326564,0.052531224049818734,8000,0.031631192855678336
2019,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,3503.55,273.64,2950.7,0.0,80.7,250.45,6534.96,486.72,9426.04,6525.22,2082.49,0.0,28.79,2291.18,46.38,11775.76,0.337762453156283,853.0500000000002,92.98999999999998,678.4399999999996,0.0,23.310000000000002,104.93000000000052,5192.79,5863.875,0.01789431050286722,486.72,524.71,1616.670000000001,0.08948178465605082,0.08300313359340028,0.27569994244420304,0.042710664876041866,1052.25,0.17944618532966683,True,5,12,2019.0,2019-06-28,2019-06-30,2019-05-15,780.60728599903,True,True,0.13312140623717764,12,0.03142723518956133,0.029570336595426933,0.01082954041100516,0.017392375056244243,0.0516599812888747,8000,0.03142723518956133
2020,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,4491.57,382.19,2798.54,188.46,167.41,326.39,8955.76,1052.25,11054.75,7619.15,2426.6800000000003,0.0,34.849999999999994,3177.58,61.07,16932.68,0.3007642073086008,988.0199999999995,108.55000000000001,-152.15999999999985,188.46,86.71,1306.7999999999995,6534.96,7745.360000000001,0.16872036935662119,1052.25,486.72,1628.7099999999991,0.06284020368323745,0.13585553156986893,0.21028202691676035,0.042140068376421494,1550.92,0.20023859446171643,True,5,12,2020.0,2020-06-30,2020-06-30,2020-05-13,1207.70458642744,True,True,0.1559262043891362,12,0.04518959146437705,0.0427896348311808,0.015297975632103689,0.024542003946828032,0.07383049121446165,8000,0.04518959146437705
2021,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,4155.0,411.39,3493.85,800.24,147.9,319.31,9604.9,1550.92,11697.42,8113.69,2559.07,0.0,40.24000000000001,3152.98,226.26,34735.93,0.2913140232715051,-336.5699999999997,29.19999999999999,695.31,611.78,-19.50999999999999,-468.80999999999966,8955.76,9280.33,-0.05051652258055475,1550.92,1052.25,642.6700000000001,0.11338497661182308,0.16711905718869913,0.06925077017735362,0.03440718164117009,1104.77,0.1190442581244417,True,5,12,2021.0,2021-05-20,2021-06-30,2021-05-18,1264.59392771084,True,True,0.13626605171484635,12,0.04193561704422338,0.03958891998159211,0.015109909044803782,0.02169762710088375,0.07062436088723426,8000,0.04193561704422338
2022,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,5554.41,408.84,4873.33,1271.4199999999998,114.14,349.9,11626.19,1104.77,13834.76,9576.32,2835.35,0.0,41.39,3677.68,306.86,46449.09,0.3467652476822921,1399.4099999999999,-2.5500000000000114,1379.48,471.17999999999984,-33.760000000000005,459.89999999999964,9604.9,10615.545,0.04332325848555111,1104.77,1550.92,2137.34,0.14609895205568815,0.10407096385536493,0.2013405811948421,0.03296109620372764,1830.97,0.17248007521045788,True,5,12,2022.0,2022-06-22,2022-06-30,2022-05-17,1799.3339871612,True,True,0.16949991612877152,12,0.03828198662125655,0.035665684863707414,0.01475497002742561,0.018780920026071863,0.0661619639346482,8000,0.03828198662125655
2023,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,7762.11,610.89,5254.04,322.59000000000003,165.32,460.69,15394.19,1830.97,17930.27,12542.76,3367.8,0.0,116.89,5225.82,392.14,52881.44,0.3387030167534123,2207.7,202.05,380.71000000000004,-948.8299999999998,51.17999999999999,727.29,11626.19,13510.19,0.053832699614143095,1830.97,1104.77,4095.51,0.08177309127406794,0.1355251110458106,0.30314229481598703,0.03409944641785201,2583.48,0.19122454976576939,True,5,12,2023.0,2023-06-30,2023-06-30,2023-05-17,2336.90036162665,True,True,0.1729731677812562,12,0.039746987151574584,0.037322251821877525,0.014919870061453847,0.020028437705050302,0.0674811363695813,8000,0.039746987151574584
2024,ADDTb.ST,Addtech AB,Diversified Industrial Goods Wholesale,Industrials,7912.71,810.36,5335.39,489.47,213.25,640.78,16915.05,2583.48,20084.9,13717.01,3923.87,0.0,246.80999999999997,6066.55,511.81,67537.49,0.3340057400324703,150.60000000000036,199.47000000000003,81.35000000000036,166.88,47.93000000000001,84.58999999999997,15394.19,16154.619999999999,0.0052362729671140505,2583.48,1830.97,2154.630000000001,0.11334033236312585,0.15992205325782965,0.13337546782282722,0.039665433170201464,,,True,5,12,2024.0,2024-06-20,2024-06-30,2024-05-16,2721.44234305477,True,True,0.1684621701441922,12,0.04125289474151921,0.0383400194461862,0.016033870448794063,0.020200687431829307,0.07089601790299219,8000,0.04125289474151921
