Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2017,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,944.4,805.27,60.08,0.0,6.82,168.42,1225.46,-432.46,41.49,0.0,520.43,0.0,6.09,1065.88,0.0,2906.24,-0.4550512252786429
2018,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,380.88,281.52,70.25,0.0,6.01,194.79,685.62,-426.71,10.49,0.0,475.58,0.0,8.48,515.81,0.0,876.56,-0.918109381361354
2019,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,102.52,77.88,60.06,12.18,5.86,0.0,107.43,-255.62,6.17,0.0,315.58,0.0,13.41,-172.58,0.0,136.52,1.8705527871132224
2020,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,59.44,49.67,280.58,27.84,1.5,1.94,66.3,-111.86,4.63,0.0,118.15,0.0,29.98,-402.0,0.0,551.91,0.3569651741293532
2021,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,68.41,60.35,62.56,33.95,0.0,17.9,91.36,-125.04,0.0,0.0,168.26000000000002,0.0,27.49,-118.72,0.0,1248.75,1.6488376010781671
2022,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,57.13,48.62,84.37,43.5,0.0,21.25,84.0,-157.7,0.0,0.0,195.8,0.0,35.82,-159.15,0.0,462.96,1.4553565818410306
2023,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,47.17,38.42,62.06,23.92,0.0,18.9,71.89,-134.29,1.46,0.0,146.45,0.0,36.28,-124.63,0.0,319.76,1.4544652170424457
2024,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,55.33,46.38,58.75,21.17,0.0,18.73,129.56,-101.96,0.66,0.0,117.32,0.0,24.98,-39.45,0.0,757.23,3.590367553865653
2009,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,446.2,227.8,2648.4,2306.5,0.0,18346.7,21068.9,536.5,1366.4,620.9,764.4,0.0,1221.2,6197.0,259.0,,-0.1920848822800495
2010,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,215.2,149.1,3807.7,3513.2,0.0,19955.6,22225.6,517.0,1421.6,112.2,503.1,0.0,1247.9,6832.3,120.1,,-0.0635176341982624
2011,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,188.4,48.3,3992.0,3616.5,0.0,21843.9,23740.3,517.2,1434.7,88.6,463.7,0.0,1379.2,7272.2,119.2,,-0.0672132478285575
2012,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,255.0,64.8,4369.3,3910.0,0.0,23499.1,25884.8,656.0,1500.3,86.9,311.90000000000003,0.0,1424.8000000000002,7987.1,98.0,,-0.0399871368319501
2013,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,528.1,177.4,3362.1,2809.1,0.0,24429.8,26809.1,508.4,1632.3,91.5,285.90000000000003,0.0,1373.6,8016.8,114.6,,-0.0145977322478294
2014,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,661.9,198.2,3412.4,2821.2,0.0,26679.5,30849.6,668.2,1772.3,95.6,411.1,0.0,1385.4,10778.2,285.8,14055.53,-0.0108279103398409
2015,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1062.0,212.0,3501.0,3123.0,0.0,28823.0,33619.0,849.0,1760.0,129.0,447.0,0.0,1227.0,12994.0,359.0,13090.94,-0.0032202501310566
2016,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,914.0,243.0,3926.0,3379.0,0.0,35629.0,38890.0,1097.0,1899.0,109.0,1116.0,0.0,589.0,14732.0,392.0,15755.06,0.005620206294631
2017,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1251.0,189.0,5263.0,4663.0,0.0,39875.0,43410.0,1222.0,2075.0,121.0,530.0,0.0,628.0,18505.0,433.0,22415.36,0.042031893547365
2018,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1921.0,230.0,4710.0,4239.0,0.0,44714.0,47709.0,1389.0,2243.0,149.0,806.0,0.0,552.0,20524.0,1746.0,21165.98,0.0330489447687471
2019,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,998.0,317.0,3067.0,2539.0,0.0,49095.0,51160.0,1352.0,2338.0,189.0,620.0,0.0,610.0,22570.0,1947.0,26409.15,0.0374841946404535
2020,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1021.0,217.0,2683.0,2051.0,26.0,56834.0,59141.0,1521.0,2353.0,211.0,476.0,0.0,579.0,27136.0,2069.0,35370.05,0.0372196541688067
2021,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1149.0,309.0,4622.0,3791.0,16.0,67568.0,70292.0,1488.0,2508.0,234.0,487.0,0.0,583.0,31263.0,2308.0,36116.79,0.0358642876292037
2022,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1278.0,226.0,3200.0,2423.0,14.0,77404.0,82162.0,1509.0,3158.0,263.0,558.0,0.0,1126.0,29693.0,1978.0,19269.57,0.0382368728489785
2023,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1672.0,171.0,1811.0,958.0,13.0,68470.0,73336.0,1378.0,3077.0,255.0,502.0,0.0,1640.0,23779.0,1775.0,21018.04,0.0266103154105032
2024,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1617.0,264.0,8572.0,7949.0,13.0,60471.0,64451.0,1353.0,3099.0,264.0,1047.0,0.0,1468.0,23802.0,1755.0,21054.47,0.0125210314199632
1998,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,173.64,0.0,65.91,9.32,0.0,256.35,442.54,-37.18,159.18,112.76,0.0,0.0,0.0,209.1,19.62,,0.202955578873732
1999,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,181.06,0.0,113.39,14.75,7.76,190.12,378.65,-6.02,353.15,291.91,0.0,0.0,0.0,119.52,2.11,,0.5034942037326314
2000,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,260.74,0.0,118.85,8.02,4.2,164.65,431.58,12.0,441.13,297.44,0.0,0.0,0.0,120.18,2.65,,1.1698282178620856
2004,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,184.07,1.19,124.47,16.44,4.6,106.69,302.93,25.45,226.63,154.28,5.08,0.0,0.0,-43.64,2.13,,-1.6205733558178752
2005,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,228.31,7.16,161.9,17.27,11.11,113.21,351.77,35.29,264.76,178.26,3.86,0.0,0.0,-34.56,0.0,,-2.391203703703704
2006,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,241.65,4.73,219.85,47.62,4.94,111.31,364.55,64.25,314.36,237.3,3.56,0.0,0.0,98.34,0.86,,0.7409274193548386
2007,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,202.76,6.55,143.48,14.86,8.42,98.28,314.25,25.27,346.65,262.44,2.71,0.0,0.0,92.52,1.13,,0.8702616123865455
2008,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,220.37,14.02,131.87,28.26,0.0,137.45,358.25,-1.34,343.56,262.75,2.92,0.0,0.0,174.75,1.36,,0.442280392936233
2009,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,148.61,9.09,98.56,15.04,5.25,89.1,257.77,16.79,288.8,221.1,4.12,0.0,0.0,128.99,0.86,,0.4896418944936466
2010,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,176.43,8.08,148.69,15.57,7.34,113.92,316.75,44.32,380.67,276.45,12.68,7.71,0.0,129.68,0.72,,0.7611196319018406
2011,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,176.62,13.03,157.74,29.950000000000003,8.71,138.15,349.41,-4.64,394.76,299.3,94.79,7.13,0.0,121.11,0.6,166.84,0.0640867636184371
2012,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,120.28,5.24,145.12,24.03,9.14,132.2,297.49,43.72,193.31,121.66,57.99,0.0,0.0,84.13,1.15,48.38,0.1601782363977486
2013,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,105.95,9.08,75.81,23.43,0.29,56.62,291.52,-33.67,180.73,114.33,59.18,0.0,0.0,74.63,0.32,66.56,0.096330887258172
2014,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,129.69,16.08,59.82,4.21,3.47,54.74,224.87,67.94,182.11,114.08,69.31,0.0,0.0,135.47,0.16,72.84,-0.0094374400943743
2015,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,164.53,7.57,95.37,5.19,2.38,94.69,314.33,32.33,265.08,155.32,84.08,0.0,0.0,168.94,0.18,91.0,0.151844843897824
2016,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,174.17,12.86,107.35,18.26,3.54,100.26,369.97,42.26,307.57,178.86,95.91,0.0,0.0,212.95,0.26,106.28,0.1538389381361098
2017,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,182.22,17.6,99.1,13.35,4.76,90.42,345.07,29.65,317.68,184.21,105.4,0.0,0.0,202.84,0.22,309.81,0.1382350044321875
2018,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,224.44,40.69,106.7,14.07,3.09,90.8,396.33,44.53,339.7,186.41,119.1,0.0,0.0,257.32,0.27,450.64,0.1327303078535656
2019,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,206.42,6.64,119.07,11.52,2.15,95.14,393.09,7.93,356.89,223.47,159.08,13.02,2.69,239.65,0.31,431.45,-0.0638856476079347
2020,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,217.13,11.62,104.3,16.28,5.18,94.0,405.97,-4.39,330.44,205.16,140.57000000000002,12.91,3.5700000000000003,219.59,0.35,510.83,-0.0270528325907066
2021,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,319.14,30.65,146.08,11.41,9.74,96.01,517.64,5.05,390.66,254.42,149.16,14.48,3.54,304.89,0.39,1443.06,-0.0064858490566036
2022,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,557.85,169.02,404.86,37.95,12.39,148.61,827.09,-17.8,569.02,382.66,233.47,13.64,6.069999999999999,292.48,0.45,1482.24,-0.1349810534940089
2023,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,767.2,139.34,491.21,82.36,51.5,189.98,1100.6,31.7,999.4,654.12,324.83,22.44,16.9,469.02,0.46,1907.92,0.0553591207293175
2024,ENVIP.OL,Envipco Holding NV,Professional & Commercial Services,Industrials,1105.43,361.81,618.21,220.88,38.73,278.43,1599.11,-47.4,1324.8,832.84,449.39,28.81,21.880000000000003,767.12,0.38,3699.68,0.0644951140065145
2012,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1151.77,37.36,593.33,0.0,14.01,541.65,1710.05,-119.39,1618.37,1708.89,131.08999999999995,0.0,13.25,739.05,0.04,392.14,-0.3177691485475384
2013,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1015.8,335.71,315.64,0.0,0.0,423.57,1442.89,376.46,1059.62,676.98,116.71,0.0,15.59,888.94,-1.82,474.34,0.2821940661917214
2014,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1332.31,76.65,615.79,0.0,0.02,367.33,1710.15,-449.74,429.53,806.65,96.3,0.0,14.86,830.05,0.04,467.84,-0.5882253731523088
2015,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,886.71,235.97,272.96,0.0,0.07,330.96,1230.41,663.74,1394.62,580.88,193.64,0.0,15.4,714.51,0.05,565.42,0.8462550380653828
2016,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,950.3,215.31,449.01,0.0,0.07,252.03,1233.89,134.68,695.98,683.68,123.18,0.0,11.28,652.14,0.14,479.28,-0.1872815355368859
2017,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,736.0,197.01,162.92,0.0,15.25,108.95,880.65,86.7,1015.59,704.3,117.59,0.0,7.11,643.11,1.68,525.98,0.2893810387878225
2018,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1574.62,678.19,875.37,0.0,32.17,47.69,1737.12,230.38,1301.85,1190.23,102.41,0.0,6.28,746.19,1.75,876.75,0.0039174265315398
2019,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1808.0,1024.25,936.21,0.0,0.03,29.54,1910.9,525.14,1883.14,1393.59,99.31,0.0,13.14,824.44,1.89,1820.26,0.4563552091779315
2020,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1773.05,721.54,569.09,0.0,7.31,31.33,1887.91,-485.28,2476.89,2154.21,155.51,0.0,20.08,1082.84,-1.04,6158.67,0.1359678313921241
2021,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1779.03,608.92,502.73,0.0,3.9,25.33,1836.52,-97.21,2619.77,2490.48,162.37,0.0,17.04,958.69,272.8,3001.75,-0.0406986658438152
2022,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,1654.74,534.64,533.7,70.59,0.0,40.47,1806.29,-181.48,2238.54,1944.95,238.48,0.0,15.2,925.26,57.42,2475.7,0.0406134245125574
2023,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,2519.93,578.89,592.98,155.04,41.28,259.75,2827.0,-151.28,2290.13,1290.87,310.54,0.0,49.76,1520.21,69.47,2224.2,0.4019425293140759
2024,EOLUb.ST,Eolus AB (publ),Construction & Engineering,Industrials,4361.18,366.0,2022.26,1629.53,38.04,287.87,4690.17,-1826.53,865.46,202.38,369.17,0.0,53.9,1712.81,81.22,1229.13,0.1337826011828119
2004,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,171.08,50.01,6.71,2.16,1.15,15.58,213.34,27.89,426.82,217.29,181.37,0.0,0.94,104.96,0.0,440.4,0.2593368902439024
2005,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,199.57,54.13,9.56,18.97,4.72,35.3,331.46,67.38,534.37,223.0,269.66,0.0,2.02,127.8,0.0,623.4,0.3105633802816904
2006,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,273.19,83.69,13.36,19.12,9.66,35.32,421.97,41.1,640.01,257.14,325.55,0.0,3.62,179.25,6.61,900.7,0.2889271494673409
2007,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,303.43,60.5,12.64,9.94,13.86,35.82,494.38,41.8,836.75,482.72,279.23,0.0,0.0,179.36,9.26,790.07,0.3965645212596753
2008,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,436.74,65.87,32.47,37.55,10.64,63.72,886.56,70.53,1097.2,0.0,997.53,0.0,0.0,262.78,13.57,409.39,0.3606658223267598
2009,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,357.0,103.11,13.34,34.08,7.28,58.23,752.86,142.76,895.98,514.47,329.79999999999995,0.0,7.03,238.49,12.18,669.51,0.1782423106075718
2010,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,489.4,91.16,54.67,43.96,10.2,38.8,1164.68,95.8,1037.81,0.0,933.4,0.0,0.0,293.03,23.98,1147.1,0.3293586953092961
2011,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,590.62,154.68,48.23,163.53,22.11,67.1,1283.13,48.79,1224.47,670.51,424.47,0.0,16.25,364.67,16.39,998.1,0.297171049178607
2012,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,554.11,109.97,404.62,153.27,17.05,63.37,1218.98,85.75,1174.97,647.91,439.43,0.0,20.25,329.06,18.25,1004.93,0.1940053554461435
2013,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,571.08,139.41,486.19,201.53,22.68,74.61,1372.98,187.64,1242.03,681.66,482.89,0.0,19.39,368.84,4.52,1213.0,0.1555871009213628
2014,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,576.74,150.33,468.85,189.25,14.08,80.17,1434.37,125.52,1287.46,695.27,525.11,0.0,15.86,475.93,6.09,950.37,0.1062611509895855
2015,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,568.63,122.07,413.5,150.87,6.06,87.38,1520.66,80.94,1314.24,719.11,554.45,0.0,8.22,545.22,6.26,1087.57,0.0588597954594907
2016,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,503.74,101.69,469.22,224.05,2.62,78.44,1356.94,9.2,1101.27,575.97,565.63,100.89,14.86,393.92,5.47,739.56,0.1144244973584715
2017,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,524.92,89.34,317.08,47.35,5.05,85.0,1420.14,46.35,1167.74,598.72,551.5,121.66,17.98,585.39,6.23,858.6,0.2048612284912611
2018,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,567.45,92.21,359.19,72.85,6.92,88.64,1478.73,102.24,1327.2,661.58,598.03,126.93,8.54,637.13,3.75,1011.6,0.2901947322431657
2019,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,653.3,114.3,503.69,175.67,6.43,93.49,1914.96,170.54,1450.5,696.54,660.81,149.66,11.2,641.77,3.98,1892.53,0.3586682152535812
2020,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,621.44,126.05,458.68,124.21,8.2,100.36,1967.19,198.85,1471.51,741.4,711.22,191.69,14.87,665.36,3.74,1226.2,0.2924973845464056
2021,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,812.26,142.81,690.1,290.92,25.67,83.06,2084.06,84.79,1622.37,854.05,712.8,202.86,18.12,710.44,4.18,2186.21,0.3362066552853264
2022,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,1012.85,150.47,691.2,227.4,22.63,75.67,2289.9,190.92,2022.27,1062.86,771.02,181.6,20.99,931.14,4.59,2996.66,0.3729708356042877
2023,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,1095.96,143.45,634.4,168.8,11.54,86.38,2589.81,333.04,2458.98,1241.82,892.65,212.36,43.61,1166.92,4.64,3659.61,0.4210283724265082
2024,EPEND.ST,Ependion AB,Integrated Hardware & Software,Information Technology,1054.11,183.06,611.0,130.26,25.17,108.1,2834.18,467.32,2296.51,1129.29,917.33,223.25,42.54,1369.32,0.0,2900.01,0.3144626529956476
2015,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,20728.24,482.47,9336.39,150.70999999999998,782.83,2509.66,29741.25,5600.86,27404.84,17652.57,4987.040000000001,823.21,296.39,15525.77,98.38,,0.3387096258036436
2016,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,20183.06,456.14,9029.89,461.83,507.35,2166.91,28434.38,5304.53,26612.97,17678.15,4639.74,650.05,252.36,14995.76,0.0,,0.3129397909809173
2017,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,19332.48,1809.17,12788.26,659.43,436.28,2272.47,27564.8,5012.16,30371.2,19464.72,5240.6900000000005,769.84,256.61,12048.78,6.0,,0.5125784128785427
2018,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,26308.2,5730.25,11239.95,638.21,590.4,2413.3,35282.21,4049.29,35852.69,22772.1,6196.62,914.93,159.2,18343.23,48.79,95915.32,0.4153812359925665
2019,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,27330.06,8007.64,8889.98,288.8,475.4,4325.44,38478.87,6726.26,38013.41,23773.62,6778.36,963.15,133.07,21342.15,48.76,126945.09,0.3876183855665797
2020,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,33741.26,15718.35,9258.93,204.66,408.28,4333.43,45825.79,8529.7,36970.22,22944.42,6639.329999999999,1056.23,151.48000000000002,24740.25,48.03,182474.03,0.3344814565593096
2021,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,32055.72,10514.42,12118.08,198.75,547.54,4469.02,47333.38,7623.79,39732.5,24245.39,6805.000000000001,1174.59,136.3,25067.22,54.56,256785.7,0.3869311808319315
2022,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,36215.18,6895.71,16358.25,1250.94,630.65,5110.13,58151.36,5280.9,47216.49,29145.69,7775.030000000001,1366.31,209.98,31080.58,459.34,208745.23,0.3630985747585916
2023,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,41398.16,6444.3,17118.02,1155.76,486.27,6072.8,68242.54,7109.26,60057.97,37021.3,10452.39,1920.88,577.26,37071.09,390.62,236948.78,0.3717902893381
2024,EPIRa.ST,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,46474.03,7380.7,18764.8,1337.55,456.47,8154.85,85937.49,10637.79,64685.11,41349.08,11358.85,2320.79,947.84,43958.28,434.88,232192.76,0.3007249314984561
2009,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,0.39,0.24,0.36,0.0,0.0,0.0,0.42,-0.23,0.0,0.0,0.44,0.58,0.0,0.06,0.0,,2.333333333333332
2010,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,6.62,6.09,1.33,0.0,0.0,0.0,7.04,-3.75,0.0,0.0,4.41,0.0,0.02,5.71,0.0,102.18,-0.7758318739054291
2011,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,35.12,34.37,1.77,0.0,0.0,0.0,36.62,-7.85,0.0,0.0,8.78,0.0,0.0,34.85,0.0,58.75,-0.2519368723098995
2012,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,21.63,19.75,3.01,0.0,0.0,0.1,23.89,-12.93,0.0,0.0,14.01,0.0,0.0,20.88,0.0,67.63,-0.6709770114942529
2013,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,67.11,64.91,4.53,0.0,0.03,0.49,72.02,-18.63,1.53,0.0,22.54,0.0,0.0,67.49,0.0,327.8,-0.3113053785746036
2014,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,35.38,33.06,4.21,0.0,0.0,0.41,41.44,-29.08,2.15,0.0,32.71,0.0,0.01,37.24,0.0,211.99,-0.8208915145005371
2015,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,111.7,108.8,8.65,0.0,0.0,0.44,123.7,-36.37,6.35,0.0,48.44,0.0,0.0,115.05,0.0,228.8,-0.3658409387222946
2016,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,44.9,40.11,11.0,0.0,0.0,0.36,57.19,-55.08,2.61,0.0,63.21,0.0,0.0,46.18,0.0,192.89,-1.3122563880467737
2017,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,77.08,71.33,7.7,0.0,0.0,0.25,93.35,-59.44,3.0,0.0,62.21,0.0,0.0,85.63,0.0,144.79,-0.6914632722176807
2018,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,32.79,27.62,9.66,2.73,0.0,0.1,53.48,-48.98,4.03,3.09,54.8,9.08,0.66,43.72,0.0,80.76,-1.039341262580055
2019,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,28.32,23.72,11.91,0.0,0.0,0.09,54.01,-55.09,5.03,4.19,64.86,5.12,1.4,38.82,0.0,99.25,-1.553323029366306
2020,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,167.39,161.85,14.51,0.0,0.0,0.0,193.59,-55.37,7.16,5.22,66.83,4.2,0.72,176.99,0.0,701.06,-0.3469687552969094
2021,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,238.11,231.78,13.83,0.0,0.0,0.1,263.64,-59.83,6.92,4.81,71.65,6.92,0.2,246.3,0.0,1179.77,-0.2550548112058465
2022,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,151.54,146.18,13.84,0.0,0.0,0.09,185.62,-66.04,6.56,3.99,75.72000000000001,10.74,0.67,167.26,0.0,589.9,-0.3771373908884373
2023,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,65.44,58.29,17.52,0.0,0.0,0.0,105.01,-84.4,10.55,7.27,99.62,9.46,0.9,85.07,0.0,265.96,-1.031856118490655
2024,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,61.38,51.92,14.29,0.0,0.0,0.0,100.55,-72.61,13.32,10.07,81.76,7.73,1.02,86.15,0.0,91.6,-0.8334300638421357
2012,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,1331.26,285.4,733.91,257.3,0.0,142.9,3689.46,388.96,2610.62,1546.46,1054.54,0.0,217.94,956.14,0.0,,-0.2178760432572637
2013,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,1389.46,292.66,869.75,256.8,0.0,147.38,3683.78,258.3,3635.56,2154.13,1500.37,0.0,195.77,971.09,0.0,,-0.2211020605711108
2014,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,1565.59,245.02,967.16,224.5,0.0,185.78,3767.9,295.87,4152.95,2423.73,1801.0500000000002,0.0,173.48000000000002,1204.6,0.0,,-0.2036443632741162
2015,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,1852.81,447.12,854.96,35.0,0.0,225.18,4094.0,297.28,4629.23,2569.34,1527.33,0.0,0.0,1528.47,0.0,7087.61,0.3484268582307794
2016,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,2170.95,576.96,1034.37,33.0,0.0,246.38,4436.47,468.07,4980.63,2903.03,1977.26,0.0,46.01,1708.37,0.0,6082.16,0.0318022442445137
2017,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,2221.37,581.66,1085.12,30.0,0.0,272.54,4548.38,472.63,5329.47,3118.35,2157.85,0.0,45.81,1764.23,0.0,5576.76,0.0042284736117175
2018,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,2287.63,426.97,1273.84,33.79,124.14,262.06,4757.34,350.4,5738.14,3298.3,2395.96,0.0,47.08,1788.93,0.0,3865.33,-0.0017887787671957
2019,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,2376.56,568.04,3287.82,1670.9,116.38,2743.24,7315.73,1031.7,6156.04,3543.73,2634.01,0.0,54.02,1977.87,0.0,5760.43,-0.0382836081238909
2020,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,2457.09,540.06,2214.25,22.0,251.88,2262.55,7278.23,1704.92,7928.66,4534.13,2859.65,0.0,150.47000000000003,2213.61,0.0,8532.11,0.1736575096787598
2021,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,2899.63,570.29,2692.95,30.23,324.06,2320.02,8639.08,1591.35,8568.38,4592.14,2544.27,0.0,122.75,2620.05,268.68,11771.31,0.4532164653671333
2022,EPR.OL,Europris ASA,Diversified Retail,Consumer Discretionary,3196.36,464.49,2784.65,29.68,291.31,2434.47,9225.26,1247.7,8928.9,4832.78,2742.63,0.0,146.82,2960.52,322.08,11462.41,0.3675958082008164
