PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value,Gamma
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0179020352815978,0.0014918362734664,0.3238046751934081,0.7462688684049619,0.4
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0109223188160305,0.0009101932346692,0.1718622401574261,0.8636403018717604,0.4
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0145254127488302,0.0012104510624025,0.3339898578461542,0.7385784947392686,0.4
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0075768950794537,0.0006314079232878,0.1543445652130262,0.8774236003687779,0.4
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0028325674264942,-0.0002360472855411,-0.1741761498012896,0.861821269778267,0.4
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0029005042854335,-0.0002417086904527,-0.1910744733340995,0.848572049864941,0.4
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0009909375617047,-8.257813014206361e-05,-0.057696499470967,0.9540216971704758,0.4
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0018900334563139,-0.0001575027880261,-0.1275320962500135,0.898589310921819,0.4
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.000250193413645,-2.084945113708589e-05,-0.015316685161021,0.9877879228098728,0.4
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0087124020680341,0.0007260335056695,0.1378385790631478,0.8904421724986513,0.5
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0077551505459915,0.0006462625454992,0.1433276936905699,0.886109409457557,0.5
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0028032441895161,0.0002336036824596,0.0457730366922216,0.9635159782233772,0.5
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0074789827055627,0.0006232485587968,0.173589544107752,0.8622840165588685,0.5
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0015029514639354,0.0001252459553279,0.0312002337771887,0.9751269535510948,0.5
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0027880386854061,-0.0002323365571171,-0.1698071598329299,0.8652536080954263,0.5
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.002949629538875,-0.0002458024615729,-0.1915949136270614,0.8481646255904054,0.5
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.001114550744082,-9.287922867350432e-05,-0.0643337835827006,0.94873938530754,0.5
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.001616291825227,-0.0001346909854355,-0.1072005359655611,0.914688627397244,0.5
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0001463943285324,-1.2199527377704938e-05,-0.0088847309058548,0.9929159709736934,0.5
