FormationYear,Method,mean_quality,median_quality,std_quality,p05_quality,p25_quality,p75_quality,p95_quality,n_firm_years,iqr_quality,p95_p05_spread
2015,Conservative Quality,0.11244727681471442,0.1027003441190808,1.086439221526058,-0.47138896127363483,-0.01184671587696815,0.2404561698983961,0.5054849155374137,376,0.25230288577536425,0.9768738768110485
2015,Latent Quality,0.15531703546450037,0.12776810157033508,0.9231584092271802,-0.2709239239555805,0.0382851361737997,0.2560603495590522,0.5054261233157252,376,0.21777521338525252,0.7763500472713057
2015,Observed Quality,0.15248701704951567,0.12685999813221485,1.0845701046057463,-0.3770640049922125,0.02711251833909185,0.2650214261555623,0.5428322361003372,376,0.23790890781647045,0.9198962410925496
2016,Conservative Quality,-0.00040468894372718385,0.0898724536980819,1.1733164573651118,-0.5844780694612939,-0.034774306495127846,0.21486938380517606,0.46417276325716095,399,0.24964369030030392,1.048650832718455
2016,Latent Quality,0.04762342761298036,0.1121975656218296,1.0611505111835744,-0.30888218261046496,0.0191457457773687,0.22672993795954224,0.45414923045322314,399,0.20758419218217355,0.7630314130636882
2016,Observed Quality,0.0400841944211652,0.1188392632892891,1.169934899305444,-0.47080859561330957,0.014260908025799,0.25225908341321723,0.5177063512652725,399,0.23799817538741824,0.9885149468785821
2017,Conservative Quality,0.08418160716628292,0.1050098701076469,0.7544584818077571,-0.4850164965907468,-0.0263622174002746,0.2455185748875707,0.5335131372645163,429,0.2718807922878453,1.0185296338552632
2017,Latent Quality,0.12508939436282548,0.134855364952576,0.6428742985716728,-0.2581763841737546,0.0136548993708201,0.2652522307121592,0.5306841014905903,429,0.2515973313413391,0.7888604856643449
2017,Observed Quality,0.12180367571394159,0.1359934093947215,0.7515785509961841,-0.3646480482249947,0.0061244979919678,0.2715169452780946,0.5889754826656591,429,0.2653924472861268,0.9536235308906538
2018,Conservative Quality,0.009718203138706905,0.0851323739422028,0.575085442751179,-0.5827997031393152,-0.0380081751816898,0.2214031124778881,0.4817827757846006,443,0.2594112876595779,1.0645824789239158
2018,Latent Quality,0.06039382427192186,0.107549363875481,0.4898416146174469,-0.42214286457307176,0.01228952552880725,0.2362978884501111,0.4752977919066116,443,0.22400836292130386,0.8974406564796833
2018,Observed Quality,0.0506980358023945,0.1108761629931835,0.5664608217695707,-0.5151303596315,0.00453847249683505,0.2530349174864892,0.5270401736648908,443,0.24849644498965415,1.0421705332963906
2019,Conservative Quality,0.023335947764429807,0.0933099755475496,0.9706261076778657,-0.7368586127525888,-0.03441474362006025,0.22527222905459593,0.5250853219372339,478,0.2596869726746562,1.2619439346898227
2019,Latent Quality,0.07192396313644293,0.10753981292665765,0.7401182704348709,-0.4145229928632579,0.013300585181398625,0.24214864230802827,0.5144481656333137,478,0.22884805712662964,0.9289711584965716
2019,Observed Quality,0.0654837325334686,0.1106726536799088,0.9668301192794791,-0.6949444771570402,0.003575770536520875,0.2593579166227964,0.5515198035502978,478,0.25578214608627553,1.246464280707338
2020,Conservative Quality,-0.30871475108506174,0.0956676233764883,5.903076285606298,-0.7940708377782861,-0.021782043228289576,0.222478290432023,0.5172542074922969,502,0.24426033366031258,1.311325045270583
2020,Latent Quality,-0.24653823980306336,0.09451709025892635,5.015025590911043,-0.5061234906145381,-0.01629790060653015,0.2107704686006547,0.4795475073840019,502,0.22706836920718487,0.9856709979985401
2020,Observed Quality,-0.26720923454203865,0.1208822440093868,5.901489267866315,-0.6597760093804512,0.0112079879813446,0.25659222966713796,0.577004135148161,502,0.24538424168579337,1.2367801445286122
2021,Conservative Quality,0.034845361087834655,0.0744879459777318,0.45070753771748423,-0.5389847318717178,-0.0569578168525915,0.2093124902657799,0.48138982142334286,525,0.2662703071183714,1.0203745532950608
2021,Latent Quality,0.08698533977989638,0.0974534408124464,0.36939606215553716,-0.35485611552336616,-0.0037180037921885,0.2218242791402502,0.4749789995222931,525,0.22554228293243872,0.8298351150456593
2021,Observed Quality,0.07684769324426026,0.0996466838003213,0.43913742057818844,-0.4558513530368354,-0.0187377524414141,0.2336865365867997,0.5369049252110843,525,0.2524242890282138,0.9927562782479198
2022,Conservative Quality,0.02133144207039256,0.0890608347909182,0.6947945625086028,-0.551286834563189,-0.03840231878625147,0.23066596976490153,0.4802874507984319,540,0.269068288551153,1.031574285361621
2022,Latent Quality,0.07717798809932531,0.11423892109391834,0.551262449945816,-0.2998714093655056,0.015676468678728624,0.24136052459953425,0.4796045609182313,540,0.22568405592080562,0.7794759702837368
2022,Observed Quality,0.06321902969871686,0.1207506540449097,0.6851904769645641,-0.42489240412444074,0.00797631214151065,0.25496564020007384,0.5472033609901682,540,0.2469893280585632,0.9720957651146089
2023,Conservative Quality,-0.24438652419723197,0.09029585201846226,7.387884927931529,-0.567431595919731,-0.0335604839208178,0.21968825329394948,0.4852781511468222,568,0.25324873721476726,1.0527097470665532
2023,Latent Quality,-0.21328113208989855,0.09374738054982784,7.105271486839881,-0.3596232116171638,-0.016850417257641026,0.21536360866185314,0.45087033856268977,568,0.23221402591949417,0.8104935501798536
2023,Observed Quality,-0.20125305270584762,0.1287151604159481,7.388389903036181,-0.4550372274225897,0.006041506404101425,0.2561798397308243,0.5454563559563539,568,0.25013833332672286,1.0004935833789435
2024,Conservative Quality,0.11771311967639088,0.0747304117144587,1.6721406253624111,-0.44356182816252454,-0.035379056912862805,0.21909280539062298,0.5784419842293475,587,0.2544718623034858,1.022003812391872
2024,Latent Quality,0.16026327321901865,0.1104889300611603,1.3054598724136752,-0.27489967560408,0.023248736857119402,0.23904656966071108,0.5750433978951246,587,0.2157978328035917,0.8499430734992046
2024,Observed Quality,0.16135429518322725,0.1065024556368932,1.6717280686885834,-0.3703353029812498,0.0062773019361545,0.24519064685775616,0.6059187449032246,587,0.23891334492160166,0.9762540478844743
2025,Conservative Quality,0.04552382916705154,0.06063142305770275,0.7600279119558584,-0.49297126103252437,-0.04858214887927835,0.1909124637645201,0.4894852428155097,612,0.23949461264379845,0.9824565038480341
2025,Latent Quality,0.10139942507009468,0.09058000226750071,0.582537671180195,-0.3083236794815791,0.01057514063983325,0.21012194183124033,0.48845629505914173,612,0.19954680119140708,0.7967799745407209
2025,Observed Quality,0.09128858029349661,0.0905701123927164,0.7529415981846236,-0.4025760310795432,-0.001804589841802825,0.21899556602674536,0.5328860521280009,612,0.22080015586854818,0.9354620832075441
