Method,Portfolio,FactorModel,alpha,t_stat,p_value,r_squared,n_obs
Method2_LatentQuality,Q3,FF5,0.00432759614693803,1.8735684217517268,0.06315180501752682,0.5267063791569344,141.0
Method2_LatentQuality,Q3,FF5_MOM,0.0027078570996274497,1.1631210104683698,0.2468474819592763,0.5345342213602304,141.0
Method2_LatentQuality,Q4,CAPM,-0.0008394409562546934,-0.3933535931542088,0.6946610145392427,0.6251156687809563,141.0
Method2_LatentQuality,Q4,FF3,-0.0009210294517273339,-0.44547392530745294,0.6566804317778234,0.6301538598618464,141.0
Method2_LatentQuality,Q4,Carhart,-0.0011029637622962394,-0.5055733714727791,0.6139745960015839,0.6302548628578262,141.0
Method2_LatentQuality,Q4,FF5,-0.0010347583481835386,-0.5007124261636956,0.6173888858004704,0.6313464708240897,141.0
Method2_LatentQuality,Q4,FF5_MOM,-0.0011466501964436675,-0.5252317020255688,0.6002901127718621,0.631384100501443,141.0
Method2_LatentQuality,Q5,CAPM,0.002947825423380266,1.1227784734534914,0.26346718646291767,0.4675192820033969,141.0
Method2_LatentQuality,Q5,FF3,0.002989876375930617,1.5214189450408249,0.13045948175502198,0.5839377280259898,141.0
Method2_LatentQuality,Q5,Carhart,0.0014461209163361146,0.6196654698153785,0.5365148411805047,0.5909447020483033,141.0
Method2_LatentQuality,Q5,FF5,0.002411069707193139,1.1377703149167386,0.2572316646633779,0.6124766265577531,141.0
Method2_LatentQuality,Q5,FF5_MOM,0.0012585681944265732,0.526157346711452,0.5996486390432949,0.6163232977440813,141.0
Method3_ConservativeQuality,Q1,CAPM,0.0026520454488278026,1.2513753860661185,0.21289950326241458,0.5417948736781434,141.0
Method3_ConservativeQuality,Q1,FF3,0.0026237667424034335,1.2425101013125803,0.21617096519759116,0.5435758933536063,141.0
Method3_ConservativeQuality,Q1,Carhart,0.004727055323046146,2.165091579225064,0.03212562081878545,0.5539285109210528,141.0
Method3_ConservativeQuality,Q1,FF5,0.004101028712016192,1.8716014526574034,0.06342573741265811,0.6876933302766162,141.0
Method3_ConservativeQuality,Q1,FF5_MOM,0.004608951582390542,2.296494363907927,0.023198960371808797,0.6882880009778753,141.0
Method3_ConservativeQuality,Q2,CAPM,0.0010796518484603602,0.5395535209269283,0.590368245556397,0.5170058530843962,141.0
Method3_ConservativeQuality,Q2,FF3,0.0009953593661966174,0.5070513856732611,0.6129339490743482,0.5350962154695418,141.0
Method3_ConservativeQuality,Q2,Carhart,0.0022685719198559237,0.9965343950374389,0.3207603280895679,0.53924144712153,141.0
Method3_ConservativeQuality,Q2,FF5,0.0013035484075622935,0.6974925730508267,0.48669407807511766,0.5574394469034789,141.0
Method3_ConservativeQuality,Q2,FF5_MOM,0.001750466892705884,0.8356153866416686,0.40485879179660555,0.5579425212589268,141.0
Method3_ConservativeQuality,Q3,CAPM,0.004875804861145398,1.7739493146539476,0.07826102860668915,0.48937717818131576,141.0
Method3_ConservativeQuality,Q3,FF3,0.004704141371033901,1.9755086872927936,0.05022004531862878,0.5124646300427336,141.0
Method3_ConservativeQuality,Q3,Carhart,0.0031499709909792034,1.2523929018112667,0.21257609942542355,0.5203952026580482,141.0
Method3_ConservativeQuality,Q3,FF5,0.004713296980594658,1.9816809433092861,0.049546231166995414,0.5135212959375959,141.0
Method3_ConservativeQuality,Q3,FF5_MOM,0.0031987668752950665,1.387813005228293,0.16749733558070523,0.5209393786821614,141.0
Method3_ConservativeQuality,Q4,CAPM,-0.0002127281858020959,-0.10019487796008783,0.9203339807366158,0.6133783223489719,141.0
Method3_ConservativeQuality,Q4,FF3,-0.0002560405339741425,-0.12009984079855188,0.9045800069185312,0.6190466220573179,141.0
Method3_ConservativeQuality,Q4,Carhart,-0.0007440915853627188,-0.3464087168879442,0.7295709370929206,0.6197722739690816,141.0
Method3_ConservativeQuality,Q4,FF5,-0.00045298003922389737,-0.20949921368762459,0.8343743650186921,0.6241734284151618,141.0
Method3_ConservativeQuality,Q4,FF5_MOM,-0.0009398329408231681,-0.44074485285926096,0.6601079495129438,0.6248846778357127,141.0
Method3_ConservativeQuality,Q5,CAPM,0.0028088166533120707,1.0664074040693003,0.28808827449632846,0.47532020111330386,141.0
Method3_ConservativeQuality,Q5,FF3,0.002825712775874163,1.4207115167457873,0.15767263227104644,0.5895405854825679,141.0
Method3_ConservativeQuality,Q5,Carhart,0.001351734879006402,0.5811475466610088,0.562102898090981,0.5961264154320887,141.0
Method3_ConservativeQuality,Q5,FF5,0.002253495381258679,1.040771686177163,0.2998418645375156,0.6175678396411843,141.0
Method3_ConservativeQuality,Q5,FF5_MOM,0.0012349022011626791,0.5127419303369972,0.6089760542074574,0.6206656773396633,141.0
Method4_ProbabilisticQuality,Q1,CAPM,0.0029167425495626805,1.3428972918355961,0.18149395875398278,0.5160574218072543,141.0
Method4_ProbabilisticQuality,Q1,FF3,0.002909310084659121,1.3372257874130695,0.18336495647628848,0.5164837005286071,141.0
Method4_ProbabilisticQuality,Q1,Carhart,0.004886583351676828,2.115287200228343,0.0362288852238426,0.5258379451477806,141.0
Method4_ProbabilisticQuality,Q1,FF5,0.004412315509964728,2.045238067053892,0.042774008208726455,0.6693895910853891,141.0
Method4_ProbabilisticQuality,Q1,FF5_MOM,0.004733800911826754,2.364497566539506,0.01948972631957524,0.6696331625510216,141.0
Method4_ProbabilisticQuality,Q5,CAPM,0.003375006853950558,1.2064377980436225,0.22969805298514911,0.44942730555685717,141.0
Method4_ProbabilisticQuality,Q5,FF3,0.0033701724686136894,1.5687690795324156,0.11900858439921369,0.5732794983719742,141.0
Method4_ProbabilisticQuality,Q5,Carhart,0.0015957064262309283,0.6643608122002039,0.5075842544231381,0.5826963902219018,141.0
Method4_ProbabilisticQuality,Q5,FF5,0.002754590926755156,1.186863922412394,0.23736564638572277,0.6050069510542748,141.0
Method4_ProbabilisticQuality,Q5,FF5_MOM,0.0015310835739995039,0.601692266321292,0.5483956362273812,0.6094167006210724,141.0
