,baseline,sigma0_quarter,sigma0_half,sigma0_double,sigma0_4x,sigma0_8x,omega_half,tau_half,omega_double,tau_double,omega_4x,tau_4x,mu0_half,mu0_double,nu_quarter,nu_half,nu_double,nu_4x,betas_half,betas_3x,betas_10x,all_variance_2x,all_variance_half,sigma0_2x_nu_loose,stress_max,stress_min
omega_4x,0.9999331756660517,0.9999079377295298,0.9999431380094155,0.9999350659568438,0.9999347083342615,0.9999285776614222,0.9999327158655886,0.9999356279351873,0.9999404302955781,0.9999338909112162,1.0,0.9999292929065867,0.9999399704951152,0.9999336354665146,0.9999266362816897,0.9999325115098273,0.9999164184936242,0.9998435656647172,0.9999213230318956,0.9999339930890969,0.9999407879181604,0.9999355257573067,0.9999374671370391,0.999933226754992,0.9999316429978418,0.9999352703126051
tau_4x,0.9999224469885829,0.9998986906313305,0.9999287309282431,0.9999358322909486,0.9999201479862682,0.9999272493489736,0.9999214252097763,0.9999292929065867,0.9999345550674404,0.9999284243946012,0.9999292929065867,1.0,0.9999321027983048,0.9999290885508254,0.9999189729406406,0.9999236731231507,0.9999172870056098,0.9998492876260339,0.9999161119599822,0.9999275558826156,0.9999350148679034,0.9999310810194982,0.9999252057913606,0.9999180533397147,0.9999358322909486,0.9999298548849304
mu0_half,0.9999275558826156,0.9999012961672873,0.9999387443605473,0.9999411455407428,0.9999317451757225,0.9999281178609593,0.9999395617835926,0.9999314386420805,0.9999339420001565,0.9999337887333356,0.9999399704951152,0.9999321027983048,1.0,0.9999342485337985,0.9999235198563298,0.9999282200388399,0.9999191772964019,0.9998509224721244,0.9999138640466079,0.999926380836988,0.9999447217665657,0.9999311831973788,0.999930110329632,0.9999248481687782,0.999926993904272,0.9999394085167715
mu0_double,0.9999203523420295,0.9999084997078734,0.999941809696967,0.9999338909112162,0.9999294461734077,0.9999184109622969,0.9999424227642509,0.9999282711277802,0.9999355257573067,0.9999402770287571,0.9999336354665146,0.9999290885508254,0.9999342485337985,1.0,0.9999356790241277,0.9999266873706301,0.9999050256599312,0.9998317641195015,0.9999244394572556,0.9999251547024202,0.9999329202213499,0.9999234176784491,0.9999337887333356,0.9999278113273172,0.9999361388245906,0.9999337887333356
nu_quarter,0.9999149369143547,0.9999052811046328,0.9999279645941382,0.9999205056088504,0.999920914320373,0.999915601070579,0.999920761053552,0.9999243883683153,0.999923877478912,0.9999193305632229,0.9999266362816897,0.9999189729406406,0.9999235198563298,0.9999356790241277,1.0,0.9999227024332845,0.9998820867257241,0.9997829741814888,0.9999054343714537,0.999926840637451,0.999927147171093,0.999912791178861,0.9999254612360622,0.9999315408199612,0.9999272493489736,0.9999347594232018
nu_half,0.9999230600558667,0.9999104410876059,0.999930263596453,0.9999361388245906,0.9999191772964019,0.9999244394572556,0.9999275558826156,0.9999245927240766,0.9999277091494366,0.9999261253922864,0.9999325115098273,0.9999236731231507,0.9999282200388399,0.9999266873706301,0.9999227024332845,1.0,0.9999002743884807,0.9998218017761377,0.9999237242120911,0.9999289863729448,0.9999269428153317,0.9999195860079245,0.9999354746683664,0.9999315919089015,0.9999284754835415,0.9999312853752595
nu_double,0.9999070692175442,0.999868343800776,0.9999138640466079,0.9999189218517003,0.9999146303807127,0.9999193305632229,0.9999111052438301,0.9999109519770092,0.9999178489839534,0.9999217317434183,0.9999164184936242,0.9999172870056098,0.9999191772964019,0.9999050256599312,0.9998820867257241,0.9999002743884807,1.0,0.9998942969824623,0.9998940415377607,0.9999086529746944,0.9999167250272661,0.9999172359166695,0.9999079377295298,0.9998932241147155,0.9999197392747455,0.9999107987101882
nu_4x,0.9998342674775775,0.9997749532178574,0.999835749056847,0.99985337474126,0.9998377415255199,0.9998414710181638,0.999839785083133,0.9998436678425978,0.9998417775518057,0.9998579216569492,0.9998435656647172,0.9998492876260339,0.9998509224721244,0.9998317641195015,0.9997829741814888,0.9998218017761377,0.9998942969824623,1.0,0.999818889706539,0.9998402959725362,0.9998490832702726,0.9998524040513939,0.9998345229222793,0.9998062196493378,0.9998434123978962,0.9998300270955304
betas_half,0.9999186153180583,0.999909674753501,0.9999256145028832,0.9999153967148177,0.9999162141378629,0.9999106965323076,0.9999306723079756,0.9999248992577185,0.9999216295655377,0.9999245927240766,0.9999213230318956,0.9999161119599822,0.9999138640466079,0.9999244394572556,0.9999054343714537,0.9999237242120911,0.9998940415377607,0.999818889706539,1.0,0.999921833921299,0.9999116161332334,0.9999117694000544,0.9999202501641488,0.9999264319259283,0.9999173380945501,0.9999248481687782
betas_3x,0.9999237753010314,0.9999084486189331,0.9999338909112162,0.9999325625987677,0.9999228557001054,0.9999215273876569,0.9999211186761343,0.9999291907287061,0.9999281689498996,0.9999279645941382,0.9999339930890969,0.9999275558826156,0.999926380836988,0.9999251547024202,0.999926840637451,0.9999289863729448,0.9999086529746944,0.9998402959725362,0.999921833921299,1.0,0.9999353724904857,0.9999246949019572,0.9999439043435204,0.9999272493489736,0.9999309788416175,0.9999337376443952
betas_10x,0.9999355257573067,0.999894092626701,0.9999347594232018,0.9999459479011334,0.9999271982600333,0.9999343507116791,0.9999267384595704,0.9999318473536031,0.9999388976273683,0.9999335843775743,0.9999407879181604,0.9999350148679034,0.9999447217665657,0.9999329202213499,0.999927147171093,0.9999269428153317,0.9999167250272661,0.9998490832702726,0.9999116161332334,0.9999353724904857,1.0,0.9999376714928004,0.9999312342863191,0.9999341974448581,0.9999372627812778,0.9999342485337985
all_variance_2x,0.999924337279375,0.9998963916290158,0.9999303146853933,0.9999305190411546,0.9999233665895088,0.9999300592406917,0.9999304679522143,0.9999267895485107,0.9999391530720699,0.9999279135051979,0.9999355257573067,0.9999310810194982,0.9999311831973788,0.9999234176784491,0.999912791178861,0.9999195860079245,0.9999172359166695,0.9998524040513939,0.9999117694000544,0.9999246949019572,0.9999376714928004,1.0,0.9999304168632739,0.9999143238470708,0.9999291907287061,0.9999275558826156
all_variance_half,0.9999291907287061,0.9999310810194982,0.9999537645090036,0.9999300081517514,0.9999230089669264,0.9999239796567927,0.9999374671370391,0.9999290885508254,0.9999297016181093,0.9999328691324096,0.9999374671370391,0.9999252057913606,0.999930110329632,0.9999337887333356,0.9999254612360622,0.9999354746683664,0.9999079377295298,0.9998345229222793,0.9999202501641488,0.9999439043435204,0.9999312342863191,0.9999304168632739,1.0,0.9999245416351362,0.9999329202213499,0.99994696967994
sigma0_2x_nu_loose,0.9999194327411035,0.9999040038811247,0.9999282200388399,0.9999260232144058,0.9999261253922864,0.999918257695476,0.9999257677697041,0.9999251547024202,0.9999270449932123,0.9999209654093133,0.999933226754992,0.9999180533397147,0.9999248481687782,0.9999278113273172,0.9999315408199612,0.9999315919089015,0.9998932241147155,0.9998062196493378,0.9999264319259283,0.9999272493489736,0.9999341974448581,0.9999143238470708,0.9999245416351362,1.0,0.9999228557001054,0.9999334821996936
stress_max,0.9999242351014943,0.9999052300156924,0.9999382845600844,0.9999400726729958,0.9999280667720188,0.9999255123250025,0.999930263596453,0.9999289863729448,0.9999355257573067,0.9999344018006194,0.9999316429978418,0.9999358322909486,0.999926993904272,0.9999361388245906,0.9999272493489736,0.9999284754835415,0.9999197392747455,0.9998434123978962,0.9999173380945501,0.9999309788416175,0.9999372627812778,0.9999291907287061,0.9999329202213499,0.9999228557001054,1.0,0.9999306723079756
stress_min,0.9999278624162575,0.9999316940867822,0.9999542243094666,0.9999281689498996,0.9999261764812267,0.9999260743033461,0.9999406346513394,0.9999274026157946,0.9999381823822037,0.999938386737965,0.9999352703126051,0.9999298548849304,0.9999394085167715,0.9999337887333356,0.9999347594232018,0.9999312853752595,0.9999107987101882,0.9998300270955304,0.9999248481687782,0.9999337376443952,0.9999342485337985,0.9999275558826156,0.99994696967994,0.9999334821996936,0.9999306723079756,1.0
