FormationYear,ComparisonMethod,ComparisonMethodLabel,ObservedPortfolio,ComparisonPortfolio,n_firm_years,n_unique_firms,share_of_observed_tail
2015,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2016,Method2_LatentQuality,Latent Quality,Q1,Q1,73,73,0.9125
2016,Method2_LatentQuality,Latent Quality,Q1,Q2,7,7,0.0875
2016,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2016,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2016,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2016,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q1,Q1,75,75,0.872093023255814
2017,Method2_LatentQuality,Latent Quality,Q1,Q2,11,11,0.12790697674418605
2017,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2018,Method2_LatentQuality,Latent Quality,Q1,Q1,82,82,0.9213483146067416
2018,Method2_LatentQuality,Latent Quality,Q1,Q2,7,7,0.07865168539325842
2018,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2018,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2018,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2018,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2019,Method2_LatentQuality,Latent Quality,Q1,Q1,89,89,0.9270833333333334
2019,Method2_LatentQuality,Latent Quality,Q1,Q2,7,7,0.07291666666666667
2019,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2019,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2019,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2019,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2020,Method2_LatentQuality,Latent Quality,Q1,Q1,90,90,0.8910891089108911
2020,Method2_LatentQuality,Latent Quality,Q1,Q2,11,11,0.10891089108910891
2020,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2020,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2020,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2020,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q1,Q1,96,96,0.9142857142857143
2021,Method2_LatentQuality,Latent Quality,Q1,Q2,9,9,0.08571428571428572
2021,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2022,Method2_LatentQuality,Latent Quality,Q1,Q1,97,97,0.8981481481481481
2022,Method2_LatentQuality,Latent Quality,Q1,Q2,11,11,0.10185185185185185
2022,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2022,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2022,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2022,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2023,Method2_LatentQuality,Latent Quality,Q1,Q1,102,102,0.8947368421052632
2023,Method2_LatentQuality,Latent Quality,Q1,Q2,12,12,0.10526315789473684
2023,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2023,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2023,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2023,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2024,Method2_LatentQuality,Latent Quality,Q1,Q1,100,100,0.847457627118644
2024,Method2_LatentQuality,Latent Quality,Q1,Q2,14,14,0.11864406779661017
2024,Method2_LatentQuality,Latent Quality,Q1,Q3,4,4,0.03389830508474576
2024,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2024,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2024,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2025,Method2_LatentQuality,Latent Quality,Q1,Q1,107,107,0.8699186991869918
2025,Method2_LatentQuality,Latent Quality,Q1,Q2,13,13,0.10569105691056911
2025,Method2_LatentQuality,Latent Quality,Q1,Q3,3,3,0.024390243902439025
2025,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2025,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2025,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2010,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2010,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2010,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2010,Method2_LatentQuality,Latent Quality,Q5,Q4,6,6,0.09523809523809523
2010,Method2_LatentQuality,Latent Quality,Q5,Q5,57,57,0.9047619047619048
2010,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q5,Q4,8,8,0.12307692307692308
2011,Method2_LatentQuality,Latent Quality,Q5,Q5,57,57,0.8769230769230769
2011,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q5,Q4,6,6,0.08823529411764706
2012,Method2_LatentQuality,Latent Quality,Q5,Q5,62,62,0.9117647058823529
2012,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q5,Q4,4,4,0.05714285714285714
2013,Method2_LatentQuality,Latent Quality,Q5,Q5,66,66,0.9428571428571428
2013,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2014,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2014,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2014,Method2_LatentQuality,Latent Quality,Q5,Q3,1,1,0.0136986301369863
2014,Method2_LatentQuality,Latent Quality,Q5,Q4,6,6,0.0821917808219178
2014,Method2_LatentQuality,Latent Quality,Q5,Q5,66,66,0.9041095890410958
2014,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2015,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2015,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2015,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2015,Method2_LatentQuality,Latent Quality,Q5,Q4,6,6,0.08
2015,Method2_LatentQuality,Latent Quality,Q5,Q5,69,69,0.92
2015,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2016,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2016,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2016,Method2_LatentQuality,Latent Quality,Q5,Q3,1,1,0.0125
2016,Method2_LatentQuality,Latent Quality,Q5,Q4,6,6,0.075
2016,Method2_LatentQuality,Latent Quality,Q5,Q5,73,73,0.9125
2016,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2017,Method2_LatentQuality,Latent Quality,Q5,Q4,10,10,0.11627906976744186
2017,Method2_LatentQuality,Latent Quality,Q5,Q5,76,76,0.8837209302325582
2017,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2018,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2018,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2018,Method2_LatentQuality,Latent Quality,Q5,Q3,1,1,0.011235955056179775
2018,Method2_LatentQuality,Latent Quality,Q5,Q4,10,10,0.11235955056179775
2018,Method2_LatentQuality,Latent Quality,Q5,Q5,78,78,0.8764044943820225
2018,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2019,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2019,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2019,Method2_LatentQuality,Latent Quality,Q5,Q3,1,1,0.010416666666666666
2019,Method2_LatentQuality,Latent Quality,Q5,Q4,13,13,0.13541666666666666
2019,Method2_LatentQuality,Latent Quality,Q5,Q5,82,82,0.8541666666666666
2019,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2020,Method2_LatentQuality,Latent Quality,Q5,Q1,1,1,0.009900990099009901
2020,Method2_LatentQuality,Latent Quality,Q5,Q2,2,2,0.019801980198019802
2020,Method2_LatentQuality,Latent Quality,Q5,Q3,5,5,0.04950495049504951
2020,Method2_LatentQuality,Latent Quality,Q5,Q4,12,12,0.1188118811881188
2020,Method2_LatentQuality,Latent Quality,Q5,Q5,81,81,0.801980198019802
2020,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2021,Method2_LatentQuality,Latent Quality,Q5,Q4,9,9,0.08571428571428572
2021,Method2_LatentQuality,Latent Quality,Q5,Q5,96,96,0.9142857142857143
2021,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2022,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2022,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2022,Method2_LatentQuality,Latent Quality,Q5,Q3,1,1,0.009259259259259259
2022,Method2_LatentQuality,Latent Quality,Q5,Q4,7,7,0.06481481481481481
2022,Method2_LatentQuality,Latent Quality,Q5,Q5,100,100,0.9259259259259259
2022,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2023,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2023,Method2_LatentQuality,Latent Quality,Q5,Q2,4,4,0.03508771929824561
2023,Method2_LatentQuality,Latent Quality,Q5,Q3,4,4,0.03508771929824561
2023,Method2_LatentQuality,Latent Quality,Q5,Q4,16,16,0.14035087719298245
2023,Method2_LatentQuality,Latent Quality,Q5,Q5,90,90,0.7894736842105263
2023,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2024,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2024,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2024,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2024,Method2_LatentQuality,Latent Quality,Q5,Q4,13,13,0.11016949152542373
2024,Method2_LatentQuality,Latent Quality,Q5,Q5,105,105,0.8898305084745762
2024,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2025,Method2_LatentQuality,Latent Quality,Q5,Q1,0,0,0.0
2025,Method2_LatentQuality,Latent Quality,Q5,Q2,0,0,0.0
2025,Method2_LatentQuality,Latent Quality,Q5,Q3,0,0,0.0
2025,Method2_LatentQuality,Latent Quality,Q5,Q4,5,5,0.04065040650406504
2025,Method2_LatentQuality,Latent Quality,Q5,Q5,118,118,0.959349593495935
2025,Method2_LatentQuality,Latent Quality,Q5,Not assigned,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,62,62,0.9841269841269841
2010,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,1,1,0.015873015873015872
2010,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,63,63,0.9692307692307692
2011,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,2,2,0.03076923076923077
2011,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,66,66,0.9705882352941176
2012,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,2,2,0.029411764705882353
2012,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,67,67,0.9436619718309859
2013,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,4,4,0.056338028169014086
2013,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,72,72,0.9863013698630136
2014,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,1,1,0.0136986301369863
2014,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,72,72,0.9473684210526315
2015,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,4,4,0.05263157894736842
2015,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,79,79,0.9875
2016,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,1,1,0.0125
2016,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,83,83,0.9651162790697675
2017,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,3,3,0.03488372093023256
2017,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,86,86,0.9662921348314607
2018,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,3,3,0.033707865168539325
2018,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,91,91,0.9479166666666666
2019,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,5,5,0.052083333333333336
2019,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,98,98,0.9702970297029703
2020,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,3,3,0.0297029702970297
2020,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2020,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,100,100,0.9523809523809523
2021,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,5,5,0.047619047619047616
2021,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2021,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,105,105,0.9722222222222222
2022,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,3,3,0.027777777777777776
2022,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2022,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,109,109,0.956140350877193
2023,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,5,5,0.043859649122807015
2023,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2023,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,113,113,0.9576271186440678
2024,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,5,5,0.0423728813559322
2024,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2024,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q1,Q1,117,117,0.9512195121951219
2025,Method3_ConservativeQuality,Conservative Quality,Q1,Q2,6,6,0.04878048780487805
2025,Method3_ConservativeQuality,Conservative Quality,Q1,Q3,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q1,Q4,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q1,Q5,0,0,0.0
2025,Method3_ConservativeQuality,Conservative Quality,Q1,Not assigned,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2010,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,4,4,0.06349206349206349
2010,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,59,59,0.9365079365079365
2010,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2011,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,2,2,0.03076923076923077
2011,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,63,63,0.9692307692307692
2011,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,2,2,0.029411764705882353
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,66,66,0.9705882352941176
2012,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,0,0,0.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,70,70,1.0
2013,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,2,2,0.0273972602739726
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,71,71,0.9726027397260274
2014,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,1,1,0.013333333333333334
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,74,74,0.9866666666666667
2015,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,3,3,0.0375
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,77,77,0.9625
2016,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,5,5,0.05813953488372093
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,81,81,0.9418604651162791
2017,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q2,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q3,0,0,0.0
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q4,4,4,0.0449438202247191
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Q5,85,85,0.9550561797752809
2018,Method3_ConservativeQuality,Conservative Quality,Q5,Not assigned,0,0,0.0
2019,Method3_ConservativeQuality,Conservative Quality,Q5,Q1,0,0,0.0
