Ticker,FiscalYear,PeriodEndDate,AnnouncementDate
ABB.ST,2025,2025-12-31,2026-01-29
ABL.OL,2014,2014-12-31,2015-02-25
ABL.OL,2015,2015-12-31,2016-02-18
ABL.OL,2016,2016-12-31,2017-02-17
ABL.OL,2017,2017-12-31,2018-02-27
ABL.OL,2020,2020-12-31,2021-02-25
ABL.OL,2021,2021-12-31,2022-02-25
ABL.OL,2022,2022-12-31,2023-02-28
ABL.OL,2023,2023-12-31,2024-02-22
ABL.OL,2024,2024-12-31,2025-02-26
ABL.OL,2025,2025-12-31,2026-02-26
ACADE.ST,2016,2016-06-30,2016-08-30
ACADE.ST,2017,2017-06-30,2017-08-30
ACADE.ST,2018,2018-06-30,2018-08-29
ACADE.ST,2019,2019-06-30,2019-08-29
ACADE.ST,2020,2020-06-30,2020-08-28
ACADE.ST,2021,2021-06-30,2021-08-31
ACADE.ST,2022,2022-06-30,2022-08-30
ACADE.ST,2023,2023-06-30,2023-08-30
ACADE.ST,2024,2024-06-30,2024-08-28
ACADE.ST,2025,2025-06-30,2025-08-29
ACAST.ST,2021,2021-12-31,2022-02-11
ACAST.ST,2022,2022-12-31,2023-02-15
ACAST.ST,2023,2023-12-31,2024-02-12
ACAST.ST,2024,2024-12-31,2025-02-12
ACAST.ST,2025,2025-12-31,2026-02-11
ACELP.ST,2022,2022-12-31,2023-02-10
ACELP.ST,2023,2023-12-31,2024-02-09
ACELP.ST,2024,2024-12-31,2025-02-07
ACELP.ST,2025,2025-12-31,2026-02-05
ACG1V.HE,2014,2014-12-31,2015-02-26
ACG1V.HE,2015,2015-12-31,2016-02-25
ACG1V.HE,2016,2016-12-31,2017-02-14
ACG1V.HE,2017,2017-12-31,2018-02-15
ACG1V.HE,2018,2018-12-31,2019-02-28
ACG1V.HE,2019,2019-12-31,2020-03-10
ACG1V.HE,2020,2020-12-31,2021-03-10
ACG1V.HE,2021,2021-12-31,2022-03-10
ACG1V.HE,2022,2022-12-31,2023-03-16
ACG1V.HE,2023,2023-12-31,2024-03-14
ACG1V.HE,2024,2024-12-31,2025-02-26
ACG1V.HE,2025,2025-12-31,2026-02-25
ACTI.ST,2011,2011-12-31,2012-02-16
ACTI.ST,2012,2012-12-31,2013-02-14
ACTI.ST,2013,2013-12-31,2014-02-13
ACTI.ST,2014,2014-12-31,2015-02-11
ACTI.ST,2015,2015-12-31,2016-02-18
ACTI.ST,2020,2020-12-31,2021-02-11
ACTI.ST,2021,2021-12-31,2022-02-10
ACTI.ST,2022,2022-12-31,2023-02-09
ACTI.ST,2023,2023-12-31,2024-02-08
ACTI.ST,2024,2024-12-31,2025-02-13
ACTI.ST,2025,2025-12-31,2026-02-12
ADDTb.ST,2011,2011-03-31,2011-05-17
ADDTb.ST,2012,2012-03-31,2012-05-09
ADDTb.ST,2013,2013-03-31,2013-05-14
ADDTb.ST,2014,2014-03-31,2014-05-14
ADDTb.ST,2015,2015-03-31,2015-05-13
ADDTb.ST,2016,2016-03-31,2016-05-12
ADDTb.ST,2017,2017-03-31,2017-05-11
ADDTb.ST,2018,2018-03-31,2018-05-15
ADDTb.ST,2019,2019-03-31,2019-05-15
ADDTb.ST,2020,2020-03-31,2020-05-13
ADDTb.ST,2021,2021-03-31,2021-05-18
ADDTb.ST,2022,2022-03-31,2022-05-17
ADDTb.ST,2023,2023-03-31,2023-05-17
ADDTb.ST,2024,2024-03-31,2024-05-16
ADDTb.ST,2025,2025-03-31,2025-05-15
AFGA.OL,2011,2011-12-31,2012-02-15
AFGA.OL,2012,2012-12-31,2013-02-15
AFGA.OL,2013,2013-12-31,2014-02-14
AFGA.OL,2014,2014-12-31,2015-02-13
AFGA.OL,2015,2015-12-31,2016-02-11
AFGA.OL,2016,2016-12-31,2017-02-14
AFGA.OL,2017,2017-12-31,2018-02-16
AFGA.OL,2018,2018-12-31,2019-02-15
AFGA.OL,2019,2019-12-31,2020-02-14
AFGA.OL,2020,2020-12-31,2021-02-12
AFGA.OL,2021,2021-12-31,2022-02-11
AFGA.OL,2022,2022-12-31,2023-02-10
AFGA.OL,2023,2023-12-31,2024-02-15
AFGA.OL,2024,2024-12-31,2025-02-14
AFGA.OL,2025,2025-12-31,2026-02-13
AFK.OL,2021,2021-12-31,2022-02-09
AFK.OL,2022,2022-12-31,2023-02-10
AFK.OL,2024,2024-12-31,2025-02-14
AFK.OL,2025,2025-12-31,2026-02-13
AFRY.ST,2011,2011-12-31,2012-02-13
AFRY.ST,2012,2012-12-31,2013-02-05
AFRY.ST,2013,2013-12-31,2014-02-11
AFRY.ST,2014,2014-12-31,2015-02-10
AFRY.ST,2015,2015-12-31,2016-02-08
AFRY.ST,2016,2016-12-31,2017-02-03
AFRY.ST,2017,2017-12-31,2018-02-08
AFRY.ST,2018,2018-12-31,2019-02-07
AFRY.ST,2019,2019-12-31,2020-02-07
AFRY.ST,2020,2020-12-31,2021-02-05
AFRY.ST,2021,2021-12-31,2022-02-04
AFRY.ST,2022,2022-12-31,2023-02-10
AFRY.ST,2023,2023-12-31,2024-02-02
AFRY.ST,2024,2024-12-31,2025-02-07
AFRY.ST,2025,2025-12-31,2026-02-05
AKAST.OL,2011,2011-12-31,2012-02-17
AKAST.OL,2012,2012-12-31,2013-02-15
AKAST.OL,2013,2013-12-31,2014-02-13
AKAST.OL,2014,2014-12-31,2015-02-10
AKAST.OL,2015,2015-12-31,2016-02-17
AKAST.OL,2016,2016-12-31,2017-02-16
AKAST.OL,2017,2017-12-31,2018-02-13
AKAST.OL,2018,2018-12-31,2019-02-13
AKAST.OL,2019,2019-12-31,2020-02-13
AKAST.OL,2020,2020-12-31,2021-02-11
AKAST.OL,2021,2021-12-31,2022-02-09
AKAST.OL,2022,2022-12-31,2023-02-15
AKAST.OL,2023,2023-12-31,2024-02-14
AKAST.OL,2024,2024-12-31,2025-02-13
AKAST.OL,2025,2025-12-31,2026-02-12
AKBM.OL,2020,2020-12-31,2021-02-16
AKBM.OL,2021,2021-12-31,2022-02-17
AKBM.OL,2022,2022-12-31,2023-02-15
AKBM.OL,2023,2023-12-31,2024-02-14
AKBM.OL,2024,2024-12-31,2025-02-12
AKBM.OL,2025,2025-12-31,2026-02-12
AKH.OL,2020,2020-12-31,2021-02-02
AKH.OL,2021,2021-12-31,2022-02-15
AKH.OL,2022,2022-12-31,2023-02-16
AKH.OL,2023,2023-12-31,2024-02-15
AKRBP.OL,2011,2011-12-31,2012-02-17
AKRBP.OL,2012,2012-12-31,2013-02-15
AKRBP.OL,2013,2013-12-31,2014-02-19
AKRBP.OL,2014,2014-12-31,2015-02-25
AKRBP.OL,2015,2015-12-31,2016-02-17
AKRBP.OL,2016,2016-12-31,2017-02-06
AKRBP.OL,2017,2017-12-31,2018-02-01
AKRBP.OL,2018,2018-12-31,2019-02-06
AKRBP.OL,2019,2019-12-31,2020-02-11
AKRBP.OL,2020,2020-12-31,2021-02-04
AKRBP.OL,2021,2021-12-31,2022-02-11
AKRBP.OL,2022,2022-12-31,2023-02-10
AKRBP.OL,2023,2023-12-31,2024-02-08
AKRBP.OL,2024,2024-12-31,2025-02-12
AKRBP.OL,2025,2025-12-31,2026-02-11
AKSOA.OL,2014,2014-12-31,2015-02-13
AKSOA.OL,2015,2015-12-31,2016-02-12
AKSOA.OL,2016,2016-12-31,2017-02-09
AKSOA.OL,2017,2017-12-31,2018-02-07
AKSOA.OL,2018,2018-12-31,2019-02-08
AKSOA.OL,2019,2019-12-31,2020-02-07
AKSOA.OL,2020,2020-12-31,2021-02-15
AKSOA.OL,2021,2021-12-31,2022-02-08
AKSOA.OL,2022,2022-12-31,2023-02-08
AKSOA.OL,2023,2023-12-31,2024-02-08
AKSOA.OL,2024,2024-12-31,2025-02-11
AKSOA.OL,2025,2025-12-31,2026-02-06
AKVA.OL,2011,2011-12-31,2012-02-15
AKVA.OL,2012,2012-12-31,2013-02-27
AKVA.OL,2013,2013-12-31,2014-02-21
AKVA.OL,2014,2014-12-31,2015-02-20
AKVA.OL,2015,2015-12-31,2016-02-19
AKVA.OL,2016,2016-12-31,2017-02-22
AKVA.OL,2017,2017-12-31,2018-03-01
AKVA.OL,2018,2018-12-31,2019-02-15
AKVA.OL,2019,2019-12-31,2020-02-14
AKVA.OL,2020,2020-12-31,2021-03-12
AKVA.OL,2021,2021-12-31,2022-02-11
AKVA.OL,2022,2022-12-31,2023-02-10
AKVA.OL,2023,2023-12-31,2024-02-16
AKVA.OL,2024,2024-12-31,2025-02-14
AKVA.OL,2025,2025-12-31,2026-02-13
ALFA.ST,2011,2011-12-31,2012-02-07
ALFA.ST,2012,2012-12-31,2013-02-05
ALFA.ST,2013,2013-12-31,2014-02-05
ALFA.ST,2014,2014-12-31,2015-02-03
ALFA.ST,2015,2015-12-31,2016-02-02
ALFA.ST,2016,2016-12-31,2017-01-31
ALFA.ST,2017,2017-12-31,2018-01-30
ALFA.ST,2018,2018-12-31,2019-02-05
ALFA.ST,2019,2019-12-31,2020-02-04
ALFA.ST,2020,2020-12-31,2021-02-03
ALFA.ST,2021,2021-12-31,2022-02-02
ALFA.ST,2022,2022-12-31,2023-02-02
ALFA.ST,2023,2023-12-31,2024-02-06
ALFA.ST,2024,2024-12-31,2025-02-05
ALFA.ST,2025,2025-12-31,2026-02-03
ALIFb.ST,2017,2017-12-31,2018-02-13
ALIFb.ST,2021,2021-12-31,2022-02-04
ALIFb.ST,2022,2022-12-31,2023-02-02
ALIFb.ST,2023,2023-12-31,2024-02-02
ALIFb.ST,2024,2024-12-31,2025-02-05
ALIFb.ST,2025,2025-12-31,2026-02-04
ALIG.ST,2015,2015-12-31,2016-02-25
ALIG.ST,2016,2016-12-31,2017-02-23
ALIG.ST,2017,2017-12-31,2018-02-23
ALIG.ST,2018,2018-12-31,2019-02-22
ALIG.ST,2019,2019-12-31,2020-02-21
ALIG.ST,2020,2020-12-31,2021-02-11
ALIG.ST,2021,2021-12-31,2022-02-10
ALIG.ST,2022,2022-12-31,2023-02-17
ALIG.ST,2023,2023-12-31,2024-02-12
ALIG.ST,2024,2024-12-31,2025-02-13
ALIG.ST,2025,2025-12-31,2026-02-10
ALIVsdb.ST,2011,2011-12-31,2012-02-01
ALIVsdb.ST,2012,2012-12-31,2013-01-31
ALIVsdb.ST,2013,2013-12-31,2014-01-31
ALIVsdb.ST,2014,2014-12-31,2015-01-29
ALIVsdb.ST,2015,2015-12-31,2016-01-29
ALIVsdb.ST,2016,2016-12-31,2017-02-02
ALIVsdb.ST,2017,2017-12-31,2018-01-30
ALIVsdb.ST,2018,2018-12-31,2019-01-29
ALIVsdb.ST,2019,2019-12-31,2020-01-28
ALIVsdb.ST,2020,2020-12-31,2021-01-26
ALIVsdb.ST,2021,2021-12-31,2022-01-28
ALIVsdb.ST,2022,2022-12-31,2023-01-27
ALIVsdb.ST,2023,2023-12-31,2024-01-26
ALIVsdb.ST,2024,2024-12-31,2025-01-31
ALIVsdb.ST,2025,2025-12-31,2026-01-30
ALKb.CO,2011,2011-12-31,2012-02-22
ALKb.CO,2012,2012-12-31,2013-02-05
ALKb.CO,2013,2013-12-31,2014-02-05
ALKb.CO,2014,2014-12-31,2015-02-09
ALKb.CO,2015,2015-12-31,2016-02-09
ALKb.CO,2016,2016-12-31,2017-02-07
ALKb.CO,2017,2017-12-31,2018-02-06
ALKb.CO,2018,2018-12-31,2019-02-07
ALKb.CO,2019,2019-12-31,2020-02-05
ALKb.CO,2020,2020-12-31,2021-02-10
ALKb.CO,2021,2021-12-31,2022-02-08
ALKb.CO,2022,2022-12-31,2023-02-03
ALKb.CO,2023,2023-12-31,2024-02-08
ALKb.CO,2024,2024-12-31,2025-02-19
ALKb.CO,2025,2025-12-31,2026-02-20
ALLEI.ST,2022,2022-12-31,2023-01-24
ALLEI.ST,2023,2023-12-31,2024-01-23
ALLEI.ST,2024,2024-12-31,2025-01-24
ALLEI.ST,2025,2025-12-31,2026-01-27
ALLIGOb.ST,2021,2021-12-31,2022-02-15
ALLIGOb.ST,2022,2022-12-31,2023-02-16
ALLIGOb.ST,2023,2023-12-31,2024-02-16
ALLIGOb.ST,2024,2024-12-31,2025-02-14
ALLIGOb.ST,2025,2025-12-31,2026-02-13
ALVO.IC,2022,2022-12-31,2023-03-01
ALVO.IC,2023,2023-12-31,2024-03-20
ALVO.IC,2024,2024-12-31,2025-03-26
ALVO.IC,2025,2025-12-31,2026-03-18
AMBEA.ST,2017,2017-12-31,2018-02-21
AMBEA.ST,2018,2018-12-31,2019-02-13
AMBEA.ST,2019,2019-12-31,2020-02-14
AMBEA.ST,2020,2020-12-31,2021-02-16
AMBEA.ST,2021,2021-12-31,2022-02-09
AMBEA.ST,2022,2022-12-31,2023-02-09
AMBEA.ST,2023,2023-12-31,2024-02-08
AMBEA.ST,2024,2024-12-31,2025-02-12
AMBEA.ST,2025,2025-12-31,2026-02-12
AMBUb.CO,2011,2011-09-30,2011-11-18
AMBUb.CO,2012,2012-09-30,2012-11-15
AMBUb.CO,2013,2013-09-30,2013-11-14
AMBUb.CO,2014,2014-09-30,2014-11-13
AMBUb.CO,2015,2015-09-30,2015-11-11
AMBUb.CO,2016,2016-09-30,2016-11-08
AMBUb.CO,2017,2017-09-30,2017-11-09
AMBUb.CO,2018,2018-09-30,2018-11-13
AMBUb.CO,2019,2019-09-30,2019-11-13
AMBUb.CO,2020,2020-09-30,2020-11-11
AMBUb.CO,2021,2021-09-30,2021-11-09
AMBUb.CO,2022,2022-09-30,2022-11-15
AMBUb.CO,2023,2023-09-30,2023-11-08
AMBUb.CO,2024,2024-09-30,2024-11-04
AMBUb.CO,2025,2025-09-30,2025-11-05
ANNEb.ST,2020,2020-12-31,2021-02-25
ANNEb.ST,2021,2021-12-31,2022-02-23
ANNEb.ST,2022,2022-12-31,2023-02-23
ANNEb.ST,2023,2023-12-31,2024-02-01
ANNEb.ST,2024,2024-12-31,2025-02-13
ANNEb.ST,2025,2025-12-31,2026-02-12
ANODb.ST,2011,2011-12-31,2012-02-03
ANODb.ST,2012,2012-12-31,2013-02-05
ANODb.ST,2013,2013-12-31,2014-02-05
ANODb.ST,2014,2014-12-31,2015-02-05
ANODb.ST,2015,2015-12-31,2016-02-05
ANODb.ST,2016,2016-12-31,2017-02-07
ANODb.ST,2017,2017-12-31,2018-02-07
ANODb.ST,2018,2018-12-31,2019-02-06
ANODb.ST,2019,2019-12-31,2020-02-04
ANODb.ST,2020,2020-12-31,2021-02-03
ANODb.ST,2021,2021-12-31,2022-02-04
ANODb.ST,2022,2022-12-31,2023-02-03
ANODb.ST,2023,2023-12-31,2024-02-02
ANODb.ST,2024,2024-12-31,2025-01-31
ANODb.ST,2025,2025-12-31,2026-02-03
ANORA.HE,2018,2018-12-31,2019-02-07
ANORA.HE,2019,2019-12-31,2020-02-13
ANORA.HE,2020,2020-12-31,2021-02-25
ANORA.HE,2021,2021-12-31,2022-03-10
ANORA.HE,2022,2022-12-31,2023-02-28
ANORA.HE,2023,2023-12-31,2024-02-14
ANORA.HE,2024,2024-12-31,2025-02-12
ANORA.HE,2025,2025-12-31,2026-02-11
APETIT.HE,2011,2011-12-31,2012-02-16
APETIT.HE,2012,2012-12-31,2013-02-14
APETIT.HE,2013,2013-12-31,2014-02-25
APETIT.HE,2014,2014-12-31,2015-02-25
APETIT.HE,2015,2015-12-31,2016-02-17
APETIT.HE,2016,2016-12-31,2017-02-23
APETIT.HE,2017,2017-12-31,2018-03-01
APETIT.HE,2018,2018-12-31,2019-02-20
APETIT.HE,2019,2019-12-31,2020-02-21
APETIT.HE,2020,2020-12-31,2021-02-19
APETIT.HE,2021,2021-12-31,2022-02-17
APETIT.HE,2022,2022-12-31,2023-02-16
APETIT.HE,2023,2023-12-31,2024-02-15
APETIT.HE,2024,2024-12-31,2025-02-13
APETIT.HE,2025,2025-12-31,2026-02-13
APOTEA.ST,2025,2025-12-31,2026-02-04
AQ.ST,2017,2017-12-31,2018-02-22
AQ.ST,2018,2018-12-31,2019-02-21
AQ.ST,2024,2024-12-31,2025-02-13
AQ.ST,2025,2025-12-31,2026-02-12
ARCHA.OL,2011,2011-12-31,2012-02-29
ARCHA.OL,2012,2012-12-31,2013-02-28
ARCHA.OL,2013,2013-12-31,2014-02-28
ARCHA.OL,2014,2014-12-31,2015-02-23
ARCHA.OL,2015,2015-12-31,2016-02-29
ARCHA.OL,2016,2016-12-31,2017-02-28
ARCHA.OL,2017,2017-12-31,2018-02-27
ARCHA.OL,2018,2018-12-31,2019-02-27
ARCHA.OL,2019,2019-12-31,2020-02-14
ARCHA.OL,2020,2020-12-31,2021-02-25
ARCHA.OL,2021,2021-12-31,2022-02-25
ARCHA.OL,2022,2022-12-31,2023-02-28
ARCHA.OL,2023,2023-12-31,2024-02-29
ARCHA.OL,2024,2024-12-31,2025-02-27
ARCHA.OL,2025,2025-12-31,2026-02-02
ARJOb.ST,2017,2017-12-31,2018-01-29
ARJOb.ST,2018,2018-12-31,2019-02-04
ARJOb.ST,2019,2019-12-31,2020-02-04
ARJOb.ST,2020,2020-12-31,2021-02-03
ARJOb.ST,2021,2021-12-31,2022-02-03
ARJOb.ST,2022,2022-12-31,2023-01-25
ARJOb.ST,2023,2023-12-31,2024-01-30
ARJOb.ST,2024,2024-12-31,2025-01-30
ARJOb.ST,2025,2025-12-31,2026-01-30
ARP.ST,2011,2011-12-31,2012-02-29
ARP.ST,2012,2012-12-31,2013-03-12
ARP.ST,2013,2013-12-31,2014-03-21
ARP.ST,2014,2014-12-31,2015-03-23
ARP.ST,2015,2015-12-31,2016-03-21
ARP.ST,2017,2017-12-31,2018-04-09
ARP.ST,2018,2018-12-31,2019-03-18
ARP.ST,2019,2019-12-31,2020-02-28
ARP.ST,2020,2020-12-31,2021-02-26
ARP.ST,2021,2021-12-31,2022-02-17
ARP.ST,2022,2022-12-31,2023-02-15
ARP.ST,2023,2023-12-31,2024-02-15
ARP.ST,2024,2024-12-31,2025-04-09
ARP.ST,2025,2025-12-31,2026-04-21
ASA.OL,2018,2018-12-31,2019-04-12
ASA.OL,2019,2019-12-31,2020-03-26
ASA.OL,2020,2020-12-31,2021-04-14
ASA.OL,2021,2021-12-31,2022-04-21
ASA.OL,2022,2022-12-31,2023-04-20
ASA.OL,2023,2023-12-31,2024-04-19
ASA.OL,2024,2024-12-31,2025-07-09
ASKER.ST,2025,2025-12-31,2026-02-10
ASPO.HE,2011,2011-12-31,2012-02-14
ASPO.HE,2012,2012-12-31,2013-02-14
ASPO.HE,2013,2013-12-31,2014-02-13
ASPO.HE,2014,2014-12-31,2015-02-12
ASPO.HE,2015,2015-12-31,2016-02-11
ASPO.HE,2016,2016-12-31,2017-02-15
ASPO.HE,2017,2017-12-31,2018-02-15
ASPO.HE,2018,2018-12-31,2019-02-14
ASPO.HE,2019,2019-12-31,2020-02-13
ASPO.HE,2020,2020-12-31,2021-02-11
ASPO.HE,2021,2021-12-31,2022-02-16
ASPO.HE,2022,2022-12-31,2023-02-15
ASPO.HE,2023,2023-12-31,2024-02-16
ASPO.HE,2024,2024-12-31,2025-02-17
ASPO.HE,2025,2025-12-31,2026-02-16
ASSAb.ST,2011,2011-12-31,2012-02-10
ASSAb.ST,2012,2012-12-31,2013-02-07
ASSAb.ST,2013,2013-12-31,2014-02-07
ASSAb.ST,2014,2014-12-31,2015-02-05
ASSAb.ST,2015,2015-12-31,2016-02-08
ASSAb.ST,2016,2016-12-31,2017-02-02
ASSAb.ST,2017,2017-12-31,2018-02-06
ASSAb.ST,2018,2018-12-31,2019-02-05
ASSAb.ST,2019,2019-12-31,2020-02-06
ASSAb.ST,2020,2020-12-31,2021-02-05
ASSAb.ST,2021,2021-12-31,2022-02-04
ASSAb.ST,2022,2022-12-31,2023-02-03
ASSAb.ST,2023,2023-12-31,2024-02-07
ASSAb.ST,2024,2024-12-31,2025-02-05
ASSAb.ST,2025,2025-12-31,2026-02-05
ATCOa.ST,2011,2011-12-31,2012-01-31
ATCOa.ST,2012,2012-12-31,2013-01-31
ATCOa.ST,2013,2013-12-31,2014-01-30
ATCOa.ST,2014,2014-12-31,2015-01-29
ATCOa.ST,2015,2015-12-31,2016-01-28
ATCOa.ST,2016,2016-12-31,2017-01-27
ATCOa.ST,2017,2017-12-31,2018-01-26
ATCOa.ST,2018,2018-12-31,2019-01-28
ATCOa.ST,2019,2019-12-31,2020-01-28
ATCOa.ST,2020,2020-12-31,2021-01-29
ATCOa.ST,2021,2021-12-31,2022-01-25
ATCOa.ST,2022,2022-12-31,2023-01-26
ATCOa.ST,2023,2023-12-31,2024-01-25
ATCOa.ST,2024,2024-12-31,2025-01-28
ATCOa.ST,2025,2025-12-31,2026-01-27
ATEA.OL,2011,2011-12-31,2012-02-02
ATEA.OL,2012,2012-12-31,2013-02-07
ATEA.OL,2013,2013-12-31,2014-02-05
ATEA.OL,2014,2014-12-31,2015-02-05
ATEA.OL,2015,2015-12-31,2016-02-04
ATEA.OL,2016,2016-12-31,2017-02-08
ATEA.OL,2017,2017-12-31,2018-02-07
ATEA.OL,2018,2018-12-31,2019-02-07
ATEA.OL,2019,2019-12-31,2020-02-06
ATEA.OL,2020,2020-12-31,2021-02-09
ATEA.OL,2021,2021-12-31,2022-02-08
ATEA.OL,2022,2022-12-31,2023-02-09
ATEA.OL,2023,2023-12-31,2024-02-08
ATEA.OL,2024,2024-12-31,2025-02-06
ATEA.OL,2025,2025-12-31,2026-02-10
ATIC.ST,2017,2017-12-31,2018-02-21
ATIC.ST,2018,2018-12-31,2019-02-14
ATIC.ST,2019,2019-12-31,2020-02-20
ATIC.ST,2020,2020-12-31,2021-02-17
ATIC.ST,2021,2021-12-31,2022-02-15
ATIC.ST,2022,2022-12-31,2023-02-16
ATIC.ST,2023,2023-12-31,2024-02-14
ATIC.ST,2024,2024-12-31,2025-02-18
ATIC.ST,2025,2025-12-31,2026-02-18
ATORX.ST,2016,2016-12-31,2017-02-17
ATORX.ST,2017,2017-12-31,2018-02-16
ATORX.ST,2018,2018-12-31,2019-02-14
ATORX.ST,2019,2019-12-31,2020-02-12
ATORX.ST,2020,2020-12-31,2021-02-26
ATORX.ST,2021,2021-12-31,2022-02-11
ATORX.ST,2022,2022-12-31,2023-02-10
ATORX.ST,2023,2023-12-31,2024-02-08
ATORX.ST,2025,2025-12-31,2026-02-12
ATRAV.HE,2011,2011-12-31,2012-02-16
ATRAV.HE,2012,2012-12-31,2013-02-21
ATRAV.HE,2013,2013-12-31,2014-02-13
ATRAV.HE,2014,2014-12-31,2015-02-12
ATRAV.HE,2015,2015-12-31,2016-02-11
ATRAV.HE,2016,2016-12-31,2017-02-14
ATRAV.HE,2017,2017-12-31,2018-02-15
ATRAV.HE,2018,2018-12-31,2019-02-13
ATRAV.HE,2019,2019-12-31,2020-02-13
ATRAV.HE,2020,2020-12-31,2021-02-16
ATRAV.HE,2021,2021-12-31,2022-02-15
ATRAV.HE,2022,2022-12-31,2023-02-22
ATRAV.HE,2023,2023-12-31,2024-02-22
ATRAV.HE,2024,2024-12-31,2025-02-13
ATRAV.HE,2025,2025-12-31,2026-02-12
ATRLJb.ST,2011,2011-12-31,2012-02-20
ATRLJb.ST,2012,2012-12-31,2013-02-22
ATRLJb.ST,2013,2013-12-31,2014-02-21
ATRLJb.ST,2014,2014-12-31,2015-02-20
ATRLJb.ST,2015,2015-12-31,2016-02-19
ATRLJb.ST,2016,2016-12-31,2017-02-23
ATRLJb.ST,2017,2017-12-31,2018-02-16
ATRLJb.ST,2018,2018-12-31,2019-02-15
ATRLJb.ST,2019,2019-12-31,2020-02-07
ATRLJb.ST,2020,2020-12-31,2021-02-09
ATRLJb.ST,2021,2021-12-31,2022-02-10
ATRLJb.ST,2022,2022-12-31,2023-02-02
ATRLJb.ST,2023,2023-12-31,2024-01-31
ATRLJb.ST,2024,2024-12-31,2025-01-31
ATRLJb.ST,2025,2025-12-31,2026-01-30
ATTE.ST,2015,2015-12-31,2016-02-25
ATTE.ST,2016,2016-12-31,2017-02-15
ATTE.ST,2017,2017-12-31,2018-02-15
ATTE.ST,2018,2018-12-31,2019-02-14
ATTE.ST,2019,2019-12-31,2020-02-13
ATTE.ST,2020,2020-12-31,2021-02-10
ATTE.ST,2021,2021-12-31,2022-02-10
ATTE.ST,2022,2022-12-31,2023-02-10
ATTE.ST,2023,2023-12-31,2024-02-08
ATTE.ST,2024,2024-12-31,2025-02-06
ATTE.ST,2025,2025-12-31,2026-02-05
AUSS.OL,2011,2011-12-31,2012-02-23
AUSS.OL,2012,2012-12-31,2013-02-26
AUSS.OL,2013,2013-12-31,2014-02-25
AUSS.OL,2014,2014-12-31,2015-02-24
AUSS.OL,2015,2015-12-31,2016-02-23
AUSS.OL,2016,2016-12-31,2017-02-21
AUSS.OL,2017,2017-12-31,2018-02-27
AUSS.OL,2018,2018-12-31,2019-02-26
AUSS.OL,2019,2019-12-31,2020-02-25
AUSS.OL,2020,2020-12-31,2021-02-19
AUSS.OL,2021,2021-12-31,2022-02-17
AUSS.OL,2022,2022-12-31,2023-02-21
AUSS.OL,2023,2023-12-31,2024-02-28
AUSS.OL,2024,2024-12-31,2025-02-28
AUSS.OL,2025,2025-12-31,2026-02-24
AUTO.OL,2021,2021-12-31,2022-02-17
AUTO.OL,2022,2022-12-31,2023-02-16
AUTO.OL,2023,2023-12-31,2024-02-14
AUTO.OL,2024,2024-12-31,2025-02-20
AUTO.OL,2025,2025-12-31,2026-02-12
AXFO.ST,2011,2011-12-31,2012-02-07
AXFO.ST,2012,2012-12-31,2013-02-07
AXFO.ST,2013,2013-12-31,2014-02-04
AXFO.ST,2014,2014-12-31,2015-02-10
AXFO.ST,2015,2015-12-31,2016-02-05
