ResultFolder,SourceFile,SplitType,SplitValue,PortfolioStrategy,Method,MethodLabel,StartDate,EndDate,NMonths,TotalCumulativeReturn,TotalCumulativeReturnPct
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method2_LatentQuality,Latent Quality,2014-07-31,2026-03-31,141,3.4706914426524555,347.06914426524554
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method3_ConservativeQuality,Conservative Quality,2014-07-31,2026-03-31,141,3.710518732354407,371.05187323544067
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2014-07-31,2026-03-31,141,3.467975703547527,346.7975703547527
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,1.937750276251038,193.7750276251038
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,0.936749156836967,93.6749156836967
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,1.3361191008657927,133.61191008657926
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,2.3074616642442747,230.74616642442746
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,6.576609402593531,657.6609402593531
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,6.177027066381558,617.7027066381557
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,6.154041763521006,615.4041763521005
results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_ols/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,6.667222175106866,666.7222175106866
