Method,Portfolio,FactorModel,alpha,t_stat,p_value,r_squared,n_obs
Method2_LatentQuality,Q5,CAPM,0.0004475679329986558,0.20494133362433048,0.8379177642849052,0.8024237880177454,141.0
Method2_LatentQuality,Q5,FF3,0.0015555635769310063,0.9349419572994779,0.35146323447365835,0.8639417968043995,141.0
Method2_LatentQuality,Q5,Carhart,0.0012504730658310956,0.7547551871448691,0.45170088114060936,0.8640782033374447,141.0
Method2_LatentQuality,Q5,FF5,0.0003617059878142777,0.21875353692773497,0.8271724046652005,0.8769995214735542,141.0
Method2_LatentQuality,Q5,FF5_MOM,0.0004405234970624756,0.2797041647800083,0.7801357687698462,0.8770093433122453,141.0
Method3_ConservativeQuality,Q1,CAPM,0.0016871085675159458,0.7779595643879589,0.4379150296576344,0.6224618034677787,141.0
Method3_ConservativeQuality,Q1,FF3,0.0006845088647893412,0.37559616211779817,0.7077980597660574,0.6654424770668714,141.0
Method3_ConservativeQuality,Q1,Carhart,0.003076220415597073,1.3854284488916029,0.1681894831380919,0.6721548146664733,141.0
Method3_ConservativeQuality,Q1,FF5,0.004588666378577467,1.9310848236598308,0.055568447863864945,0.8119223467635612,141.0
Method3_ConservativeQuality,Q1,FF5_MOM,0.005302209353219959,2.405834817361085,0.017500293234782083,0.8125669108040078,141.0
Method3_ConservativeQuality,Q2,CAPM,0.00015749233154423867,0.06251613423341407,0.9502416202530468,0.5662907504038233,141.0
Method3_ConservativeQuality,Q2,FF3,-0.0011608125045517157,-0.4678620933474553,0.6406266278152339,0.6455503055361884,141.0
Method3_ConservativeQuality,Q2,Carhart,0.0017188692760021751,0.6890100523246482,0.49199073692007644,0.6558380903065362,141.0
Method3_ConservativeQuality,Q2,FF5,0.00017129652186298732,0.07840346774123395,0.9376232066977519,0.673741737298849,141.0
Method3_ConservativeQuality,Q2,FF5_MOM,0.0022890581157224083,1.062320622972173,0.29000093912451974,0.6797445752972464,141.0
Method3_ConservativeQuality,Q3,CAPM,0.003604214344302802,1.338823554531164,0.1828135954621577,0.6559809489053788,141.0
Method3_ConservativeQuality,Q3,FF3,0.0030550776916975046,1.4364141763519827,0.15316414807484757,0.6875710355536142,141.0
Method3_ConservativeQuality,Q3,Carhart,0.003115628163118525,1.2951378450749413,0.19746692989981152,0.6875768743006981,141.0
Method3_ConservativeQuality,Q3,FF5,0.0036263164681428137,1.6608752055180591,0.09905928892304261,0.6914986451802967,141.0
Method3_ConservativeQuality,Q3,FF5_MOM,0.0035797771692848398,1.5229567527297276,0.13012600130826124,0.6915023664735245,141.0
Method3_ConservativeQuality,Q4,CAPM,-0.001740704103596124,-0.8604551927079029,0.39101989532955317,0.726995690787491,141.0
Method3_ConservativeQuality,Q4,FF3,-0.0020791240997593973,-1.0988103873888881,0.27377805317504,0.7327590887741255,141.0
Method3_ConservativeQuality,Q4,Carhart,-0.00117315721673482,-0.638672489608992,0.5241101187231723,0.7339548889003156,141.0
Method3_ConservativeQuality,Q4,FF5,-0.00241805699414908,-1.3249540551551016,0.18742465045594336,0.7338991546315716,141.0
Method3_ConservativeQuality,Q4,FF5_MOM,-0.0014621156562215172,-0.8069628098131642,0.421117898654249,0.7353355237147348,141.0
Method3_ConservativeQuality,Q5,CAPM,0.00046286120928459336,0.212349328292289,0.8321455943515284,0.8053276048089211,141.0
Method3_ConservativeQuality,Q5,FF3,0.0015127109538062863,0.8866788810626017,0.37680565793548304,0.8620636726834305,141.0
Method3_ConservativeQuality,Q5,Carhart,0.0011612963512337576,0.7295921609806968,0.46689424673348645,0.8622499326462219,141.0
Method3_ConservativeQuality,Q5,FF5,0.0004061467162831949,0.23883472845473364,0.8115959215268278,0.8742601241182086,141.0
Method3_ConservativeQuality,Q5,FF5_MOM,0.00044794031605922623,0.28740821500661223,0.774243760063434,0.8742629664127252,141.0
Method4_ProbabilisticQuality,Q1,CAPM,0.0019581552701482398,0.9454583279884663,0.3460655418688825,0.6096568598470353,141.0
Method4_ProbabilisticQuality,Q1,FF3,0.001085225183683804,0.5924320751592734,0.5545378390281661,0.6459321280213767,141.0
Method4_ProbabilisticQuality,Q1,Carhart,0.0030749132839083203,1.3201138952234295,0.18901456269870787,0.6506790428751115,141.0
Method4_ProbabilisticQuality,Q1,FF5,0.005160702779592996,2.2737323585629787,0.02456024250447819,0.8070961539897211,141.0
Method4_ProbabilisticQuality,Q1,FF5_MOM,0.005424311727167687,2.4737316852057396,0.01462131592834659,0.8071860481222058,141.0
Method4_ProbabilisticQuality,Q5,CAPM,0.0009289720825762267,0.39897845527428205,0.6905213626767104,0.7893412019875614,141.0
Method4_ProbabilisticQuality,Q5,FF3,0.0020386272736289254,1.0771518749797975,0.2833054879891237,0.8520916352916846,141.0
Method4_ProbabilisticQuality,Q5,Carhart,0.0012790888904040142,0.7509242995158293,0.4539955587092457,0.8529488172191874,141.0
Method4_ProbabilisticQuality,Q5,FF5,0.0009119617661685126,0.4815901798382419,0.6308768512031873,0.8656805970234756,141.0
Method4_ProbabilisticQuality,Q5,FF5_MOM,0.0005986362767888192,0.3460607370412908,0.7298398168408897,0.8658379716172804,141.0
