FormationYear,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2012,Method2_PostMean,3,Q3,67,270304.21,0.16855474076457244,0.1493624870312749,0.16896247027500297,0.07790519755016409
2012,Method2_PostMean,4,Q4,67,604666.51,0.28554019753925375,0.24335613976392861,0.2873462732250932,0.06939378800177799
2012,Method2_PostMean,5,Q5,68,2716329.87,0.5733601637598487,0.49285136830935605,0.7050645626984038,0.06069343236765978
2012,Method3_ProbQ5,1,Q1,68,1027424.0,-0.4257119832243192,-0.3132814108972576,0.003173666068371442,0.045256293414422374
2012,Method3_ProbQ5,2,Q2,67,204121.8,-0.04226788289582954,0.036740551867253,0.06754489486980693,0.06752647980191717
2012,Method3_ProbQ5,3,Q3,67,460692.67,0.11979583885595102,0.1327263752225137,0.19193966360145798,0.0860710558185235
2012,Method3_ProbQ5,4,Q4,67,414804.33999999997,0.26250892864987757,0.21667751261095192,0.32046640137996363,0.10349856383329126
2012,Method3_ProbQ5,5,Q5,68,2710892.8,0.5786717033247963,0.492181699940843,0.7058937632029215,0.06382507141788485
2013,Method1_Raw,1,Q1,71,352310.49,-0.6098100105073614,-0.41001950276624466,0.05152159954248399,0.08594523139789864
2013,Method1_Raw,2,Q2,70,622446.8200000001,0.02938019936175508,0.03821499696918372,0.09412767829351898,0.06313735602051669
2013,Method1_Raw,3,Q3,70,413042.69,0.1236315916905404,0.11503840339432375,0.14557220408636629,0.061289626754651494
2013,Method1_Raw,4,Q4,70,607721.02,0.23682295295883143,0.21058623625662393,0.3037625402297323,0.061284846318509625
2013,Method1_Raw,5,Q5,70,3099639.09,0.5837856338416234,0.4684147147739244,0.7090114056610392,0.06578143191059244
2013,Method2_PostMean,1,Q1,71,350065.89,-0.6083127890643019,-0.4110974095238394,0.04139914850104768,0.08062631809237894
