Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method1_Raw,Q2,2010-05-31,58,1.0000000000000002,1.0,0.38595310636811647,0.1,0.3934213042027571,4,1,False
Method1_Raw,Q3,2010-05-31,56,1.0,1.0,0.1872735453353766,0.1,0.4,4,4,False
Method1_Raw,Q4,2010-05-31,58,0.9999999999999999,1.0,0.09516587475664488,0.0839157489540638,0.4000000000000001,5,0,False
Method1_Raw,Q5,2010-05-31,61,0.9999999999999999,1.0,0.1811094662994081,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-05-31,63,0.9999999999999998,1.0,0.4258604353166235,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-05-31,57,0.9999999999999999,1.0,0.32823799945391774,0.10000000000000002,0.4000000000000001,4,2,False
Method2_PostMean,Q3,2010-05-31,57,0.9999999999999999,1.0,0.21125784162225503,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-05-31,57,1.0,1.0,0.1042522224148307,0.0839157489540638,0.4000000000000001,5,2,False
Method2_PostMean,Q5,2010-05-31,62,1.0000000000000002,0.9999999999999999,0.17795088382299992,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-05-31,63,1.0,1.0,0.2970096039927952,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-05-31,56,1.0,1.0,0.24005751579007112,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-05-31,57,1.0,1.0,0.23521830540778002,0.1,0.4,4,4,False
Method3_ProbQ5,Q4,2010-05-31,58,1.0,1.0,0.18421978993919647,0.1,0.4,5,2,False
Method3_ProbQ5,Q5,2010-05-31,62,1.0,0.9999999999999999,0.17332031538482026,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-06-30,63,1.0,1.0,0.44525659131484957,0.1,0.4,4,3,False
Method1_Raw,Q2,2010-06-30,58,1.0000000000000002,1.0,0.39885029294717916,0.1,0.39024733527129984,4,1,False
Method1_Raw,Q3,2010-06-30,57,1.0,1.0,0.19255193375335936,0.1,0.4,4,4,False
Method1_Raw,Q4,2010-06-30,60,0.9999999999999998,1.0,0.0942447979993289,0.08341024350362955,0.4000000000000001,5,0,False
Method1_Raw,Q5,2010-06-30,62,1.0000000000000002,1.0,0.16798777356855965,0.1,0.4,4,5,False
