Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,FiscalYear,ForecastDate,ForecastCutoffDate,ForecastWindowStart,cfo_forecast,forecast_timing_valid,has_analyst_cfo_forecast,CFO_lead1_analyst_scaled,firm_idx_y,sigma_mean,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_measure,sigma_scale_mean,sigma_scale_median,sigma_scale_std,sigma_scale_q05,sigma_scale_q95,sigma_scale_n_draws,sigma_acc,sigma_acc_measure
2020,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,13920.24,1253.04,9019.81,1634.17,375.91,5848.57,23262.7,2070.5,28589.95,21055.07,5661.910000000001,0.0,138.17,10127.7,40.72,44272.77,0.1706066429199423,1296.4799999999996,332.26,1932.0199999999995,818.4000000000001,-68.53999999999996,-217.93999999999983,21490.3,22376.5,-0.009739682255938142,2070.5,1449.85,2059.010000000002,0.06479342167005564,0.09253010971331531,0.09201662458382687,0.26137108126829484,509.12,0.02275244117712779,True,2,3,2020.0,2021-06-23,2021-06-30,2021-01-28,1589.04336152694,True,True,0.07101393701101334,3,0.054480096906866365,0.04904858855363682,0.029617660898800937,0.025240256712869332,0.10147296044926782,8000,student_t_residual_sd,0.027007097736576998,0.024834785997400043,0.011131177835670593,0.013236580132104905,0.04815348158024252,8000,0.054480096906866365,student_t_residual_sd
2021,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,17572.09,975.25,11842.36,2272.99,288.39,5572.87,26467.26,509.12,35530.25,27758.13,5601.34,0.0,121.26,11479.93,46.77,49186.61,0.1778063105659033,3651.8500000000004,-277.78999999999996,2822.550000000001,638.8199999999997,-87.52000000000004,1658.389999999999,23262.7,24864.98,0.06669581073461547,509.12,2070.5,6940.299999999999,0.0832697231206299,0.020475383450941846,0.27911946842507007,0.2241252556808813,-69.36,-0.0027894653444322094,True,2,3,2021.0,2022-06-21,2022-06-30,2022-02-04,138.046120945705,True,True,0.005551829156737911,3,0.05409980073346574,0.048579991965239724,0.02572684139285867,0.024542328876385595,0.10266672141111104,8000,student_t_residual_sd,0.025096152979591706,0.022972245777273033,0.01063011222962254,0.012043408270201464,0.044917854560569646,8000,0.05409980073346574,student_t_residual_sd
2022,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,21746.99,1426.02,13116.53,2820.97,606.17,6536.15,31993.6,-69.36,47911.04,38633.83,6999.72,0.0,241.34,14152.86,44.24,43451.25,0.1434201350980129,4174.9000000000015,450.77,1274.17,547.98,317.78,3315.720000000001,26467.26,29230.43,0.11343384274538558,-69.36,509.12,12380.79,0.017417465292162995,-0.0023728696430398047,0.42355825761030547,0.22360772660545875,5288.9,0.18093815246645362,True,2,3,2022.0,2023-06-19,2023-06-30,2023-02-02,4442.59269248717,True,True,0.15198519804488575,3,0.048649829604821775,0.043904815136143,0.023189897969671754,0.021671037511427557,0.09220860530294946,8000,student_t_residual_sd,0.02519202252257099,0.02301252134422801,0.011477784758949948,0.011327569499591083,0.04648789970552756,8000,0.048649829604821775,student_t_residual_sd
2023,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,18941.27,1513.17,9702.19,1726.6,523.52,7543.69,30757.67,5288.9,45810.59,34134.009999999995,7785.05,0.0,316.5,17232.79,56.38,58743.62,0.2067785787287649,-2805.720000000001,87.15000000000009,-3414.34,-1094.37,-82.64999999999998,-655.5500000000011,31993.6,31375.635,-0.020893601037875444,5288.9,-69.36,-2100.4500000000044,-0.0022106325497475987,0.16856710629123522,-0.06694525863779345,0.2404314685583256,2391.98,0.07623686341328231,True,2,3,2023.0,2024-06-25,2024-06-30,2024-02-07,4086.23800980346,True,True,0.13023602581440855,3,0.04703585319261077,0.042322285974611226,0.021829020591053086,0.021097328169561558,0.08836632255611102,8000,student_t_residual_sd,0.027010136959365588,0.024461082030470583,0.01230570635763068,0.012229042304881687,0.05032893258139365,8000,0.04703585319261077,student_t_residual_sd
2024,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,23278.14,1964.69,12032.83,2129.19,907.81,8304.96,35352.1,2391.98,45817.77,32600.87,8416.67,0.0,288.83000000000004,20651.36,63.74,84218.39,0.2177831630066954,4336.869999999999,451.52,2330.6399999999994,402.59000000000015,384.28999999999996,2341.5899999999997,30757.67,33054.884999999995,0.07083945383564336,2391.98,5288.9,7.180000000000291,0.16000358192140135,0.07236388812122627,0.00021721449038471295,0.25124758413166465,,,True,2,3,2024.0,2025-06-24,2025-06-30,2025-02-05,4328.80821197393,True,True,0.1309581991277214,3,0.04249679872577609,0.03891197002922871,0.018438055459705796,0.01950046767730064,0.0771828985265286,8000,student_t_residual_sd,0.027212612609610765,0.025087021105239523,0.011593593836615674,0.012589328086556363,0.049009823935951984,8000,0.04249679872577609,student_t_residual_sd
2013,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,160301.98,14644.05,101155.55,2748.03,0.0,37938.64,291570.64,21471.25,245970.09,350969.37,44458.94,8640.22,2292.3,113306.35,3215.14,356410.22,-1.2281880363871074,4526.850000000006,-843.3400000000001,-4396.809999999998,-11365.3,0.0,-1598.2999999999956,272976.41,282273.525,-0.005662238426363208,21471.25,21974.24,17237.959999999992,0.07784732911101032,0.07606540500034496,0.06106828474260911,0.13440381984105665,24245.53,0.0858937443743617,True,5,4,2013.0,2014-06-12,2014-06-30,2014-02-13,30063.102339958,True,True,0.10650344321153746,4,0.08083797958735622,0.0765635716024112,0.027253512012985114,0.045158355086944955,0.13195883541534775,8000,student_t_residual_sd,0.05659948885968609,0.05379526960262368,0.018284066011863807,0.031931876673296306,0.09033765785781511,8000,0.08083797958735622,student_t_residual_sd
2014,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,186695.39,16572.9,116413.76,2637.62,0.0,42231.74,335134.14,24245.53,251157.22,360876.92,47709.15,9452.29,2282.67,121561.97,4079.71,354972.01,-1.195934581581526,26393.410000000003,1928.8500000000022,15258.209999999992,-110.41000000000031,0.0,9095.94000000001,291570.64,313352.39,0.029027830296746767,24245.53,21471.25,5187.130000000005,0.06852109856254807,0.07737464520375925,0.016553663433044197,0.13477395209910478,30784.13,0.09824124845513385,True,5,4,2014.0,2015-06-23,2015-06-30,2015-02-05,31745.134907973,True,True,0.10130809887224092,4,0.069163582552725,0.06540986039966071,0.02318173243879889,0.038480414013649246,0.11332019111417835,8000,student_t_residual_sd,0.05192067874938419,0.049305514213610055,0.017250797806850553,0.0286930185235384,0.08416526223652994,8000,0.069163582552725,student_t_residual_sd
2015,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,201193.85,16238.71,140057.79,12853.07,0.0,46638.78,365578.77,30784.13,286079.58,408740.41,56279.01,11336.43,2305.99,128009.14,4481.78,354038.16,-1.2824229766085102,14498.459999999992,-334.1900000000023,23644.030000000013,10215.45,0.0,1404.0699999999815,335134.14,350356.455,0.004007547113695911,30784.13,24245.53,34922.360000000015,0.0692024641018816,0.08786517148656502,0.0996766564497863,0.13311808398107006,32266.61,0.092096519243523,True,5,4,2015.0,2016-06-29,2016-06-30,2016-02-03,27997.16167875,True,True,0.07991050622643729,4,0.06467161831481488,0.060923598343024535,0.02255809805281508,0.034992529392388144,0.1065667110993902,8000,student_t_residual_sd,0.04308602662917975,0.04089863893931664,0.014738793575795111,0.023167680045081244,0.07040863464480869,8000,0.06467161831481488,student_t_residual_sd
2016,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181826.12,14717.45,130841.91,8662.91,0.0,40965.29,338587.67,32266.61,284026.77,404377.95,55826.35,10915.06,2191.41,115692.62,4335.77,389616.79,-1.3951189381112248,-19367.73000000001,-1521.2599999999984,-9215.880000000005,-4190.16,0.0,-12820.750000000007,365578.77,352083.22,-0.03641397621846337,32266.61,30784.13,-2052.8099999999977,0.08743424352912929,0.09164483896733279,-0.0058304681489790905,0.11635115697930734,31401.58,0.08918794823564725,True,5,4,2016.0,2017-06-27,2017-06-30,2017-02-08,34367.572859375,True,True,0.09761207267808732,4,0.05742197191610374,0.05283557628393487,0.023435733445787393,0.029530326510194174,0.09943327136551362,8000,student_t_residual_sd,0.03281495415344323,0.030804707669652397,0.01192382118115905,0.017607134246207013,0.05549480932345508,8000,0.05742197191610374,student_t_residual_sd
2017,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181661.95,16110.34,135161.08,5958.28,2568.79,31219.43,356659.81,31401.58,208263.81,286821.49,47759.490000000005,8373.2,1934.19,121619.53,4349.71,460397.97,-0.9516462907928952,-164.1699999999837,1392.8899999999994,4319.169999999984,-2704.63,2568.79,-6012.069999999967,338587.67,347623.74,-0.01729476243480945,31401.58,32266.61,-75762.96000000002,0.09282050184489701,0.09033209296925464,-0.2179452991329074,0.08980810689166396,23803.03,0.06847354556394795,True,5,4,2017.0,2018-06-25,2018-06-30,2018-02-08,31473.297047004,True,True,0.09053839949769829,4,0.046802875273409546,0.04265271547529244,0.020352396453256618,0.02282009493719711,0.08461993279238432,8000,student_t_residual_sd,0.025797170484596548,0.023932945290784522,0.010211292640674337,0.012807756890826083,0.044926588785664245,8000,0.046802875273409546,student_t_residual_sd
2018,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,188885.18,17130.54,159358.1,17545.2,2246.06,35703.75,383912.47,23803.03,225184.52,311262.94,52441.57,9337.24,2132.83,120527.14,5027.72,344347.01,-1.0458820948866496,7223.229999999981,1020.2000000000007,24197.02000000002,11586.920000000002,-322.73,-6729.800000000036,356659.81,370286.14,-0.018174593302358103,23803.03,31401.58,16920.709999999992,0.08480355219344694,0.06428280032301506,0.04569630934606408,0.09642205349625022,20455.53,0.055242494358552004,True,5,4,2018.0,2019-06-14,2019-06-30,2019-02-28,23464.92906261,True,True,0.06336972013754012,4,0.04253828887577809,0.038289391201916184,0.01993188041511434,0.020008493613929007,0.07875210127075241,8000,student_t_residual_sd,0.022045312945802295,0.020160046644238285,0.009073450642784704,0.010851379877300582,0.03944558990735376,8000,0.04253828887577809,student_t_residual_sd
2019,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,232258.91,18531.2,177903.05,20076.2,3116.33,34867.8,404754.47,20455.53,246152.57,335593.82,58463.22,10540.1,1891.59,118736.64,3985.39,443564.68,-1.134726666434706,43373.73000000001,1400.6599999999999,18544.949999999983,2531.0,870.27,26829.390000000025,383912.47,394333.47,0.0680373136979725,20455.53,23803.03,20968.050000000017,0.06036269252011502,0.05187368447319473,0.0531733966178423,0.08842211643865788,15932.56,0.04040377297925028,True,5,4,2019.0,2020-06-11,2020-06-30,2020-02-05,19551.9628434,True,True,0.0495823061719818,4,0.059550379099152104,0.05408540209157009,0.033046657140098204,0.028933675070589054,0.10441189755075847,8000,student_t_residual_sd,0.03050414073113116,0.028486125919571073,0.011618574813002512,0.015500195851642978,0.05260548856621439,8000,0.059550379099152104,student_t_residual_sd
2020,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164918.71,15139.99,132236.91,11091.22,3388.27,35804.15,352448.76,15932.56,245943.02,343608.77,56672.11,10606.02,2258.6,134544.36,2693.46,501106.31,-1.0637770258956318,-67340.20000000001,-3391.210000000001,-45666.139999999985,-8984.980000000001,271.94000000000005,-26995.89000000003,404754.47,378601.615,-0.07130421247674823,15932.56,20455.53,-209.55000000001746,0.05402916730822714,0.042082651971783056,-0.000553484168312429,0.0945694592454393,28620.29,0.07559473828446295,True,5,4,2020.0,2021-06-29,2021-06-30,2021-02-04,27368.757325844,True,True,0.07228906650555096,4,0.07571846296681625,0.06969275917609707,0.040082040517649846,0.03724165164272179,0.13301294954855442,8000,student_t_residual_sd,0.037570971756721756,0.03542960278239363,0.013762256335510413,0.019399124059645608,0.06329528137370186,8000,0.07571846296681625,student_t_residual_sd
2021,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164641.26,21329.83,137102.71,12188.47,3328.93,35623.1,354557.74,28620.29,248773.02,334814.36,54842.66,10476.92,1272.01,137199.58,3328.93,667649.28,-0.9370275825168858,-277.44999999998254,6189.840000000002,4865.799999999988,1097.25,-59.340000000000146,-10295.179999999973,352448.76,353503.25,-0.029123296603355057,28620.29,15932.56,2830.0,0.045070476721218264,0.08096188648902096,0.008005584107076809,0.10077163364127487,12364.76,0.034977783089688706,True,5,4,2021.0,2022-06-30,2022-06-30,2022-02-03,32232.80372676,True,True,0.09118106757649329,4,0.08393082826140694,0.07728320826569539,0.03624169790746494,0.04054862420028912,0.15014221466571537,8000,student_t_residual_sd,0.038882831643226985,0.03666446408154737,0.014326211522369011,0.019745918244570858,0.06546822830590368,8000,0.08393082826140694,student_t_residual_sd
2022,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,191717.51,16624.66,161926.35,24834.13,3056.51,38314.11,383513.38,12364.76,282900.34,379224.42,60507.58,11202.26,1248.97,125169.88,4016.57,584258.29,-1.1369487279819208,27076.25,-4705.170000000002,24823.640000000014,12645.660000000002,-272.4199999999996,19331.01999999999,354557.74,369035.56,0.05238254004573432,12364.76,28620.29,34127.320000000036,0.07755428772229972,0.0335056058012404,0.09247705017912104,0.10382227121960821,45265.33,0.12265845058400335,True,5,4,2022.0,2023-06-27,2023-06-30,2023-02-02,43279.433602728,True,True,0.11727713611861144,4,0.07111323570627334,0.06626701390437917,0.028137348802983762,0.035378082929637594,0.12220825465305801,8000,student_t_residual_sd,0.036845418709319205,0.03464975423423907,0.01369150212832185,0.018744148822866707,0.06209221753348983,8000,0.07111323570627334,student_t_residual_sd
2023,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,215644.52,14503.33,182472.34,26422.21,6770.25,41979.58,414930.99,45265.33,340123.05,443600.22,72382.32,13896.14,2901.62,135911.69,6557.41,845479.27,-1.1571980871641638,23927.00999999998,-2121.33,20545.98999999999,1588.079999999998,3713.74,10804.16999999999,383513.38,399222.185,0.027063050115814554,45265.33,12364.76,57222.70999999996,0.030972126461358856,0.11338380405888517,0.14333549624753436,0.10515342477773373,50227.21,0.12581267245957287,True,5,4,2023.0,2024-06-27,2024-06-30,2024-02-01,49411.88478,True,True,0.12377038811107154,4,0.07670267992186869,0.07221465510824332,0.027479690823787366,0.040771441230898604,0.12750303723534567,8000,student_t_residual_sd,0.0439793106219755,0.04164397106825933,0.015149212911605238,0.023950941977979538,0.07185135536307281,8000,0.07670267992186869,student_t_residual_sd
2024,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,235940.57,15093.65,166552.97,3318.78,5512.36,45303.68,457901.32,50227.21,328577.28,399282.15,77870.97,13623.12,795.04,163882.03,6501.18,1143841.1,-0.7967202871691408,20296.050000000017,590.3199999999997,-15919.369999999995,-23103.43,-1257.8900000000003,11263.780000000013,414930.99,436416.155,0.025809722832098213,50227.21,45265.33,-11545.76999999996,0.103720564606505,0.11509017121513294,-0.026455872147995895,0.10380843944697693,,,True,5,4,2024.0,2025-06-09,2025-06-30,2025-01-30,49263.9334,True,True,0.11288292799335074,4,0.06670575833172745,0.06303261637794796,0.023817786156964012,0.03517849115268654,0.11086953055305157,8000,student_t_residual_sd,0.042755351695734516,0.040359246469600915,0.015000132772577618,0.02269795279396491,0.0703315820852735,8000,0.06670575833172745,student_t_residual_sd
2023,ACAST.ST,Acast AB (publ),Software & IT Services,Information Technology,1272.6,764.6,553.97,10.29,2.68,0.77,1735.93,-28.0,1628.64,1110.26,776.9699999999999,178.92,10.55,1151.56,0.0,1821.11,-0.078345896001945,-34.070000000000164,-52.18999999999994,79.49000000000001,10.29,1.8600000000000003,-49.22000000000024,1753.33,1744.63,-0.028212285699546744,-28.0,-279.61,307.59000000000015,-0.16026893954592092,-0.01604924826467503,0.17630672406183553,0.00044135432727856333,34.97,0.020044364707703065,True,6,7,2023.0,2024-05-08,2024-06-30,2024-02-12,-14.5125099813681,True,True,-0.008318388415519679,7,0.05753931925781441,0.04999241270059429,0.03352764563365566,0.01847633433953798,0.12214671207985887,8000,student_t_residual_sd,0.03307626602365944,0.02902096425803108,0.0190446410453307,0.010614301577977638,0.06945375747912207,8000,0.05753931925781441,student_t_residual_sd
2024,ACAST.ST,Acast AB (publ),Software & IT Services,Information Technology,1366.09,733.76,621.69,0.0,3.84,11.29,2066.55,34.97,1976.74,1199.55,839.9200000000001,191.26,6.22,1303.35,0.0,2922.64,0.0938427897341466,93.49000000000001,-30.840000000000032,67.72000000000003,-10.29,1.1599999999999997,47.48000000000002,1735.93,1901.2400000000002,0.024973175401317042,34.97,-28.0,348.0999999999999,-0.01472723064947087,0.018393259136142724,0.1830910353243146,0.005938229786875932,,,True,6,7,2024.0,2025-05-06,2025-06-30,2025-02-12,61.2237246980512,True,True,0.0322019969588538,7,0.052731781792237524,0.046997863121875136,0.026900627542615473,0.02141944905033776,0.1056785534681812,8000,student_t_residual_sd,0.03386027766970595,0.03021946255418739,0.01723014106025205,0.013653533826581967,0.06749336930477536,8000,0.052731781792237524,student_t_residual_sd
